verse	content
001	Ini an gigibohon mo sa pagkonsagra ki Aaron asin sa mga aki niyang lalaki tanganing maglingkod sako bilang mga padi.
001	Kumua ka nin sarong torilyong baka saka duwang lalaking karnero na mayo nin kaninan.
002	Gamiton mo an pinakamarahay na arinang trigo, alagad mayo nin lebadura, asin gumibo ka nin mga tinapay na igwang lana, nin mga tinapay na mayong lana, asin nin maninipis na biskwit na linahidan nin lana.
003	Ibugtak mo iyan gabos sa sarong basket dangan idolot mo sako kaiba an torilyong baka saka an duwang lalaking karnero.
004	Ipag-iba mo si Aaron saka an saiyang mga aking lalaki sa may pintoan kan Tabernakulo dangan karigoson mo sinda duman.
005	Pakatapos, isulot mo ki Aaron an mga gubing na sa padian tunikang may burda, an efod, an abito kan efod, an pantahob sa daghan asin an habay.
006	Ibugtak mo sa saiyang payo an mitra asin igakod mo sa atubangan kan mitra an banal na korona.
007	Dangan kuahon mo an lana, iula mo sa saiyang payo asin lahidan mo siya.
008	Padolokon mo saimo an saiyang mga aki dangan sulotan mo sinda kan tunika;
009	hagkosan mo an saindang habayan dangan bugtakan mo nin turban an saindang payo.
009	Iyan an gigibohon mo sa pagkonsagra ki Aaron asin kan saiyang mga aki.
009	Sinda asin an saindang mga kapagarakian an maglilingkod sako bilang padi sagkod pa man.
010	Darahon mo sa atubangan kan Tabernakulo an torilyong baka asin sabihan mo si Aaron saka an saiyang mga aki na iduta an saindang mga kamot sa ibabaw kan payo kan torilyong baka.
011	Dangan bunoon mo an torilyong baka sa atubangan ko, duman sa may pintoan kan Tabernakulo.
012	Kumua ka nin dikit na dugo kan torilyong baka asin sa paagi kan saimong muro, lahidan mo an sungay kan altar; an natadang dugo iula mo gabos sa pamitisan kan altar.
013	Kuahon mo an gabos na taba na nakakatahob kan bituka, an pinakamarahay na parte kan katoy, an duwang bato kaiba an taba kaiyan asin tutongon mo gabos sa altar bilang atang sako.
014	Alagad an karne kan torilyo, an anit asin an odo kaiyan tutongon mo sa luwas kan kampo.
014	Ini an atang na mahale kan mga kasalan kan mga padi.
015	Dangan kuahon mo an saro sa duwang karnerong lalaki asin sabihan mo si Aaron saka an saiyang mga aking lalaki na iduta an saindang mga kamot sa ibabaw kan payo kan karnero.
016	Bunoon mo an karnero, salodon an dugo asin iwirik mo sa apat na gilid kan altar.
