verse	content
001	Antes pa del creacion del mundo, ta existi ya el quien ta llama el Palabra.
001	Este Palabra amo el quien ta expresa todo el pensamiento de Dios.
001	Este Palabra junto con Dios y igual tamen con ele.
002	Junto ya le con Dios desde el principio gayot de todo las cosas.
003	Y por medio de ese Palabra, Dios ya crea todo las cosas.
003	Nuay nada ya queda creao si hende por medio de aquel Palabra.
004	El vida de todo ya sale con ele, y este vida di suyo igual como el luz que ta dale claridad na pensamiento del maga gente.
005	Este luz ta alumbra con el oscuridad, y el oscuridad no puede gana con ese luz.
006	Tiene un gente con quien Dios ya manda aqui na mundo, y su nombre si Juan.
007	Ya vene le para habla con el maga gente acerca de ese luz, para todo el maga gente ay puede tene el oportunidad para cree con ese por medio del mensaje di Juan.
008	Si Juan hende aquel luz, sino Dios ya manda con ele aqui na mundo para habla acerca de ese luz.
009	Y ese luz amo gayot el deverasan luz que ya llega na mundo para alumbra el maga entendimiento del maga gente.
010	Entonces ese Palabra ta llama tamen el Luz, ya llega ya na mundo.
010	Pero masquin Dios man ya hace este mundo por medio di suyo, ese mismo maga gente que Dios ya crea nuay conoce con ele.
011	Ya llega le na di suyo mismo lugar de Israel, pero el maga ciudadano alla nuay recibi con ele.
012	Pero tiene di ila ya recibi y ya cree tamen con ele, y con esos maga gente ya dale le el derecho para queda el maga anak de Dios.
013	Cuando ya queda sila anak de Dios, hende ese por causa del di ila nacimiento natural, sino Dios mismo ya queda el di ila verdadero tata.
014	Aquel Palabra ya queda un carne humano y ya vivi le junto canaton, y tiene le gran compasion y el entero vida di suyo verdad gayot.
014	Y ya mira came el di suyo poder que ya recibi le cay ele el unico Hijo del Padre Celestial.
015	Cuando si Juan ta predica, ta habla le acerca del Hijo, y este el cosa ya habla le, Ele ya amo aquel que ya habla yo con ustedes, que de vene despues di mio.
015	Y ele amo el mas importante que conmigo, cay ele ta existi ya man antes pa que conmigo.
016	Por causa del abundancia del di suyo lastima, todo kita ya recibi el di suyo gran favor, y ta continua le dale canaton ese gran favor.
017	Dios ya dale el ley con el maga Judio por medio di Moises, pero el maga gente ta puede recibi el gran favor y verdad de Dios por medio di Jesucristo.
018	Nuay ningunos quien ya mira con Dios, sino el di suyo unico Hijo lang, quien ta esta na lao derecha del di suyo Padre, y ele lang amo el quien ya hace entende canaton si cosa el naturaleza de Dios.
019	El maga lider Judio na Jerusalem ya manda anda con el maga padre Judio y con el maga servidor del templo que ta llama Levitas para pregunta con Juan el Bautista si ele ya ba el Cristo.
020	Nuay le esconde el verdad, ya contesta le bien claro, Hende yo el Cristo.
021	Despues ya pregunta sila, Si ansina, quien man gale uste?
021	Si Elias ba?
022	Ya contesta si Juan, Hende yo si Elias.
023	Y ya pregunta ya tamen sila con ele, Uste ba el profeta que Dios ya promete para manda con el di aton nacion?
024	Ya contesta otra vez si Juan, Hende yo aquel profeta.
025	Despues ya pregunta sila otra vez, Entonces, quien man gayot uste?
025	Habla dao gayot canamon si quien uste, cay aquellos quien ya manda canamo quiere gayot sabe si cosa uste puede habla acerca di uste persona.
026	Ya contesta le canila, Yo el anunciador quien ta predica alla na desierto el maga palabra di Isaias, quien ya habla antes pa gayot, Hace limpio el camino para donde ay pasa el Seor.
027	El maga Pariseo na Jerusalem amo el quien ya manda con esos maga mensajero con Juan,
028	y ya pregunta el maga mensajero con Juan, Si uste hende el Cristo, ni si Elias, ni aquel profeta, porque man uste ta bautisa con el maga gente?
029	Ya contesta si Juan canila, Ta bautisa yo con agua, pero tiene uno alli entre con ustedes que no conoce ustedes.
030	Y ele ya amo aquel que de vene despues di mio, pero hende yo merece masquin para desata ya lang el liston del di suyo maga sandalias.
031	Todo este maga conversacion di ila ya sucede alla na Betania, un barrio na otro lao del Rio de Jordan.
031	Aquel el lugar donde si Juan ta bautisa con el maga gente.
032	Ala maana cuando didia ya, si Juan ya mira con Jesus ta atraca con ele, y ya habla si Juan, O, taqui ya el Cordero de Dios, quien ay quita el pecado del maga gente na mundo.
033	Ele ya man aquel ta habla yo con ustedes cuando ya habla yo, Ele ay vene atras di mio y amo el mas importante que conmigo, cay ele ta existi ya mas antes pa que conmigo.
034	Nuay pa man gayot yo conoce si quien ele, pero ya vene yo para bautisa con agua para hace claro con el maga gente de Israel si quien gayot ele.
035	Despues si Juan ya continua pa habla, Ya mira yo con el Espiritu Santo na forma de un paloma que ya sale na cielo y ya abaja para con ele, y ese Espiritu Santo ya esta con ele.
036	Nuay pa man gayot yo conoce si quien ba gayot ele, pero Dios, quien ya manda conmigo para bautisa con agua, ya habla, Ay mira uste con el gente con quien el Espiritu Santo ay abaja y esta.
036	Ese ya el persona quien ay bautisa con el maga gente por medio del Espiritu Santo.
037	Ya mira yo con ese suceso, y ta habla gayot yo con ustedes que ele ya gayot el Hijo de Dios.
038	Ala maana si Juan el Bautista parao ya junto con el dos del di suyo maga siguidores.
039	Y mientras si Jesus ta pasa cerca canila, ya pija gayot si Juan con ele y ya habla, Mira!
039	Talla o, el cordero que Dios ya dale como un ofrenda por causa del pecado.
040	Cuando el dos siguidores di Juan ya oi el cosa ya habla le, ya deja sila con Juan y ya sigui junto con Jesus.
041	Si Jesus ya bira cara y ya mira le con ese dos quien ta sigui con ele, y ya pregunta le canila, Cosa man ustedes ta busca?
042	Ya contesta sila, Rabbi, donde man uste ta queda?
042	Este palabra rabbi quiere decir maestro.
043	Ya contesta si Jesus, Sigui lang mira.
043	Poreso ya sigui sila con ele hasta donde le ta queda.
043	Y ya gasta sila el resto del dia junto con ele, cay tiene ya gale aquel maga alas cuatro del tarde.
044	Uno de aquellos dos siguidores quien ya sigui con Jesus cuando ya oi el maga palabra di Juan el Bautista amo si Andres el hermano di Simon Pedro.
045	Despues si Andres ya anda busca con su hermano si Simon, y ya habla con ele, Ya encontra ya came con el gente con quien Dios ya escoje para reina como un rey entre el maga gente, y ele amo el Cristo.
046	Despues si Andres ya lleva con Simon alla con Jesus.
047	Si Jesus ya mira gayot con Simon, y ya habla, Tu gale si Simon, el anak di Juan, pero desde ahora el nombre di tuyo si Cefas ya.
047	Este nombre Cefas igual con el nombre Pedro que quiere decir piedra.
048	Ala maana si Jesus ya decidi anda na Galilea.
048	Ya encontra le con Felipe, y ya habla, Vene y sigui conmigo.
049	Aquel si Felipe ya sale na Betsaida, el pueblo donde ta queda tamen si Andres y si Pedro.
050	Ahora si Felipe ya anda busca con Nataniel, y cuando ya encontra le con ese ya habla le, Mira tu, ya encontra ya came con el persona, aquel que ya escribi si Moises na libro del ley, hasta el maga profeta gane ya escribi acerca di suyo.
050	Ele ya gale si Jesus, el hijo di Jose de alla na Nazaret.
051	Ya habla si Nataniel con ele, Aha!
051	Cosa man gaja bueno puede sale alla na Nazaret, ese lugar hende mentao?
052	Si Felipe ya habla con ele, Vene para mira.
053	Cuando si Jesus ya mira con Nataniel ta acerca ya con ele, ya habla le, Taqui ya el Judio bien sincero, quien hende ta engaa ni con ningunos.
054	Ya pregunta si Nataniel con ele, Paquemodo man uste conoce conmigo?
055	Ya contesta si Jesus con ele, Ay!
055	Antes de llamar si Felipe contigo, ya mira ya yo contigo cuando talla pa tu abajo del ponoy higuera.
056	Despues ya habla dayun si Nataniel, Maestro, uste amo el Hijo de Dios, el Rey del di aton nacion Israel.
057	Despues ya habla si Jesus con ele, Ta cree ya ba tu cay ya habla yo que ya mira yo contigo abajo del ponoy higuera?
057	Ay mira pa tu mas grande cosas que con ese.
058	Ya continua si Jesus habla canila, Ta habla gayot yo claro, ay mira ustedes el cielo abierto, y ay mira tamen ustedes con el maga angeles de Dios ta man anday viene con el Hijo del Hombre.
