verse	content
001	Un dia de Sabado un lider del maga Pariseo ya invita con Jesus na di suyo casa para come.
001	Cuando si Jesus ya entra na casa todo el maga gente alla ta visia el di suyo maga movimiento.
002	Un gente bien inchao el entero cuerpo ya entra alli na casa, y ya para enfrente di Jesus.
003	Despues si Jesus ya man atubang para con el maga maestro Judio y con el maga Pariseo, y ya pregunta le canila, El ley di aton ta permiti ba gaja cura durante el dia de Sabado o hende?
004	Pero todo man sila callao y nuay ni uno ya contesta con ele.
004	Despues si Jesus ya pone su mano na cuerpo del gente bien inchao, y enseguidas ya queda le bueno.
004	Despues si Jesus ya manda ya con ele volve.
005	Y ya pregunta si Jesus canila, Si uno di ustedes tiene anak o vaca que ya cae na poso hondo, ay brinca ustedes dayun para saca con ese, masquin dia pa de Sabado, hende ba?
006	Nuay tamen sila puede contesta ese pregunta.
007	Ya nota si Jesus si paquemodo el maga visita ta busca maga buen lugar para senta sila, poreso ya dale le este ilustracion.
008	Si tiene quien ay invita con uno di ustedes na casamiento, no gayot senta na lugar reservao para del maga visita importante, cay basi tiene tamen un gente invitao mas alto pa el puesto que contigo.
009	Y el dueo quien ya invita con ustedes dos ay anda alla donde ta senta uste, y ay habla, Aber!
009	Mas bueno gaja levanta anay tu alli, cay este lugar reservao para de este gente!
009	Despues ay tene pa uste huya, y ay anda ya lang ocupa el lugar bien lejos con el dueo del casa.
010	Poreso si ay queda ustedes invitao, busca lugar alla banda atras del maga visita para si puede mira con uste el dueo del celebracion ay atraca le para habla, Amigo, alla uste move adelante cerca conmigo.
010	Ansina todo aquellos alla sentao junto con ele ay pensa, Aquel gente bien importante gayot!
011	Todo el quien ta hace importante con el di ila mismo persona, Dios ay hace gayot canila menos, pero aquellos quien ta pensa que hende sila importante, Dios ay hace canila importante gayot.
012	Despues si Jesus ya habla tamen con el Pariseo quien ya invita con ele, Si uste ta hace un celebracion didia o de noche, no mas invita maga vecino rico, cay sila tamen ay hace un celebracion y invita tamen con uste.
012	Entonces pagao ya uste por aquel invitacion ya hace uste canila.
013	Pero si ay hace uste celebracion, invita con el maga pobre y con el maga inutil, y con el maga pi-ang, y con el maga bulak.
014	Entonces ay sale uste bendicido, cay sila hende ay puede paga con uste.
014	Pero Dios ay paga con uste, si ay resucita todo el maga gente quien ya obedece con Dios cuando vivo pa sila.
015	Cuando uno de aquellos sentao na mesa ya oi el cosa ya habla si Jesus, ya habla le, Bendicido el gente quien ay queda invitao para come alla na Reino de Dios.
016	Pero si Jesus ya habla, Tiene un gente ya hace celebracion bien grande y ya invita le bien mucho gente.
017	Cuando ya llega el hora para come, ya manda le con el di suyo ayudante anda habla con su maga invitao, Vene ya ustedes, cay preparao ya el mesa.
018	Pero todo sila ya principia hace el maga escusa.
018	El uno ya habla con el ayudante, Na.
018	Hende gayot yo ay puede anda, cay ya compra yo un sementera y ahora ay anda yo anay mira con ese.
018	Habla ya lang con el di tuyo amo, dispensa ya lang gayot conmigo.
019	Y el otro invitao ya habla, Ya compra yo dies vaca arador, y ay anda pa yo proba con aquellos si bueno ba.
019	Habla con el di tuyo amo, favor ya lang gayot dispensa conmigo.
020	Despues el otro pa ya habla, Na.
020	Hende gayot yo ay puede anda.
020	Sabe tu nuevo lang gayot yo ya casa.
020	Habla lang alla canila, dispensa ya lang conmigo.
021	Ya volve ya el ayudante y ya conta con su amo todo el di ila maga escusa, y el dueo del celebracion ya queda gayot bien rabiao.
021	Entonces ya habla le con el di suyo ayudante, Anda de pronto na maga calle y na maga camino diutay del ciudad, y lleva aqui con el maga pobre y con el maga inutil, maga bulak, y maga pi-ang!
022	Nuay tarda taqui ya el ayudante, or, ya acaba ya yo hace el cosa uste ya ordena conmigo, pero mucho pa gayot kita lugar y puede pa omenta gente.
023	Entonces su amo ya habla otra vez, Anda na maga camino y atras del maga buuk afuera del ciudad, y esforsa con el maga gente vene para llena el di mio casa!
024	Ta habla gayot yo claro que nuay de aquellos maga ingrato con quien ya invita yo primero ay saboria el di mio comida que ya prepara yo para di ila!
025	Cuando si Jesus ya acaba ya come, ya sale le na casa del Pariseo y un manada de gente ta sigui junto con ele.
025	Despues ya bira le cara para canila y ya habla,
026	Si quien quiere sigui conmigo y queda el di mio dicipulo necesita otorga deja con su tata y nana, con su mujer y con su maga anak, pati con su maga hermano y hermana.
026	Y masquin pa ay otorga dale su vida por amor di mio.
026	Si hende ele ay otorga dale su vida ansina, hende gayot ele ay puede queda uno del di mio dicipulo.
027	Si quien hende ay carga el di suyo mismo cruz de sufrimiento y sigui conmigo, no puede le queda el di mio siguidor.
028	Si tiene un gente quien ta plania planta un torre na di suyo plantacion de uvas, necesita le pensa gayot anay y conta si cuanto el gasto para sabe le si tiene ba bastante cen para completa el trabajo.
029	Cay si talla ya el fundacion para el torre y despues ya man cabus ya el di suyo cen; hende na ay puede acaba el trabajo y todo el quien ta mira con ese ay ganguia con ele.
029	Asegurao ay habla gayot sila,
030	Mira ustedes con ese gente!
030	Ya principia ya anay ele pone el fundacion del torre, pero nuay gayot ele hace acaba!
031	Tiene pa otro ejemplo.
031	Si un rey tiene lang dies mil soldao y quiere anda man guerra contra con el otro rey, despues ya mira le que aquel otro rey tiene gale veinte mil soldao, entonces necesita pensa anay le si ay puede le gana o hende.
032	Si ta sinti le hende ele ay puede gana na guerra, entonces mientras lejos pa el di suyo enemigo, ay manda le con su maga mensajero anda con el otro rey man conferencia para tene paz.
033	Ya continua habla si Jesus canila, Entonces, nuay ningunos quien ay puede queda el di mio dicipulo si hende le ay deja todo el maga cosas que tiene le.
034	Sabe ya man kita el sal bueno, pero si pasao ya el sabor de ese nuay mas otro manera para devolve el sabor.
035	Ni hende na ese bueno masquin mescla con el tierra, ni con el sucio de vaca para abono.
035	Bueno ya lang ese para buta.
035	Si quien quiere aprende necesita oi enbuenamente.
