verse	content
001	Aquel mismo dia ya sale si Jesus na casa y ya anda senta na orilla del mar.
002	Despues ya ajunta con ele el manada de gente, poreso ya entra le na vinta cerca na aplaya y ya senta alla, y el manada de gente talla na arena.
003	Y si Jesus ta ensea muchas cosas por medio del maga cuento, y ansina le ta habla,
004	Tiene un sembrador quien ta hace sabut similla na su tablon.
005	Mientras ta hace le sabut, tiene del maga similla ya guinda na pasada.
005	Despues ya llega el maga pajaro y ya acaba come con ese maga similla.
006	Tiene del maga similla ya guinda tamen na piedragal donde tiene poco tierra encima, y nuay tarda el maga similla ya crici.
007	Pero cuando ya abuya el sol ya queda layung el maga siembra, cay nuay crici enbuenamente el maga reis, y poreso ya muri.
008	Tiene del maga similla ya guinda entre maga zacate matunuk, y ya crici el similla alla junto con ese, pero nuay mas puede crici enbuenamente, cay bien dalasucan ya el maga reis, y nuay puede cosecha.
009	Pero tiene tamen del maga similla ya cae na buen tierra ya donde ya crici enbuenamente, y ya dale buen cosecha, como cien veces mas del similla que con el ya hace sabut, y tiene sesenta veces, y otros treinta veces mas.
010	Despues ya habla si Jesus, Si quien quiere aprende, necesita oi enbuenamente.
011	Despues ya llega el maga dicipulo, y ya pregunta con ele, Porque man uste ta ensea con el maga gente por medio del maga cuento?
012	Ya contesta le canila, Dios ya manda sabe con ustedes el maga secreto acerca del di suyo Reino, pero con el maga otro gente, nuay ele manda sabe.
013	El quien tiene ya alguna cosa, Dios ay omenta pa con ese con abundancia, pero el quien nuay pa nada o masquin tiene le poco, Dios ay quita pa con ese.
014	El rason si porque ta pone yo cuento amo cay masquin ta mira sila y ta oi, hende sila nunca ta puede nota ni entende.
015	Este maga gente amo el quien ta cumpli el cosa ya habla el profeta Isaias de antes,
016	Ustedes ay oi que oi gale pero nunca ay entende, y ay mira que mira pero nunca ay sabe el verdad.
017	Cay el maga corazon de este maga gente ya queda duro, y como si fuera ya queda sila bungul.
017	Y igual como ta cerra sila el di ila ojos, cay si nuay sila hace ansina ay puede era sila mira y oi y ay puede era entende tamen, y ay bira sila ole conmigo y yo ay puede era cura el di ila irida del pecado.
018	Pero bendicido ustedes que el di ustedes maga ojos ta puede mira para sabe el verdad, y el di ustedes maga orejas ta puede oi para entende.
019	Ta habla gayot yo claro, que mucho profeta y mucho gente devoto quiere gayot mira el cosa ustedes ta puede mira, pero nuay sila puede.
019	Y quiere tamen sila oi el cosa ustedes ta puede oi, pero nuay siempre puede.
020	Ahora oi ustedes enbuenamente, y ay esplica yo acerca del cuento del sembrador.
021	Aquel maga similla que ya guinda na pasada puede kita compara con el maga gente quien ta oi el mensaje acerca del Reino de Dios, pero hende sila ta entende.
021	Despues ay llega dayun si Satanas y ay causa le canila olvida el maga palabra que ya oi sila.
022	Y aquel maga similla que ya guinda entre maga piedragal puede kita compara con el maga gente quien ta oi y ta cree dayun con alegria el maga palabra de Dios.
023	Pero nuay tarda el di ila creyencia, cay hende fuerte el di ila fe, como el siembra que ta falta reis.
023	Y al llegar el maga tormento y ta malhabla el otros canila por causa del di ila fe con Dios, enseguidas ay perde sila el di ila fe.
024	Y aquel maga similla que ya guinda entre maga zacate matunuk amo el ta representa el maga gente quien ta oi y ta cree el maga palabra de Dios, pero no puede tene buen resulta na di ila vida, y ta olvida el cosa ya oi sila cay ta man ansias gayot sila el maga cosas del mundo y ta confia sila con el riqueza para hace canila alegre.
025	Pero aquel maga similla que ya cae na buen tierra amo el ta representa el maga gente quien ta oi y ta obedece gayot el maga palabra de Dios.
025	Ta tene sila buen resulta na di ila maga vida, como un buen cosecha que ta dale cien veces, sesenta veces, y treinta veces mas que con el ya hace sabut.
026	Despues ya pone si Jesus este otro cuento para ensea canila y ya habla le, El modo Dios ta reina, puede kita compara con el gente quien ya man sabut buen clase de similla na di suyo tablon.
027	Pero un noche mientras ta durmi le, ya llega el di suyo enemigo, y ya man sabut el similla del mal clase de zacate entre maga similla de trigo, y despues ya sale le.
028	Poreso cuando ta crici el siembra del trigo y ta principia tene fruta, aquel semilla del zacate ta crici ya tamen.
029	Y el maga trabajador del dueo del tablon ya anda avisa con ele, y ya habla, or, ya sembra uste un buen clase lang de similla na di uste tablon hende ba?
