verse	content
001	Cuando ya acaba ya el dia de descanso, si Salome pati si Maria Magdalena y si Maria el nana di Jaime ya compra maga ingrediente para embalsama el cuerpo di Jesus.
002	Bien temprano aquel primer dia del semana cuando ta abuya ya el sol, ya anda ya ese maga mujer na tumba di Jesus.
003	Y mientras ta camina pa lang sila, ta habla sila con uno y otro, Quien man gale ay hace ligid el piedra na boca del tumba?
004	Cuando cerca ya sila alla na tumba, ya mira sila que tiene ya quien ya hace ligid con aquel grande piedra para abri el tumba.
005	Y cuando ya entra sila na tumba, ya mira sila un joven sentao na lao derecha, vestido con ropa largo y blanco.
005	Despues el maga mujer ya queda bien asustao.
006	Pero aquel joven ya habla canila, No asusta!
006	Sabe man yo ta busca ustedes con Jesus de Nazaret, con quien ya crucifica, pero ele nuay mas aqui cay ya resucita ya le.
006	Mira con el lugar donde ya pone sila con ele.
007	Ahora, anda ya habla con Pedro y con el maga otro dicipulo di Jesus que ele ay man una pa que con ustedes anda na Galilea.
007	Y alla ay mira ustedes con ele, como ya habla le antes con ustedes.
008	Despues ya sale el maga mujer na tumba corriendo y bien asustao, pati ta tembla pa gayot.
008	Y nuay habla nada ni con ningunos cay tiene gayot sila miedo.
009	Cuando ya resucita si Jesus, bien temprano pa aquel primer dia del semana, ya abuya le una con Maria Magdalena, aquel mujer con quien antes ya icha le afuera siete demonio na di suyo cuerpo.
010	Despues de mirar le con Jesus, ya anda le para habla el noticia con el maga dicipulo quien antes ta sigui junto con Jesus, pero ahora ta llora sila y bien dolorido pa.
011	Pero cuando ya oi sila que vivo ya si Jesus y ya oi tamen sila que si Maria ya mira con ele, nuay sila cree.
012	El otro tiempo ya abuya tamen si Jesus con el dos dicipulo mientras ta camina sila afuera del pueblo, pero el di suyo ichura diferente ya.
013	Y cuando ya conoce ya sila con ele ya bira sila ole na Jerusalem para habla con el los demas maga dicipulo, pero aquellos tamen nuay cree con el dos.
014	El otro tiempo tamen mientras ta come el once dicipulo, ya abuya si Jesus canila, y ya regaa le canila cay falta sila de fe y duro gayot el di ila maga corazon, cay nuay sila cree con aquellos quien ya mira ya con ele despues de resucitar.
015	Despues ya habla le canila, Anda ya na entero lugar del mundo, y predica el Buen Noticia acerca di mio con todo el maga gente que Dios ya crea.
016	Y aquellos quien ay cree el Buen Noticia acerca di mio y ay queda bautisao, ay puede sila queda salvao del pecado.
016	Pero aquellos quien hende ay cree, ay queda sila condenao na infierno.
017	Todo el maga gente quien ta cree, ay sabe que tiene sila el poder de Dios, cay ay puede sila icha afuera demonio por medio del di mio nombre, y ay puede tamen sila habla otro maga lenguaje desconocido.
018	Ay puede sila agarra maga culebra venenoso, y puede toma algun veneno, pero nuay nada cosa ay pasa canila.
018	Y si ay pone sila el di ila mano na cabeza del maga enfermo, ay queda esos bueno.
019	Cuando ya acaba el Seor Jesucristo conversa con el di suyo maga dicipulo, ya subi le para entra ya na cielo, y alla ya senta ya le na lao derecha de Dios.
020	Despues el maga dicipulo ya anda predica na donde donde lugar, y el Seor ta ayuda siempre canila.
020	Ta dale le canila aseguranza que el mensaje ta predica sila deverasan gayot de Dios, cay ta puede sila hace maga milagro na nombre di Jesucristo.
020	Amen.
