verse	content
001	Ang Ginoo miingon kang Moises,
002	Ihalad kanako ang tanang kamagulangang anak nga lalaki sa mga Israelita ug ang tanang panganay sa kahayopan kay akoa sila.
003	Si Moises miingon sa katawhan, Hinumdomi ninyo kining adlawa nga maoy inyong pagbiya sa Ehipto diin kamo giulipon kay gipagawas kamo sa Ginoo pinaagi sa iyang talagsaong gahom.
003	Ayaw kamo pagkaon ug pan nga may patubo.
004	Niining adlawa sa bulan sa Abib, mobiya kamo sa Ehipto.
005	Busa kon madala na kamo sa Ginoo ngadto sa yuta nga tabunok kaayo nga gipuy-an sa mga Canaanhon, sa mga Hitihanon, sa mga Amorihanon, sa mga Hibihanon ug sa mga Jebusihanon nga iyang gisaad sa inyong mga katigulangan nga ihatag kaninyo, sauloga ninyo niining bulana kining mosunod nga seremonyas
006	Sulod sa pito ka adlaw pan nga walay patubo ang inyong kan-on ug sa ikapitong adlaw himoa ang usa ka kasaulogan alang sa Ginoo .
007	Pan nga walay patubo ang kan-on ninyo sulod sa pito ka adlaw ug kinahanglan nga wala gayoy patubo o pan nga may patubo bisan asa sa inyong dapit.
008	Niadtong adlawa ipasabot ninyo sa inyong mga anak nga gihimo kining tanan aron paghandom sa gihimo sa Ginoo kaninyo sa pagbiya ninyo sa Ehipto.
009	Kining maong seremonyas magsilbing usa ka timaan diha sa inyong kamot ug usa ka patik diha sa inyong agtang nga magpahinumdom kaninyo aron magpadayon kamo paghisgot sa Balaod sa Ginoo kay siya ang nagpagawas kaninyo sa Ehipto pinaagi sa iyang talagsaong gahom.
010	Busa tumana kining seremonyas matag tuig sa gitakda nga panahon.
011	Sa dihang dad-on na kamo sa Ginoo ngadto sa yuta sa mga Canaanhon sumala sa gisaad niya kaninyo ug sa inyong katigulangan ug inighatag niya niini kaninyo,
012	ihalad ninyo sa Ginoo ang tanang kamagulangan.
012	Ang matag panganay nga laki sa inyong mga kahayopan iya sa Ginoo .
013	Apan gikan kaniya lukata ug nating karnero ang panganay sa inyong mga asno.
013	Kon dili ninyo kini lukaton, balia ninyo ang liog niini.
013	Lukata ninyo ang inyong kamagulangang anak nga lalaki.
014	Kon sa umaabot nga panahon mangutana ang inyong anak nga lalaki sa kahulogan niini, tubaga siya, Ang Ginoo nagpagawas kanamo sa Ehipto diin kami giulipon.
014	Giluwas kami niya pinaagi sa iyang talagsaong gahom.
015	Sa dihang nagmagahi ang hari sa Ehipto ug nagdumili sa pagpalakaw kanamo, gipatay sa Ginoo ang tanang kamagulangang anak nga lalaki sa mga Ehiptohanon ug ang tanang panganayng laki sa mga kahayopan.
015	Busa ihalad namo sa Ginoo ang tanang panganay nga laki apan lukaton namo ang among mga kamagulangang anak nga lalaki.
016	Kining maong seremonyas mahimong usa ka tigpahinumdom, sama sa usa ka timaan diha sa among mga kamot o usa ka patik diha sa among mga agtang kay gipagawas man kami sa Ginoo gikan sa Ehipto pinaagi sa iyang talagsaong gahom.
017	Sa dihang gipalakaw na sa hari sa Ehipto ang mga Israelita, wala sila dad-a sa Dios agi sa dalan sa yuta sa mga Filistihanon bisan pag kini mao ang labing laktod.
017	Miingon ang Dios, Dili ko gusto nga mausab ang hunahuna sa mga Israelita inigkakita nilag gubat kay tingalig mobalik sila sa Ehipto.
018	Busa gidala niya sila libot sa awaaw nga dapit paingon sa Dagat nga Pula.
018	Armado ang mga Israelita nga migikan sa Ehipto.
019	Gidala ni Moises ang mga bukog ni Jose sumala sa gipapanumpa ni Jose sa mga Israelita nga buhaton gayod nila kay si Jose miingon, Motabang gayod kaninyo ang Dios; unya dad-a ninyo ang akong mga bukog.
020	Mibiya sila sa Sucot ug nagkampo didto sa Etam, sa daplin sa kamingawan.
021	Sa adlaw, nag-una kanila ang Ginoo pinaagi sa panganod nga daw haligi aron paggiya kanila sa agianan.
021	Sa gabii nag-una siya pinaagi sa kalayo aron paghatag kanila ug kahayag.
021	Sa ingon makapanaw sila adlaw ug gabii.
022	Ang panganod kanunayng diha sa ilang atubangan panahon sa adlaw ug ang kalayo panahon sa gabii.
