verse	content
001	Gipanalanginan sa Ginoo si Sara sumala sa iyang gisaad
002	ug nagsabak siya ug nanganak ug batang lalaki sa dihang tigulang na si Abraham.
002	Natawo ang bata sa adlaw nga gisaad sa Dios.
003	Ginganlan ni Abraham ang iyang anak ug Isaac.
004	Sa walo na ka adlaw ang bata, gituli siya ni Abraham sumala sa gisugo kaniya sa Dios.
005	Usa ka gatos ka tuig ang edad ni Abraham sa pagkatawo ni Isaac.
006	Miingon si Sara, Gilipay ug gipakatawa ako sa Dios.
006	Mangatawa ang tanan uban kanako inigkasayod nila niini.
007	Unya midugang siya sa pag-ingon, Kay kinsay makasulti kang Abraham nga ako makapasuso pa?
007	Apan ako nanganak ug batang lalaki bisag tigulang na si Abraham.
008	Nagtubo ang bata ug sa adlaw sa paglutas niya, nagkombirag dako si Abraham.
009	Usa ka adlaw niana, si Ismael nga anak ni Abraham ug ni Hagar nga Ehiptohanon nagdula uban kang Isaac nga anak ni Sara.
010	Sa pagkakita ni Sara niini, giingnan niya si Abraham, Papahawaa kining ulipon nga babaye ug ang iyang anak.
010	Kinahanglan dili mo bahinan sa imong katigayonan ang iyang anak kay ang akong anak nga si Isaac mao ray angay manunod niini.
011	Nakapaguol kini pag-ayo kang Abraham kay si Ismael iya man usab nga anak.
012	Apan ang Dios miingon kang Abraham, Ayaw kaguol sa bata ug sa imong ulipon nga si Hagar.
012	Buhata ang giingon kanimo ni Sara kay pinaagi kang Isaac maimo ang mga kaliwat nga akong gisaad.
013	Hatagan ko usab ug daghang anak ang anak sa ulipon aron mahimo silang nasod kay siya usab imo mang anak.
014	Sayo sa pagkabuntag gihatagan ni Abraham si Hagar ug kalan-on ug tubig nga gisulod sa panit nga sudlanan.
014	Gipasung-ay niya ang bata kang Hagar ug iyang gipalakaw.
014	Unya milakaw si Hagar ug naglatagaw sa kamingawan sa Berseba.
015	Sa nahutdan na siyag tubig, gibiyaan niya ang bata ubos sa usa ka sampinit.
016	Ug milingkod siya sa dapit nga may mga 100 ka metros ang gilay-on gikan sa bata.
016	Miingon siya sa iyang kaugalingon, Dili ako makaako pagsud-ong nga mamatay ang bata.
016	Unya samtang naglingkod siya didto, mihilak ang bata.
017	Nadungog sa Dios ang hilak sa bata, ug gikan sa langit ang anghel sa Dios misulti kang Hagar, Hagar, nganong naguol ka man?
017	Ayaw kahadlok.
017	Nabati sa Dios ang hilak sa bata.
018	Tindog, lakaw, kugosa siya ug pahiloma.
018	Himoon kong dakong nasod ang iyang mga kaliwat.
019	Unya gipakita sa Dios kang Hagar ang usa ka atabay.
019	Miadto siya sa atabay ug gipuno niyag tubig ang sudlanan, ug gipainom niya ang bata.
020	Nag-uban ang Dios sa bata hangtod nga midako siya.
020	Nagpuyo siya sa kamingawan sa Paran ug nahimo siyang usa ka batid nga mangangayam.
021	Nagpili ang iyang inahan ug usa ka Ehiptohanon nga iyang pangasaw-onon.
022	Niadtong panahona si Abimelec uban ni Picol, ang heneral sa iyang mga kasundalohan, miadto kang Abraham.
022	Ug miingon siya kang Abraham, Ang Dios nagauban kanimo sa tanan nga imong gibuhat.
023	Busa panumpa dinhi sa atubangan sa Dios nga ako o ang akong mga anak o ang akong mga kaliwat dili nimo limbongan.
023	Nagmatinud-anon ako kanimo, busa ipanumpa nga ikaw magmatinud-anon usab kanako ug niining yuta nga imong gipuy-an.
024	Miingon si Abraham, Ipanumpa ko.
025	Si Abraham misumbong kang Abimelec bahin sa usa ka atabay nga giilog sa mga sulugoon ni Abimelec.
026	Si Abimelec miingon, Wala ako mahibalo kon kinsay nagbuhat niini.
026	Wala mo ako sultihi bahin niini.
026	Karon pa ako makadungog niini.
027	Unya gihatagan ni Abraham si Abimelec ug mga karnero ug mga baka ug unya naghimo silag kasabotan.
028	Mikuha si Abraham ug pito ka buok nating karnero nga baye gikan sa iyang panon.
029	Unya nangutana kaniya si Abimelec, Nganong gihimo mo man kini?
030	Si Abraham mitubag, Dawata kining pito ka buok nating karnero nga baye.
030	Sa pagdawat mo niini imong gipasabot nga ako ang nagkalot niining atabaya.
031	Ug busa gitawag ug Berseba ang maong dapit kay didto man sila magpanumpaay.
032	Tapos mahimo nila ang kasabotan didto sa Berseba, si Abimelec ug si Picol namauli sa yuta sa mga Filistihanon.
033	Unya nagtanom si Abraham ug kahoyng tamarisko didto sa Berseba ug iyang gisimba si Yahweh, ang walay kataposang Dios.
034	Mipuyo si Abraham didto sa yuta sa mga Filistihanon sa dugayng panahon.
