verse	content
001	Maghimo ka sing altar nga sunogan sang insyenso.
001	Himuon mo ini halin sa kahoy nga akasya.
002	Kinahanglan kwadrado ini, desi-otso ka pulgada ang kalabaon, kag desi-otso ka pulgada ang kasangkaron, kag tatlo ka tapak ang kataason.
002	Kinahanglan ang iya mga sungaysungay sa apat ka mga pamusod unay sa sini.
003	Haklapan mo sing puraw nga bulawan ang ibabaw, ang iya apat ka kilid, kag ang iya mga sungaysungay, kag himuan mo sing molde nga bulawan sa palibot sini.
004	Himuan mo sing duha ka mga sulosingsing nga bulawan kag itakod mo sa idalom sang molde sa duha sini ka kilid, agod nga pagaguloan sang mga yayungan kon ini pagadal-on.
005	Himuon mo ini nga mga yayungan halin sa kahoy nga akasya kag haklapan mo ini sing bulawan.
006	Ibutang mo ini nga altar sa gwa sang kurtina nga nagakabit sa atubangan sang Kaban sang Kasugtanan.
006	Amo ini ang lugar sa diin magapakigkita ako sa imo.
007	Si Aaron magasunog sang insyenso nga mahumot sa ibabaw sini kada aga, kon nagaaman sia sang mga suga.
008	Amo man ini ang dapat niya himuon kon magsindi sia sang mga suga sa kahapunanon.
008	Ini nga paghalad sang insyenso dapat magpadayon nga wala sing untat sa tanan ninyo nga mga kaliwatan.
009	Indi ka maghalad sa sini nga altar sang insyenso nga ginadilian, ukon bisan ano nga sapat nga halad nga sinunog, ukon bisan ano nga halad nga kalan-on, kag indi ka magbubo sa sini sang bisan ano nga halad nga ilimnon.
010	Makaisa sa isa ka tuig si Aaron magahiwat sang seremonya sa pagtinlo sing altar paagi sa pagbutang sang dugo sang sapat nga ginhalad para sa sala sa apat ka mga sungaysungay.
010	Dapat pagahimuon ini sa tagsa ka tuig sang tanan nga mga kaliwatan nga magasunod.
010	Kinahanglan manginbalaan gid ini nga altar nga nahalad sa akon, ang Ginoo .
011	Ang Ginoo nagsiling kay Moises,
012	Kon magpang-isip ka sang mga tawo sang Israel, ang tagsa ka tawo kinahanglan magbayad sa akon sang bili para sa iya kabuhi, agod nga wala sing halit nga magaabot sa ila samtang ginahimo ang pagpang-isip.
013	Ang tagsatagsa nga nalakip sa pagpang-isip, dapat magbayad sang balayran nga ginapangayo suno sa opisyal nga talaksan.
013	Ang tagsatagsa dapat magbayad sini subong nga dulot sa akon.
014	Ang tagsatagsa nga naisip sa pagpang-isip, nga nagaedad sang baynte ka tuig pa ibabaw, magabayad sini nga kantidad sa akon.
015	Ang manggaranon indi magbayad sang sobra, ukon ang imol sing kulang, kon magbayad sila sini nga kantidad para sa ila kabuhi.
016	Tipunon mo ini nga kwarta halin sa mga tawo sang Israel kag gamiton ini sa pag-atipan sang Tolda sang akon presensya.
016	Ini nga buhis amo ang kabayaran para sa ila mga kabuhi, kag magadumdom ako sa pag-apin sa ila.
017	Ang Ginoo nagsiling kay Moises,
