verse	content
001	Kar-on, nabatian kang mga Fariseo nga mas raku ang nadara ni Jesus nga mangin anang disipulo kag ginabawtisohan sangsa kay Juan,
002	bisan pa nga sa pagkamatuod karia, bukun tana si Jesus gid ang nagapangbawtiso kundi ang anang mga disipulo.
003	Kang naman-an dya ni Jesus, naghalin tana sa Judea kag nagbalik liwan sa Galilea.
004	Sa pag-agto na sa Galilea kinahanglan gid nga mag-agi tana sa probinsya kang Samaria.
005	Kang nagaagi run tana sa Samaria, nag-abot tana sa sangka banwa nga ginatawag Sicar.
005	Ang Sicar nga dya marapit sa sangka puna nga lupa nga gintugro kato anay ni Jacob sa anang bata nga si Jose.
006	Rugto man sa Sicar ang bubon ni Jacob, kag tungud nga nalapyo gid si Jesus sa ana nga pagpanglakatun, nagpungko tana sa may kilid kang bubon.
006	Mga udto adlaw run kato.
007	Burubuhay, may sangka bayi nga Samaritanhun nga nag-abot para magsag-ub.
007	Nagkuon si Jesus kana, Pwede mo ako itaw-an kang tubig nga akun mainum?
008	Ang anang mga disipulo kato nagpanaw sa syudad para magbakal ka pagkaun.
009	Nagsabat ang bayi, Judio kabay ikaw kag ako takun bayi nga Samaritanhun, andut haw nga nagapangayo ikaw kanakun kang tubig para imnun?
009	Ginkuon na dya tungud nga ang mga Judio wara nagapakig-impon sa mga Samaritanhun.
010	Nagkuon si Jesus kana, Kon naman-an mo lang raad kon ano ang ginatugro kang Dios nga wara ti bayad kag kon sin-o ang nagapangayo kanimo kang tubig, ikaw pa raad ang magapangayo kana kag pagataw-an na ikaw kang tubig nga nagatugro kang kabuhi.
011	Nagkuon ang bayi, Sir, ano bay pagbuul mo ka tubig hay wara ikaw ti timba kag dalum pa ang bubon?
011	Sa diin bay ikaw mabuul kang tubig nga dya nga nagatugro kang kabuhi?
012	Labaw pa bala ikaw sangsa atun ulang nga si Jacob nga amo ang nagtugro kanamun kang bubon nga dya?
012	Tana mismo kag anang mga kabataan rugya nagsag-ub kang andang gin-inum.
012	Rugya man sanda nagbuul kang tubig para sa andang mga kasapatan.
013	Nagsabat si Jesus, Ang bisan sin-o nga magainum kang tubig nga dya pagauhawun liwan,
