verse	content
001	Kang paglantaw ni Jesus nakita na ang mga manggaranun nga nagabutang kang andang mga halad sa burutangan kang kwarta sa templo.
002	Nakita na man ang sangka imol nga bayi nga balo nga nagabutang kang darwa ka metal nga sinsilyo.
003	Nagkuon si Jesus, Sugidan ko kamo, ang bayi nga balo nga imol nga dya nagbutang kang sobra sangsa kananda tanan!
004	Tungud hay tanan sanda nagbutang halin sa sobra kang andang manggad, pero ang bayi tana nga ria bisan pa nga imol tana, gintao na pa ang kwarta nga amo lang ang makabuhi kana.
005	Ang iba sa mga disipulo nagmuno kon daw ano kanami ang Templo nga nahuman sa mga manami nga mga bato kag napunihan kang manami nga mga butang nga ginhalad sa Dios.
005	Nagkuon si Jesus,
006	Kon nahanungud sa mga butang nga dya nga inyo makita sa tulad, magaabot ang tion nga wara gid ti mabilin rugya bisan sangka bato nga nagasampaw sa isara.
006	Marumpag gid dya tanan!
007	Ginpamangkot nanda si Jesus, Maestro, san-o bay dya mabato?
007	Kag ano ang paratandaan nga marapit run lang dya matabo?
008	Nagsabat si Jesus, Mag-andam kamo nga indi kamo mapatalang.
008	Tungud hay duro nga mga tawo ang magaturohaw kag magapakuno-kuno nga sanda amo ako, kag magakuon, Ako amo tana kag Amo run dya ang katapusan nga tion!
008	Pero indi gid kamo magsunod kananda.
009	Kon may mabatian kamo gyera kag kinagamo, indi kamo magkahadluk.
009	Ang dya nga mga butang kinahanglan nga matabo anay, pero wara dya nagakahulogan nga amo run ria ang katapusan kang tanan.
010	Kag nagkuon tana kananda, Magairinaway ang mga nasyon kag amo man ang mga ginharian.
011	Magaabot man ang tama ka baskug nga mga linog, gutum kag nanari-sari nga mga balatian sa nagkalain-lain nga mga lugar.
011	May magatuhaw nga makakurugmat kag daragkul nga paratandaan nga makita sa kalangitan.
012	Pero sa wara pa magkaratabo ang tanan nga dya, pagadakpun kamo kag pagahingaboton.
012	Pagadar-un kamo sa mga sinagoga kag ipapriso.
012	Paatubangun kamo sa mga hari kag sa mga gobernador tungud kanakun.
013	Amo run dya ang inyo kahigayonan nga makapanugid kamo nahanungud kanakun.
014	Ibutang gid ninyo sa inyo panghuna-huna nga indi kamo magpalibug kon paano kamo magsabat,
015	tungud hay tugroan ko kamo kang inyo inughambal kag kaaram agud to nga wara ti bisan isara sa inyo mga kaaway ang makasabat ukon makasupok kaninyo.
016	Pagatraidoran kamo kang inyong mga ginikanan, mga kabugtoan, mga himata, kag mga kaabyanan, kag ang iba kaninyo pagapatyun.
017	Kaugtan kamo kang tanan nga mga tawo tungud kanakun.
018	Pero wara gid ti may madura kaninyo bisan isara sa inyong mga buhok.
019	Magpakarig-un kamo, kag maluwas ninyo ang inyo kaugalingun.
020	Kon makita run gani ninyo nga nalibutan run kang mga sudado ang Jerusalem, maman-an ninyo nga sa indi magbuhay pagagub-un run dya.
021	Gani ang mga katawhan sa Judea magparalagyo run sa kabukidan, ang sa sulud kang syudad magparalagyo man, kag ang rugto tana sa mga kaumahan indi run mag-uyang ka tyempo sa pagsulud sa syudad.
022	Tungud hay amo run dya ang, Adlaw kang Pagsilot, nga amo ang katumanan kang ginakuon sa Kasulatan.
023	Sa amo to nga mga inadlaw makaluluoy gid ang nagabusong kag mga nagapatiti.
023	Tungud hay tuman gid ang kalisud nga maaguman kang lugar nga dya, kag ang kasingkal kang Dios maaguman gid kang mga katawhan nga dya.
024	Ang iba pagapatyun paagi sa espada, kag ang iba tana pagabihagun kag dar-un sa tanan nga mga nasyon.
024	Ang Jerusalem pagagub-un kang mga bukun ti Judio hasta sa adlaw nga matapos ang andang pagginahum.
025	May mga makatiringala nga paratandaan nga matabo sa adlaw, sa bulan kag sa mga bituon.
025	Rugya tana sa lupa, ang mga nasyon magabatyag kang tuman nga kahadluk tungud sa kagahud kag hinagunus kang daragkul nga mga balud sa dagat.
026	Magakapunaw ang mga tawo sa kahadluk sa pagpaminsar kon ano pa gid ang matabo sa kalibutan, tungud hay ang mga butang dyan sa kahawaan pagauyugun.
