verse	content
001	Kar-on, nag-umpisa ruman ka panudlo si Jesus sa binit kang Linaw kang Galilea.
001	Tama gid ka duro ang mga katawhan nga nagtiripon palibot kana, gani nga nagsakay tana sa baruto nga rugto sa tubig kag magpungko.
001	Ang mga tawo tana rugto sa daray-ahan nagatirindug.
002	Kag nagpanudlo tana kananda kang duro nga mga butang paagi sa mga paraanggidan nga nagakuon,
003	Pamati kamo!
003	May sangka mangunguma nga nagpanaw sa pagsab-og kang binhi.
004	Samtang nagasab-og tana, ang iba nga mga binhi nagturupa sa aragyan, kag nagdarapo ang mga pispis kag gintuka nanda dya.
005	Ang iba tana nga mga binhi rugto nagturupa sa batohon nga bahin kang taramnan nga sa diin manabaw lang ang lupa.
005	Wara mabuhayi nag-urulhot ang mga tubo na ka dya, tungud hay manabaw lang ang lupa.
006	Kag kang pagsirak kang adlaw, nalayung dya kag nag-uga tungud nga wara dya makapanggamot ka mayad.
007	Ang iba ruman tana nga mga binhi rugto nagturupa sa ginatuboan kang sapinit.
007	Kag nagturubo ang mga sapinit kag ginlumus na ang mga binhi nga nagturubo, gani nga wara dya makapamunga.
008	Kag ang iba pa gid tana nga mga binhi nagturupa sa manami nga lupa.
008	Nagparamuhi dya kag nagralambo hasta nga nakapamunga.
008	Ang iba ka dya nakapatubas kang katloan ka pilo, ang iba tana kan-uman ka pilo kag ang iba pa gid tana sanggatos ka pilo.
009	Pagkatapos nagkuon si Jesus, Kamo nga mga nagaparamati, intiendiha ninyo ka mayad ang inyo nabatian.
010	Kang nagaisarahanun run lang si Jesus, nagparapit kana ang iba nga nakabati imaw kang napulo'g darwa ka mga disipulo kag nagpamangkot kana nahanungud sa mga paraanggidan.
011	Gani nagkuon si Jesus, Gintugro run kaninyo ang kaaram sa paghangup kang mga likum nga mga kamatuoran nahanungud sa paghari kang Dios.
011	Pero sa iba tana pagatudloan sanda paagi sa mga paraanggidan,
012	agud to nga,
013	Bisan magsagad sanda ka turuk,
014	indi man angud sanda makakita;
015	bisan magsagad sanda ka pamati,
016	indi man angud sanda makahangup.
017	Tungud hay kon ginhimo nanda ria, magadangup sanda sa Dios,
018	kag patawarun na sanda.
019	Gani ginpamangkot sanda ni Jesus, Indi kamo haw makahangup kang paraanggidan nga dya?
019	Paano pa bay ang paghangup ninyo kang iba nga mga paraanggidan?
020	Ang ginsab-og amo ang pulong kang Dios.
021	Ang mga binhi nga nagturupa sa aragyan pareho kang mga tawo nga nakabati kang pulong kang Dios, dayon nag-abot si Satanas kag ginbuul ang mga mensahe nga ginsab-og sa andang tagipusoon.
022	Ang iba ruman tana nga mga binhi nga nagturupa sa batohon nga lugar pareho kang mga tawo nga nakabati kang pulong kang Dios kag ginbaton lagi nanda dya nga may kalipay.
023	Ugaring wara dya magtuduk sa andang tagipusoon, gani nga wara dya magpabilin.
023	Pag-abot kang mga kalalat-an kag paghingabot tungud kang pulong, dayon lang man nanda talikod.
024	Ang iba ruman tana nga mga binhi nga nagturupa sa dugihun nga lugar, pareho kang mga tawo nga nakabati kang pulong kang Dios,
025	ugaring ang andang mga panghuna-huna nabuhos sa mga paraligban sa pagpangabuhi kag sa paghanggab sa manggad kag sa paghandum kang iba pa gid nga mga butang, gani gindaug ang pulong nga rugyan run sa andang tagipusoon kag wara dya makapamunga.
026	Pero ang iba tana nga mga binhi nga nagturupa sa manami nga lupa pareho kang mga tawo nga nakabati kang pulong kang Dios kag ginbaton nanda dya kag nagpamunga sanda ka dya ka duro, ang iba katloan ka pilo, ang iba tana kan-uman ka pilo kag ang iba pa gid tana sanggatos ka pilo.
027	Nagpadayon pa gid si Jesus sa paghambal, May sulo bala nga ginadara para lang takluban ukon ibutang sa idalum kang katre?
027	Indi bala nga ginabutang dya sa anang turungtongan?
028	Wara ti tinago nga indi maman-an, kag wara ti sekreto nga indi maman-an.
029	Kamo nga nagaparamati intiendiha ninyo ka mayad ang inyo nabatian!
030	Kag nagkuon pa gid tana kananda, Talupangda ninyo ang inyo nabatian.
030	Ang taraksan nga inyo gin-gamit sa paghusgar nga inyo ginhimo sa iba amo man ang pagagamitun kang Dios sa paghusgar kaninyo, kag sobra pa gani.
031	Tungud hay ang tawo nga may ginaangkun pagatugroan pa gid kang duro, pero ang tawo tana nga wara ti ginaangkun pagabul-un pa gani kana ang bisan gamay nga rugyan kana.
032	Kag nagpadayon pa gid si Jesus sa pagkuon, Ang Paghari kang Dios pareho kang sangka tawo nga nagsab-og kang binhi sa anang uma.
033	Adlaw kag gabii nagaobra tana kag nagaturog samtang ang binhi tana nagaurulhot kag nagatubo nga wara na maman-i kon paano dya nagakatabo.
034	Ang lupa mismo ang nagapatubo kag nagapabunga kang tanum.
034	Una anay nga nagaulhot amo ang ugdo, madason amo ang uhay kag ang urihi amo ang uhay nga buta kang matimgas nga bunga.
035	Kag kon gurang run ang mga bunga na ka dya, ginagarab dya dayon tungud hay aranyun run.
036	Kar-on, nagpamangkot si Jesus, Sa ano bala natun mapaanggid ang paghari kang Dios ukon ano nga paraanggidan ang atun gamitun sa pagpaathag ka dya?
037	Kaangay dya kang liso kang mustasa nga pinakagamay nga liso sa kalibutan kang gintanum dya.
038	Pero kon manubo run gani dya, mangin pinakabahul dya sa tanan nga puno kang laswa kag mananga dya kang daragkul nga mga sanga, gani ang mga pispis makapamugad sa anang mga sanga nga maharon.
039	Nagapanudlo si Jesus sa mga katawhan paagi sa mga paraanggidan pareho ka dya.
039	Ginatudloan na sanda kutub sa andang masarangan ka hangup.
040	Wara tana nagahambal kananda kon indi paagi sa mga paraanggidan, pero kon sandahanun lang kang anang mga disipulo ginapaathag na ang tanan kananda.
041	Pagkasirum kang adlaw nga to, nagkuon si Jesus sa anang mga disipulo, Matabok kita sa pihak kang linaw.
042	Gani ginbilin nanda ang mga tawo.
042	Ang mga disipulo nagsakay sa baruto nga sa diin rugto run nga daan nagapungko si Jesus, kag gindara nanda tana.
042	Kag may mga baruto man nga nagtarawas kananda.
043	Gulpi lang nga naghuyup ang mabaskug nga hangin, kag nagwaswas ang daragkul nga mga balud gani nga daw mabuta run kang tubig ang baruto.
044	Pero si Jesus tana rugto sa likod nayon kang baruto nagakaturog nga nagaulon sa ulonan.
044	Ginpukaw nanda tana, Maestro, wara bala ikaw nagakabalaka nga malunod run kita?
045	Gani, nagbangon si Jesus kag ginmandoan ang hangin nga magpuut, kag ginhambalan ang mga balud nga magkanay.
045	Nagpuut ang hangin kag naglinung ang tanan.
046	Dayon nagkuon si Jesus sa anang mga disipulo, Andut haw nga nahadluk kamo?
046	Wara angud kamo haw ti pagtoo?
047	Pero gindakup sanda kang tuman nga kahadluk kag nagmunohay, Sin-o gid tana dya nga tawo man nga bisan pa ang hangin kag mga balud nagatuman kana?
