verse	content
001	Ikakinsi ka tuig san paghadi ni Tiberio Cesar, si Poncio Pilato amo man an gobernador san Judea.
001	Si Herodes naman an namumuno san Galilea.
001	An iya kamanghod na si Felipe amo an namumuno san lugar san Iturea kag Traconite kag si Lesanias amo man an namumuno san Abilinia.
002	Sani pa na panahon an mga namumuno san kapadian amo sinda Anas kag Caifas.
002	Sani man nakaabot an tugon san Dios kan Juan na anak ni Zacarias didto sa disyerto.
003	Niyan, nagtukdo si Juan sa mga tawo sa mga probinsya sa magluyo san suba san Jordan na sinda magpabunyag sa pagpamatuod na nagbaya na sinda sa kasal-an agod patawadon sinda san Dios.
004	Manungod sani na tawo nasurat san propeta na si Isaias sa libro san iya mga ginsabi,
005	May nagasiyak sa disyerto
006	Preparara an agihan sa pag-abot san Ginoo.
007	Tadunga an iya mga pagaagihan.
008	An tanan na mga hamubo na lugar dapat abunuhan, pataga an tanan na mga kabukidan.
008	An paliku-liko na mga agihan dapat tadungon kag dapat punuan an mga lubak-lubak na dalan.
009	Pakatapos an magasalbar na hali sa Dios makikita san tanan na katawuhan.,
010	Kaya sinabihan ni Juan an kadamuan na nagkaradto agod magpabunyag sa iya, Kamo na bagan mga sawa, nano, ginaisip niyo na makadulag sa maabot na grabe na kaurit san Dios?
011	Kun nagabasol kamo kag nagabaya san mga kasal-an maghimon mga pagpamatuod sani kay basi iniisip niyo na dili na niyo kinahanglan magbaya san pagkasala pa kay si Abraham an iyo kalulululuhi kaya masasalbar na kamo.
011	Ayaw kamo pag-isip sana.
011	Ginasiguro ko sa iyo na bisan mga kalahi kamo ni Abraham kinahanglan niyo magbasol kag magbaya san pagkasala.
011	Kun habo kamo, kaya san Dios na makahimo sin tunay na mga kalahi ni Abraham hali sani na mga bato didi imbes sa iyo.
012	Niyan, bagan mga kahoy kamo kag bisan ngani yana preparado na an wasay na iuutod sa gamot san mga kahoy.
012	Idton dili nagabungan matahom pupuludon kag igadabok.
013	Naghurunga sa iya an mga kadamuan, Nano man gali an dapat namon himuon?
014	Nagsabat si Juan, An duha an bado dapat ibahin niya an usad sani sa tawo na wara kag idton igwan ginakaon amo man an iya himuon.
015	Igwa man sin mga parasukot san buwis na nagkaradto para magpabunyag kag naghunga sa iya, Sir, saka kami, nano an dapat namon himuon?
016	Ginsabat sinda ni Juan, An tama lang gayod an isukot niyo.
017	May mga suldados man na naghunga sa iya, Saka kami gali?
017	Nano man an dapat namon himuon?
017	Nagsabat siya, Ayaw pagpangwarta paagi sa pakusugan o buwa na pag-akusar kundi kinahanglan na makontento kamo san iyo sweldo!
018	Niyan, sa dako na paglaom sa gintuga san Dios na maabot an Cristo nagahuna an katawuhan na basi si Juan amo siya,
019	pero ginsabat sinda tanan ni Juan, Ako an nagapambunyag sa iyo paagi sa tubig pero igwan maabot na mas makagagahom pa ki sa akon kaya dili ngani ako angay bisan maghubad san sintas san iya mga sandalyas.
019	Siya an magabunyag sa iyo paagi sa Espirito Santo kag kalayo.
020	Pagabulagon niya an mga maraot na tawo sa mga maayo pareho san paghimalid para ibulag an mga upa kag titipunon naman an mga humay sa kamalig.
020	Pakatapos an mga upa susunugon niya sa dili mapaparong na kalayo.
021	Niyan, paagi san damo pa na mga pakisurmaton gintukdo sa inda ni Juan an maayo na barita manungod kan Cristo.
022	Pero an namumuno na si Herodes ginparasaway ni Juan dahilan na ginasambay si Herodias na asawa na san kamanghod sani kag san iba pa na mga karautan na ginhimo.
023	Ginpanamas pa ni Herodes ini tanan san ginpapriso niya si Juan.
024	Pero antes sani na pangyayari may adlaw na pakapabunyag san tanan na katawuhan didto kag pakatapos mismo pagbunyag kan Jesus.
024	Myintras nagapangadyi siya nagbuka an langit kag
025	an Espirito Santo na nagapaitsura bagan salampati naglusad pakadto sa iya.
025	Pakatapos may boses na nabati hali sa langit, Ikaw an akon palangga na Anak na ginakalipay ko gayod.
026	San pagtuna ni Jesus pagtukdo mga 30 anyos na an iya edad.
026	Anak siya ni Jose na amo ini an paghuna san mga tawo.
027	Si Jose anak ni Eli
028	na anak ni Matat.
028	Ini si Matat anak ni Levi na anak ni Melqui kag si Melqui naman anak ni Jana na anak ni Jose.
029	Si Jose anak ni Matatias na anak ni Amos.
029	Ini si Amos anak ni Nahum na anak ni Esli.
029	Si Esli anak ni Nage
030	na anak ni Maat na anak ni Matatias.
030	Si Matatias anak ni Semei na anak ni Jose.
030	Si Jose anak ni Juda
031	na anak ni Joana.
031	Si Joana anak ni Resa na anak ni Zorobabel na anak ni Saltiel na anak ni Neri.
032	Si Neri anak ni Melqui na anak ni Adi.
032	Ini si Adi anak ni Cosam na anak ni Elmodam na anak ni Er.
033	Si Er naman anak ni Josue na anak ni Eliezer na anak ni Jorim na anak naman ni Matat.
033	Si Matat anak ni Levi
034	na anak ni Simeon na anak ni Juda kag ini si Juda anak naman ni Jose na anak ni Jonan na anak ni Eliaquim
035	na anak ni Melea.
035	Ini si Melea anak ni Mainan na anak ni Matat na anak ni Natan na anak ni David.
036	Si David anak ni Jesse na anak ni Obed kag si Obed anak naman ni Booz.
036	Si Booz anak ni Salmon na anak ni Naason
037	na anak ni Aminadab na anak ni Admin.
037	Si Admin anak naman ni Arni na anak ni Esrom na anak ni Fares.
037	Ini si Fares anak ni Juda
038	na anak ni Jacob.
038	Si Jacob anak ni Isaac na anak naman ni Abraham.
038	Ini si Abraham anak ni Tare na anak ni Nacor.
039	Si Nacor anak ni Serug na anak ni Ragau na anak naman ni Peleg kag si Peleg anak ni Heber na anak ni Sala.
040	Si Sala anak ni Cainan na anak ni Arfaxad na anak ni Sem.
040	Si Sem anak ni Noe na anak ni Lamec,
041	na anak ni Metusalem na anak naman ni Enok.
