verse	content
001	Niyan nagkaradto naman kan Jesus an mga Pariseo kag mga Saduceo agod porbaran siya.
001	Kaya naghunga sinda kun may milagro siya na ikapakita bilang tanda na hali sa langit an iya poder.
002	Nagsabat siya, Kun nagatunod na an adlaw nasabi kamo, Maayo an panahon buwas kay mapula an langit.
003	Tapos pagkaaga naman nasabi kamo, Maraot an panahon yana kay nagapula-pula an langit kag madampog.
003	Maaram kamo magtugma kun may uran o wara kun nakikita niyo an panganuron pero dili gali niyo aram an gusto sabihon san mga tanda na ginapakita san Dios manungod sani na panahon.
004	Maraot an mga tawo na nabubuhay yana kay nagbaya sinda sa Dios.
004	Gusto ninda makakita sin milagro bilang tanda san akon gahom pero waran ipapakita sa inda kundi an pareho san nangyari sa propeta na si Jonas.
004	Tapos didi niya binayaan sinda.
005	Pakatabok san mga disipulos sa danaw nadumduman ninda na wara gali sinda magdaran pagkaon.
006	Didi sinabihan sinda ni Jesus, Paghimat kag paglikay sa lebadura san mga Pariseo kag Saduceo.
007	Nagairistoryahan an mga disipulos, Basi ginsabi niya ini kay nalimot kita magdaran pagkaon.
008	Pakaaram sani ni Jesus, ginhunga sinda, Mga kulang an pagsarig, nano kay ginairistoryahan niyo na wara kamon pagkaon?
009	Dili pa ba gihapon kamo nakapanginano?
009	Nano, nalimutan na niyo an nangyari sa lima ka bilog na tinapay na ginpakaon sa lima ka libo na mga tawo kag pagkatapos kun pira pa ka bangkat na may natipon kamo?
010	Nano, nalimutan na niyo an nangyari sa pito ka bilog na tinapay na ginpakaon sa upat ka libo kag pagkatapos kun pira pa ka bangkat na sobra an iyo natipon?
011	Nano kay dili pa gihapon niyo nasasabutan na dili manungod sa pagkaon an ginasabi ko?
011	Kaya maglikay gayod kamo sa lebadura san mga Pariseo kag Saduceo.
012	Niyan didi lang ninda nasabutan na an likayan dili kay an lebadura sa paghimo sin tinapay kundi an mga ginatukdo san mga Pariseo kag Saduceo.
013	Pag-abot ninda Jesus sa lugar san Cesarea Filipo naghunga siya sa iya mga disipulos, Sumati daw niyo ako kun nano an pagkakilala san mga tawo sa akon na Anak San Tawo?
014	Nagsabat sinda, May nagasabi na ikaw kuno si Juan na Parabunyag na nabuhay gihapon, an iba naman na ikaw kuno si Elias kag may iba pa gayod na ikaw kuno si Jeremias o usad san mga kasadto na mga propeta.
015	Pero kamo, nano an pagkakilala niyo sa akon?
015	an hunga ni Jesus sa inda.
016	Didi ginsabat siya ni Simon Pedro, Ikaw an Cristo na Mesias.
016	Ikaw an Anak san buhay na Dios.
017	Nagsabat naman si Jesus, Ginpalabi ka, Simon, anak ni Jonas, kay dili tawo an naghayag sani sa imo kundi an akon Ama na adto sa langit.
018	Kaya tandai ini: ikaw ginatawag Pedro, kag didi sani na bato titipunon ko an akon mga katawuhan bilang akon simbahan.
018	Dili ini kaya daugon san gahom hali sa impyerno.
019	Ihahatag ko sa imo an mga lyabi san kahadian san langit.
019	Kaya an igabawal mo sa kinab-an igabawal man sa langit, kag an itutugot mo sa kinab-an itutugot man sa langit.
020	Tapos ginpadaanan gayod niya an iya mga disipulos na dili magpanumat bisan kanin-o na siya an Cristo.
021	Tuna sadto nagtuna si Jesus pagpahayag sa iya mga disipulos na dapat siya magkadto sa Jerusalem kag magtios sin grabe sa mga kagurangan na namumuno san mga Judio, mga namumuno san kapadian kag mga paratukdo san Kasuguan, tapos papatayon pero sa ikatulo ka adlaw bubuhayon gihapon.
022	Didi ginbulag anay siya ni Pedro sa kadamuan kag nagtuna pagsaway sa iya, Ginoo, buyag!
022	Dili gayod ini mangyayari sa imo.
023	Pero gin-atubang siya ni Jesus kag gin-uritan, Layas dida, Satanas!
023	Ulang ka lang sa akon kay an imo ginaisip dili an sa Dios kundi an sa tawo.
024	Pakatapos sani ginsabihan ni Jesus an iya mga disipulos, Kun may gusto mag-upod sa akon bilang disipulos ko dili niya dapat sundon an sadiri niya na kabubut-on kundi sundon lugod an kaburut-on ko kag pas-anon an iya krus na amo an pagtios tungod sa akon.
025	Nasabi ko ini kay an nagahandom masalbar an iya buhay para sa iya sadiri mawawar-an sani pero an maghalad san iya buhay alang-alang sa akon magkakaigwa lugod sani.
026	Kay nano man an pakinabang san tawo kun mapasa iya an bilog na kinab-an kun an kabalyo sani an pagkasira san iya buhay?
026	Syimpre wara gayod!
026	Kay wara man siyan mahatag agod mapabalik ina na buhay.
027	Ginasabi ko ini kay ako na Anak San Tawo mabalik na may glorya san akon Ama kaupod an mga anghel.
027	Tapos didto ko babalusan an kada usad susog sa iya nagkahirimuan.
028	Ginasiguro ko sa iyo na igwa sin pira sa iyo na nagatindog didi na dili mapapatay hasta na makita an pag-abot ko na Anak San Tawo bilang hadi.
