verse	content
001	Sa iba na adlaw nagtuna si Jesus pagtukdo didto sa may higad san danaw.
001	Tungod kay damu-damo na mga tawo an nagtiripon patalibod niya, nagsakay siya sa sarakyan sa danaw kag didto nag-ingkod.
001	An kadamuan naman adto sa may pangpang san danaw.
002	May pasadi-sadi na gintukdo siya sa inda paagi sa mga istorya.
002	Sa iya pagtukdo nagsabi siya,
003	Niyan pamati kamo!
003	May parauma na nagpauma para magsabwag.
004	Sa iya pagsabwag may mga binhi na nakatupa sa may dalan pero tinuruka ini san mga sapat na nag-arabot.
005	May mga nakatupa man sa kabatuhan na didto dyutay la an duta.
005	Nagturubo dayon ini kay hamabaw man lang an duta,
006	pero pagragit san adlaw naluyos, tapos nag-uga idto kay wara makagamot sin maayo.
007	May iba naman na mga binhi na nakatupa sa katunukan pero pagdaragko san katunukan nasiutan ini kaya wara kapamunga.
008	Niyan may iba man na mga binhi na nakatupa sa mataba na duta, nagturubo sin maayo, nagdaragko kag nagburunga.
008	May mga nagbunga sin tigtraynta, may tigsisenta kag an iba pa ginatos kada binhi.
009	Pakatapos nagsabi pa siya, Kamo na makabati, magpamati sin maayo!
010	San si Jesus na lang kag san dose na mga disipulos kaupod pa an mga pira ka tawo na nakatiripon sa iya, ginhunga ninda siya kun nano an gusto sabihon san iya gin-istorya.
011	Nagsabat naman siya, Kamo an gintugutan na maaraman an sikreto san kahadian san Dios pero sa mga iba an tanan sani ginatukdo paagi sa mga istorya,
012	agod bisan
013	sing-ano an kakita ninda dili gihapon ninda mapanginanuhan kag abir sing-ano an kapamati ninda dili gihapon sinda makasabot,
014	kay kun nasasabutan ninda ini magabag-o na kuntani sinda kag an inda mga sala mapatawad.,
015	Sinabihan sinda ni Jesus, Nano, dili niyo ini nasasabutan na istorya?
015	Kun sugad, pan-o pa niyo masasabutan an iba pa na sugad sani?
015	Amo ini an gusto sabihon sana na istorya.
016	An ginasabwag san parauma amo an mga surmaton san Dios.
017	Pareho an nakatupa sa dalan na mga binhi amo idton mga nakabati sana na surmaton, tapos nagaabot dayon si Satanas kag nagahali san surmaton na inda nabati.
018	Pareho man san mga binhi na nakatupa sa kabatuhan idton mga nakabati san surmaton, tapos nagatuod dayon kag nagakarilipay.
019	Pero kay wara ninda ini ipasabuot kaya dili ini nadudugay.
019	Nagatubo anay an inda pagtuod sin kadali pero oras na may kalisdanan o kasakitan dahilan san pagsunod sa katukduan, nawawara dayon an inda pagtuod.
020	May mga iba pa na pareho man san mga binhi na ginsabwag sa katunukan.
020	Nakabati sinda san surmaton,
021	pero an mga kahandalan san pagkabuhay, an kasadya san kayamanan kag san paghandom san damo na mga bagay amo an nagapalimot san surmaton kaya wara ini makapamunga.
022	Pareho naman san mga binhi na nakatupa sa mataba na duta amo ini an mga nakapamati san surmaton kag nagasunod man sani bagan mga tanom na nakapamunga sin tigtraynta, sin tigsisenta o sin ginatos kada binhi.
023	Nagsurmaton pa si Jesus, Nano, ginasindihan an ilawan para tahuban sa bangkat o itago sa sirong san katri?
023	Syimpre dili!
023	Dapat ini ipaitaas agod mapawaan an tanan.
024	May panahon man na ihahayag gayod an nano man na bagay na gintago kag an nano man na ginsikreto ipapaaram man.
025	An sin-o man na makabati, magpamati sin maayo!
026	Nagsabi pa si Jesus, Isipa sin maayo an iyo ginapamatian.
026	An sukulan na ginagamit niyo amo man an sukulan na gagamiton sa iyo kag papasobrahan pa ina.
027	Kaya, siya na igwa pagadagdagan pa pero sa iya na wara-wara gayod an nano man na dyutay na ada sa iya pagakuhaon pa.
028	Nagpadayon pa gayod si Jesus, Pareho pa san nagasabwag san mga binhi sa iya uma an kahadian san Dios.
029	Sa damo na mga adlaw kag gab-i, bisan magturog o magmata an parauma, an mga binhi nagaturok kag nagadaragko pero wara siyan kaaraman kun pan-o ini nagatubo.
030	An duta amo mismo an nagapaturok kag nagapabunga san mga tanom.
030	Primero mauslot, masunod an uhay tapos an matimsog na pasi.
031	Paghinog san bunga insigida ginagarab kay amo na an tig-anihan.
032	Nagsurmaton pa si Jesus, Sa nano naton ikapareho an kahadian san Dios?
032	Nano daw na istorya an makapahayag sani?
033	Pareho ini san pisog san mustasa na kun ginatanom amo an pinakadyutay sa mga pisog sa bilog na kinab-an.
034	Pero kun natanom na ini nagigin pinakadako san mga tinanom kag nagsasaranga sin daragko kaya nasasalagan kag nasisirungan san mga sapat.
035	Sa paggamit sin manlain-lain na istorya gintukdo ni Jesus an surmaton san Dios susog sa inda kakayahan na pagsabot.
036	Kun sa kadamuan, an iya panukdo pirme paagi sa istorya pero kun siya kag san iya mga disipulos lang, ginapahayag niya an tanan.
037	Pagkagab-i sadto na adlaw gin-agda sinda ni Jesus, Hamos kita patabok san danaw.
038	Kaya gin-upod ninda si Jesus sa inda dako na baruto kag nagpalawod.
038	Igwa pa sin iba na mga sarakyan na nagsabay sa inda.
039	Taud-taod may umabot na subasko kag nasasabyahan san balod an inda sarakyan kaya haros malunod na ini.
040	Pero maanok an pakakaturog ni Jesus sa ulin na nakaulon pa.
040	Pinukaw siya kag sinabihan ninda, Maestro, wara ka ban labot kun malunod kita?
041	Nagbangon siya kag ginsaway an hangin, Udong!
041	Tapos ginsugo naman niya an mga balod, Ayaw pagparahiwag!
041	Nag-udong dayon an hangin kaya malinaw na gayod.
042	Tapos sinabihan niya sinda, Nano kay nagkaharadlok kamo?
042	Nano, wara pa gayod kamo sin pagsarig sa akon?
043	Wara sindan ikasabat kay nagkangarawa gayod sinda pero nagpahurunga-hunga, Nano daw ini siya kay an hangin kag mga balod ngani nagasunod sa iya!
