verse	content
001	Manlapud Elim pinmikal ya amin iray Israelita, et diad kumalabinliman agew na kumadwan bulan kayari na impanaynan dad Egipto, akasabi rad kalawakan na Sin a nanleetan na Elim tan Sinai.
002	Diman ed kalawakan, nanriklamod kinen Moises tan Aaron iray amin ya Israelita.
003	Inkuandad sikara, Magmaung ni la laingen komun no say Katawan et pinapatey to kamid man ed Egipto.
003	Nayarian mid may ondongo a mangan na karni tan arum ni ran kakanen ed anggaay nayarian mi.
003	Balet inawit yo kami a pateyen ed eras diad kalawakan.
004	Say Katawan kuantod kinen Moises, Natan paoranen ko a manlapud tawen na kakanen a para sikayon amin.
004	Saray totoo et nepeg ya ompaway iran inagew-agew a manala na kanen dan onduga ed sanagew.
004	Diad onya nasubok ko no onuren da kasi iray bilin ko.
005	Diad kumanem ya agew nepeg a doblien da so alaen da, insan da iparaan.
006	Kanyan si Moises tan si Aaron kuandad saray amin ya Israelita, Diad sayan labi naamtaan yo a say Katawan so angipaway ed sikayo a manlapud Egipto.
007	Diad kabwasan nanengneng yoy kagalangan na Katawan .
007	Nadngel to ray riklamo yo a sumpad sikatoon, sumpad sikato, ta susumpalen mi labat iray bilin to.
008	Insan inkuanen Moises, Diad labi say Katawan so mangiter ed sikayo na karnin kanen yo tan diad kabwasan, say tinapay ya anggan anto lay karakel na labay yo, lapud nadngel to no panoy impanriklamo yo sumpad sikato.
008	Say katwaan to, no manriklamo kayo sumpad sikami manririklamo kayo sumpad Katawan .
009	Si Moises kuantod kinen Aaron, Ibagam ed saray amin a totoo ya ondago ra tan manalagey ira ed arap na Katawan , lapud nadngel to ray riklamo ra.
010	Nen mansasalitay Aaron ed amin a katoowan linmingaw ira ed kalawakan, et kabebekta pinmatnag ed lorem so kagalangan na Katawan .
011	Say Katawan kuantod kinen Moises,
012	Nadngel ko ray riklamo da ray Israelita.
012	Ibagam ed sikara ta diad kapansironget nawalaan ira na karnin siraen, tan diad kabwasan nawalaan ira na tinapay ya anggan antoy karakel na labay da.
012	Diad satan, naamtaan da a siak so Katawan a Dios da.
013	Diad labi walay olup na amayamay a pugo a mantikyab iran sinmabi tan apanatan day kampo, tan diad kabwasan walay linaew ed kaliber-liber na kampo.
014	Nen naandipat lay linaew, wala ray atilak ed dalin a bengatlan tirampiak tan maimpis.
014	Singa ra kinmigtel a linaew.
015	Nen anengneng ira na saray Israelita, ag da amta no anto ra man kanyan nantetepetan ira, Anto ya?
016	Si Moises kuantod sikara, Sikato yay kanen yo ya inter na Katawan .
017	Say Katawan ingganggan to a manala so balang sakey ed sikayo na dugan nakaukolan to;
017	sakey ya litro so para balang sakey a kabyangan na pamilya to.
018	Ginawa ya na saray Israelita.
018	Saray arum et masoluk so inala ra tan saray arum, kulang;
019	balet nen sukaten day inala ra, saray angala na masoluk anggapoy soluk da, tan saray angala na kulang anggapoy kulang da.
019	Nantipon na dugan nakaukolan to so balang sakey ed sikara.
020	Si Moises kuantod sikara, Nepeg ya anggapod sikayo so mangisinup na natipon to para ontombuk ya agew.
021	Balet wala ray pigaran ag dinmengel ed kinen Moises tan angisinup ira.
021	Balet diad kaimbwasan abigis imay insinup da tan binmanget.
021	Et si Moises akapasnuk ed sikara.
022	Kapag kabwasan balang sakey a too nanala na dugan nakaukolan to;
022	tan no ampetang lay agew, natonaw iray atilak ed dalin.
