verse	content
001	Ngana ning Ginu kang Moises, Munta ka king ari at sabian mu king ing Ginu , ing Dios ding Hebreo, pasabi na ing anti kaniti: Paburen mu na lang mako ding taung pinili ku ban makasamba la kanaku.
002	Nung pasibayu mu lang e paintulutan,
003	parusan da ka king kapamilatan ning pamiparatang kung pesti karing sabla yung animal: karing kabayu yu, asno, kamelyu, baka, tupa, at kambing.
004	At palto kung pamiyaliwa ra ding animal da ring Israelita ampon ding karing tau Ehipto.
004	Alang bitasang mate karing sese rang animal ding Israelita.
005	Aku, ing Ginu , tikda ke ing aldo bukas ban daptan ku iti.
006	Kabukasan, depatan ning Ginu itang sinabi na, at mete la ngan ding sablang animal da ring tau Ehipto, oneng alang mete metung man karing animal da ring Israelita.
007	Kitang ning ari nung nanu ing milyari, at pekibat da king alang mete metung man karing animal da ring Israelita.
007	Oneng masias ya pa mu rin a pusu ing ari, at e na la peintulutan mako ding tau.
008	Kanita ngana ning Ginu kari Moises at Aaron, Kuma kayung mapilan a kasakmal a abu king pugun.
008	Iyatsa nang matas Moises iti king arapan ning ari.
009	Mikalat anting alikabuk a mapinu iting abu king mabilug a sasakupan ning Ehipto at nukarin man iti makapasaring tigsang nanaknak karing tau ampon karing animal.
010	Inya kinangwa lang mapilan a kasakmal a abu at tinalakad la king arapan ning ari.
010	Inatsa nang matas Moises iti at mekapasari king panga-tigsan da ring tau ampon ding animal.
010	Nanaknak la deting tigsa.
011	E ra ikuang miratang ding salamangkeru king arapan nang Moises uling mika tigsa la namang kalupa ra ding sablang tau Ehipto.
012	Oneng pepasiasan ne pa mu rin a pusu ning Ginu ing ari, antimo ing sinabi na kanita, at e ya mu rin mebisang makiramdam ing ari kari Moises at Aaron.
013	Kanita ngana ning Ginu kang Moises, Bukas abak a maranun pakikitan me misan pa ing ari.
013	Sabian mu king ing Ginu , ing Dios ding Hebreo, pasabi na ing anti kaniti: Paburen mu na lang mako ding taung pinili ku ban makasamba la kanaku.
014	Oneng ngeni ing parusan ku aliwa mu ding opisyal mu at ding taung sasakupan mu; pati ika parusan ku ban kanita akilala mu king ala kung kalupa king mabilug a yatu.
015	Nung pepagpa ke ing gamat ku keka at king balen mu at peparalang salut, pota magisan kayung lubus.
016	Oneng pekikuanan kung e ka mate ban apakit ku keka ing upaya ku at mikalat king mabilug a yatu ing kabantugan ku.
017	Makanyan man, masias ka pa mu rin a lub at e mo pa mu rin paintulutan mako ding taung pinili ku.
018	Bukas, king oras a anti kaniti, paratang kung masikan a uran-lipat a e na pa ikit kapilan man ning Ehipto king mabilug nang delanan a kasalesayan.
019	Ngeni pa iyutus mu na king isalilung da na la ding sese rang animal at ing nanu pa mang atyu king marangle.
019	Dugpa ing uran-lipat karing tau at karing animal a mitagan a e makasalilung; magisan la ngang mate.
020	Mitakutan la ding mapilan karing opisyal ning ari uling sinabi na ning Ginu , inya selilung da la at leko king marangle ding ipus da ampon sese animal.
021	Makanyan man, e ra pinsinan ding aliwa ing babala na ning Ginu , inya pepaburen da lang e makasalilung ding ipus da ampon sese animal king marangle.
022	Kanita ngana ning Ginu kang Moises, Itas me ing gamat mu at muran lipat king kabilugan a sakup na ning Ehipto; karing tau, karing animal, at karing sablang tanaman king marangle.
023	Inya tinas neng Moises ing tukud na, at
024	peparatang yang masikan a uran-lipat ing Ginu at mikit munaman ing kildap at ing duldul.
024	Ita ing peka grabing diling uran-lipat a delanan na ning Ehipto king kabilugan nang kasalesayan.
025	Digpa ing uran-lipat king mabilug a Ehipto, king sablang atyu king marangle pati na karing tau ampon animal.
025	Sinira na ngan ing heganaganang bage tutubu at ding tanaman.
026	Bukud mung ing sakup ning Gosen, nung nukarin la manuknangan ding Israelita, ing e na digpanan ning uran-lipat.
027	Inya pepayaus na la ning ari di Moises at Aaron.
027	Ngana karela, Wa, ngeni tatanggapan ku king mikasala ku; ing Ginu ya ing atyu king matulid at ing balen ku ampon aku ing atyu king pamagkamali.
028	Manalangin kayu king Ginu king patuknangan na na sana iting duldul ampon uran-lipat.
028	Pangaku ku king paintulutan da na kayung mako; e na kayu sukat magluat pa.
029	Nganang Moises, Kabud ikua kung mekalual king siudad, itas ku la ding gamat ku at manalangin ku king Ginu .
029	Tuknang ing duldul at mawala na ing uran-lipat ban kanita abalu yu king bandi ne ning Ginu ing yatu.
030	Oneng balu ku king ikayu at ding opisyal yu e ye pa pitatakutan ing Ginung Dios.
031	Mesira la ding tanaman a lino at sebada uling tutua na ing sebada at mamuku na ing lino.
032	Oneng alang mesira king trigu uling iti tauling mamunga.
033	Likuan neng Moises ing ari at linual ya king siudad.
033	Kaybat, tinas na la ding gamat na at menalangin ya king Ginu .
033	At tinuknang ing duldul, ing uran-lipat ampon ing uran.
034	Inyang ikit ning ari ing milyari, pasibayu yang mikasala.
034	Ya ampon ding opisyal na lakuas lang mesias a pusu,
035	antimo ing sinabi na ning Ginu kang Moises kanita pa.
035	E na la pa mu rin peintulutan ning ari ing mako la ding Israelita.
