verse	content
001	Ngeni, ing ubingan ya ing mautak dili karing animal a lelangan na ning Ginung Dios.
001	Nganang mengutang ning ubingan king babai, Tutu pin king binawal na kayung mangan ning Dios king isanu pa mang bungang tanaman king mulahan?
002	Pekibat na ning babai king ubingan, Malyari keng mangan karing bunga da ring tanaman king mulahan;
003	subali mu king bunga na ning tanaman a atyu king libutad ning mulahan.
003	Sinabi na ning Dios king e mi ya kakanan a bunga ni tatagkilan man.
003	Kabud daptan yu ita, ngana, mate kayu.
004	Oneng ngana ning ubingan king babai, E tutu yan.
004	E kayu mate!
005	Balu na ning Dios king kabud mangan kayu maging anti kayung Dios at mibuklat kayu mata, at abalu yu ing mayap at ing e mayap.
006	Ikit na ning babai king masanting yang lalawan ing tanaman at maniaman yang kanan a bunga at dapat yang pagnasan uling babie yang kabiasnan.
006	Inya kinangwa ya karing bunga na at pengan ne; dininan nia naman ing asawa na at mengan ya.
007	Kanita mu rin mibuklat la mata at ikit da ing lubas la.
007	Inya pitungi da la ring bulung higera ban takpan ing sarili da.
008	Inyang damdaman deng lalakad king mulahan ing Ginung Dios king marimla nang dake ning patingapun, sinalikut ya ing lalaki at ing asawa na king Ginung Dios libutad ding tanaman ning mulahan.
009	Kanita inaus ne ning Ginung Dios ing lalaki at kitnan ne, Nu ka karin?
010	Pekibat na, Dimdam da kayu king mulahan, oneng tatakut ku uling lubas ku.
010	Inya sinalikut ku.
011	Kanita kitang na ning Dios, Ninu waring sinabi kekang lubas ka?
011	Mengan ka king bunga na ning tanaman a binawal kung kanan mo?
012	Pekibat na ning lalaki, Ing babaing binie yung maging kayabe ku ya ing minie king bunga na ning tanaman kanaku at pengan ke.
013	Kanita kitang na ning Ginung Dios king babai, Obat gewa mu ing anti kanyan?
014	Pekibat ning babai, Lininlang na ku ning ubingan, inya mengan ku.
015	Kanita ngana ning Ginung Dios king ubingan, King gewa mung yan misumpa ka; karing heganaganang animal ika mung bukud ing misumpang anti kaniti: manibat ngeni gumapang ka king kapamilatan na ning kekang atian at alikabuk ing kekang kanan kabang mabie ka.
016	Mikasama kayu ning babai; milaban la ding anak na at ding anak mu.
016	Lasawan de ring anak na ing buntuk mu, at tuktukan mu no man ding sakung da.
017	Ngana naman king babai, Dagdagan ku ing kasakitan mu king kekang pamanganak; king sakit ibait mu la ding anak mu.
017	Makanyan man pagnasan me pa mu rin ing asawa mu at pailalam ka king upaya na.
018	Ngana namang sinabi king lalaki, Uling mekiramdam ka king asawa mu at mengan king bunga ning tanaman a binawal kung kanan mu, misumpa ya ing gabun uli mu.
018	Kailangan kang magal ba mung apangan ing bunga na kabang mabie ka.
019	Palto yang dikut at tanaman a masuksuk at mangan kang tanaman gubat.
020	Mika pamangan ka kapamilatan na ning tulu ning pawas mu angga king magbalik ka king gabun nung nu ka ibat, uling king gabun ka ibat, king gabun ka naman mibalik.
021	Pemalagyuan neng Eva ning lalaki ing asawa na uling ya ing meging ima na ning meto ketawan.
022	Ginawa yang imalan ing Ginung Dios a ibat king balat animal at piniblasan na la.
023	Kanita ngana ning Ginung Dios, Oyni ing tau; meging kalupa ta ne.
023	Balu na na ing mayap at ing e mayap.
023	Inya e ya sukat mipaintulutan kumang bunga king tanaman na ning bie at mangan kaniti at e mate kapilan man.
024	Inya tinabi ne ning Ginung Dios ing tau king Mula ning Eden ban tamnan ne ing gabun a penibatan na.
025	Tinabi ne king mulahan ing tau at dela ne king bandang aslagan na ning Mula ning Eden at mibili yang kerubin at metung a espadang milalablab mamarap nu man karin ban magbante king dalan papunta king tanaman na ning bie.
