verse	content
001	Pagkatapos adto, ginglibot ni Hesus ang mga baryo sa probinsya ng Galilea.
001	Ind niya gusto magkadto sa probinsya ng Judea, kay ang mga miyugdumaya nga Judio didto ginatinguh siya nga patyon.
002	Niyan malapit na ang pyesta ng mga Judio nga ginatawag, Pyesta ng mga Tolda.
003	Ngan naghambay ang mga manghod nga lyaki ni Hesus sa iya, Sige!
003	Panaw na kag magkadto sa Judea agud makit ng imo mga disipulo ang mga makatitingaya nga imo ginahuman.
004	Kay kung gusto ng tawo makilaya ng tanan, way niya ginatagua ang iya mga ginahuman.
004	Nagahuman ka lang da ning mga makatitingaya, aba, bas ind ka magpakilaya sa bilog nga kalibutan?
005	Ginghambay ini ng mga manghod ni Hesus kay aber sinda hay way nagatuo sa iya.
006	Nagsabat si Hesus sa inda, Way pa nagaabot ang akon oras, pero sa indo, puydi kamo magkadto aber ano nga oras.
007	Way nahahangit sa indo ang mga tawo diri sa kalibutan.
007	Pero sa akon, nahahangit gid sinda kay ginabisto ko ang inda malain nga mga hinimuan.
008	Kamo lang ang kadto sa pyesta, ind ako magkadto kay way pa nagaabot ang akon oras.
009	Pagkahambay ini ni Hesus, nagpabilin siya sa Galilea.
010	Pero pagkahalin ng mga manghod ni Hesus, nagkadto da siya sa pyesta, ugaling patag lang.
011	Ginapinangit siya ng mga miyugdumaya nga Judio sa pyesta.
011	Naghambay sinda, Diin baya adto nga tawo?
012	Niyan, may mga tawo nga nagahinutikan parti kay Hesus.
012	Ang iban naghambay, Maayo siya nga tawo.
012	Ang hambay naman ng iban, Bukon!
012	Ginapatayang lang niya ang mga tawo.
013	Pero way gid sinda nagahambay ning makusog parti sa iya tungod sa kahadlok sa mga miyugdumaya nga Judio.
014	Nang nagatung-tung na ang Pyesta, nagkadto si Hesus sa templo kag nagtudl.
015	Natingaya gid ang mga miyugdumaya nga Judio kag naghambay, Pauno baya ini nga tawo nakatuon?
015	Bas madam siya nasasayuran?
016	Ngan nagsabat si Hesus sa inda, Ang akon ginatudl hay bukon halin sa akon, kund halin sa Dios nga nagsug sa akon.
