verse	content
001	Pagkatapos adto, nagtindog sinda tanan kag gingdaya si Hesus kay Pilato nga gobernador.
002	Pag-abot didto, ging-akusar ninda si Hesus kay Pilato.
002	Hambay ninda, Naabutan namon ini nga tawo nga nagapangumbinsi sa amon mga kasimanwa para magbat sa Emperyo ng Roma.
002	Kag ginabawalan niya ang mga tawo nga magbayad ning buhis sa Emperador.
002	Nagahambay pa siya nga siya ang Kristo nga isa ka har.
003	Gingpangutana siya ni Pilato, Ikaw ba ang har ng mga Judio?
003	Nagsabat si Hesus sa iya, Ikaw na ang naghambay in.
004	Pagkatapos naghambay si Pilato sa mga pinun nga par kag sa madam nga tawo nga nagatipon didto, Way da ako may nakit nga sal agud sentensyahan ng kamatayon ini nga tawo.
005	Pero nagpilit gid sinda kag naghambay, Paagi sa iya pagpanudl, ginasuysugan niya nga magrebelde ang mga taga-Judea.
005	Nagtun siya sa Galilea kag niyan hay yari na diri sa Jerusalem.
006	Nang mabatian ini ni Pilato, nagpangutana siya kung taga-Galilea gid siya.
007	Nang masayuran niya nga taga-didto si Hesus sa lugar nga sakop ni Herodes, gingpadaya niya si Hesus sa iya.
007	Kay nang adto nga mga adlaw yadto da si Herodes sa Jerusalem.
008	Nalipay gid si Herodes nang makit niya si Hesus.
008	Dugay na niya gusto nga makit siya, kay kadam ang iya nabatian parti sa iya.
008	Gusto kunt niya nga maghuman si Hesus ng mga milagro para makit niya.
009	Ngan gingpinangutana ni Herodes si Hesus.
009	Pero way gid siya nagsabat.
010	Yadto da ang mga pinun nga par kag mga eskriba kag way gid sinda nagpara sa pag-akusar kay Hesus.
011	Gingpakamaisot kag ging-insulto siya ni Herodes kag ng iya mga sundalo.
011	Gingsuksukan ninda siya ning mamahayon nga bar kag pagkatapos gingpabalik kay Pilato.
012	Nang adto nga adlaw, naging mag-amigo na sina Herodes kag Pilato nga dati anay hay magkaaway.
013	Gingpatawag ni Pilato ang mga pinun nga par, mga miyugdumaya ng banwa kag ang mga tawo.
014	Naghambay siya sa inda, Gingdaya nindo diri sa akon ini nga tawo nga indo ginaakusar nga nagapangsuysog agud magrebelde ang mga tawo sa Emperador.
014	Pero sa akon pag-imbistigar sa indo atubangan, way gid ako may makit nga sal pareho ng indo ginaakusar.
015	Pat da si Herodes, way da siya may makit nga sal, ngan gingpabalik siya sa aton.
015	Way gid siya may malain nga ginghuman para siya patyon.
016	Ipalatigo ko na lang siya kag pagkatapos buhian.
017	Ginahambay niya ini kay kada Pyesta ng Pagligad ng Anghel, kahinangyan niya magpaluwas ng isa ka priso nga mapil ng mga tawo.
018	Pero nagsininggit sinda, Patya in nga tawo!
018	Si Barabas ang paluwasa para sa amon!
019	Si Barabas hay napriso kay naglakot siya sa pagrebelde kontra sa Emperador nga natab sa Jerusalem kag nakapatay pa siya.
020	Gusto kunt ni Pilato nga buhian si Hesus ngan naghambay pa gid siya sa mga tawo.
021	Pero nagsininggit sinda, Ilangsang siya sa krus!
021	Ilangsang siya sa krus!
022	Nagpangutana pa gid sa inda si Pilato sa ikatuyo ka beses, Bas, ano ba nga sal ang iya nahuman?
022	Way gid ako may nakit nga sal para sentensyahan siya nga mamatay!
022	Ipalatigo ko na lang siya kag buhian pagkatapos.
023	Pero lal pa gid nga nagsininggit sinda nga dapat ilangsang siya sa krus.
023	Nang ulihi, sinda gid ang nasunod.
024	Ngan nagpasugot si Pilato sa gusto ng mga tawo nga ilangsang si Hesus sa krus.
025	Gingpaluwas niya adtong tawo nga gingpriso tungod sa pagrebelde kag pagpatay kay imaw ang inda gingpangay.
025	Pero gingtugyan niya si Hesus sa mga tawo para himuon ninda ang inda gusto sa iya.
026	Mintras ginadaya ng mga sundalo si Hesus paluwas, nasumpong ninda ang isa ka tawo nga halin sa baryo.
026	Ang iya pangayan hay si Simon nga taga-Cyrene.
026	Ginghawiran ninda siya kag gingpilit nga ipapas-an ang krus sa iya kag gingpasunod kay Hesus.
027	Kadam da ang mga tawo nga nagasunod kay Hesus, pat ang mga babayi nga nagatinangis kag ginapinuypog ang inda dughan sa tudo nga kalisod.
028	Pero ginglingig sinda ni Hesus kag naghambay, Mga kababayihan nga taga-Jerusalem, ayaw nindo ako pagtangisi.
028	Tangisi nindo ang indo mga kaugalingon kag ang indo mga ung.
029	Kay maabot gid ang mga adlaw nga mahambay ang mga tawo, Bulahan ang mga baog kag ang mga way ung kag ang way nagpasuso!
030	Sa adto nga mga adlaw, mahambay ang mga tawo sa mga bukid, Tumpagi kami!
030	Kag sa mga bakuyod, Tabuni kami!
031	Kay kung ginahuman ninda ini sa akon nga way ngan sal, ano pa ar ang matatab sa mga tawo nga may sal?
