verse	content
001	Pagkatapos nagsakay si Hesus kag ang iya mga kaibahan sa dyapang pabalik sa kabuak.
001	Pag-abot ninda didto nagbalik si Hesus sa iya banwa.
002	Nang yadto na siya, may nag-abot nga mga tawo nga ginabayawan ang isa ka paralisado sa banig.
002	Nang makit ni Hesus ang inda pagtuo, naghambay siya sa paralisado, Amigo, ayaw mahadlok, kay napatawad na ang imo mga sal.
003	Nang mabatian ini ng mga eskriba, naghambay sinda sa inda kaugalingon, Bas kung nagahambay siya hay daw kapareho gid niya ang Dios?
004	Pero nasayuran ni Hesus ang inda ginahunahun, ngan nagpangutana siya sa inda, Bas malain ang indo ginahunahun?
005	Diin baya ang mas malupos nga hambayon?
005	Napatawad na ang imo mga sal, o Bangon kag pumanaw!
006	Niyan, pamatuuran ko sa indo nga ako nga Ung ng Tawo hay may otoridad sa kalibutan nga magpatawad ng mga sal.
006	Tapos hambay niya sa paralisado, Bangon, lukuta ang imo banig kag umul na!
007	Kag nagtindog ang paralisado kag nag-ul sa inda.
008	Nang makit ini ng kadam nga tawo, hinadlukan gid sinda kag gingdayaw ninda ang Dios kay gingtao niya sa mga tawo ang tiyad ini nga otoridad.
009	Nang nagapanaw na si Hesus halin didto, nakit niya si Mateo nga nagapungk sa ginabayaran ning buhis.
009	Naghambay si Hesus sa iya, Magsunod ka sa akon.
009	Nagtindog siya kag nagsunod kay Hesus.
010	Niyan, mintras nagakaon si Hesus kag ang iya mga disipulo sa bayay ni Mateo, kadam ang miyugsukot ning buhis kag iban pa nga ginakabig nga mga makasasal ang nag-abot kag nagdungan sa inda pagkaon.
011	Nakit ini ng mga Pariseo kag nagpangutana sinda sa iya mga disipulo, Bas nagakaon ang indo maestro kaibahan ang mga miyugsukot ning buhis kag mga makasasal?
012	Nabatian ini ni Hesus kag gingsabat niya sinda, Way nagakahinangyan ning doktor ang mga tawo nga maayo ang lawas, kund ang mga may sakit lang.
013	Isipa nindo ning maayo kung ano ang gusto hambayon ng ining ginahambay ng Kasulatan, Bukon ang indo mga halad ang akon gusto, kund ang kaluoy sa indo isigkatawo.
013	Way ako nagkari diri para pagatawagon ang mga nakakasayod nga sinda hay matarong, kund ang mga makasasal.
014	May mga disipulo si Juan nga Miyugbawtismo nga nagpalapit kay Hesus kag nagpangutana, Kami kag ang mga Pariseo hay permi nagapuasa, pero bas ang imo mga disipulo hay way?
015	Nagsabat si Hesus sa inda, Puydi ba nga magkalisod ang mga bisita sa kasay mintras kaibahan pa ninda ang kyasayon nga lyaki?
015	Syempre ind!
015	Pero magaabot ang adlaw, pag buy-on ang kyasayon nga lyaki sa inda, imaw na in ang inda pagpuasa.
016	Naghambay pa gid si Hesus, Way ning tawo nga nagahakyop ning bag-o nga tela sa lum nga bar, kay magigis ang lum nga bar kag magapakabahoy pa ang gis.
017	Way da ning tawo nga nagabutang ning bag-o nga ilimnon sa lum nga butangan nga panit ng hayop, kay malupok ang butangan kag mauuyak ang ilimnon kag masisir ang butangan.
017	Pero ang bag-o nga ilimnon dapat ibutang sa bag-o nga butangan nga panit, para ining duha hay magadugay.
018	Mintras nagahambay pa si Hesus, nag-abot ang isa ka opisyal ng sinagoga.
018	Nagluhod siya sa atubangan ni Hesus kag nagpakitluoy nga naghambay, Ang akon ung nga babayi hay bag-o lang gid namatay, pero kung magkadto ka kag itungtong mo ang imo kamot sa iya, mabubuh siya liwat.
019	Ngan nagtindog si Hesus kag nagnunot sa iya, kaibahan da ang iya mga disipulo.
020	Mintras nagapanaw sinda, may babayi nga nagpalapit sa likod ni Hesus.
020	Ini nga babayi hay ginadinug sa suyod ng dose ka tuig.
020	Gingtandog niya ang gayad ng bar ni Hesus,
021	kay nagahunahun siya sa iya kaugalingon, Kung matandog ko lang ang bar niya magaayo gid ako.
022	Naglingig si Hesus kag pagkakit niya sa babayi naghambay siya, Manang, pakusuga ang imo buot, nag-ayo ka tungod sa imo pagtuo.
022	Adto nga daan, nag-ayo siya.
023	Pag-abot ni Hesus sa bayay ng opisyal, nakit niya ang mga musikero para sa lubong kag ang mga tawo nga nagakinagulo.
024	Ngan naghambay siya sa mga tawo, Luwas anay kamo!
024	Kay ining dalagita hay bukon patay kund nagakatuyog lang.
024	Gingngitlan ninda si Hesus.
025	Nang nagluwas na ang mga tawo, nagsuyod si Hesus sa kwarto.
025	Ginghawiran niya ang kamot kag nagbangon ini.
026	Kag ang balit parti diri hay nagkayat sa tanan nga banwa.
027	Paghalin ni Hesus sa adto nga lugar, may duha ka buta ang nagsunod sa iya nga nagasinggit, Inapo ni David, kaluy-i kami!
028	Pag-abot ni Hesus sa bayay nga iya ginadayunan, nagpalapit ang duha ka buta.
028	Gingpangutana sinda ni Hesus, Nagatuo ba kamo nga kaya ko kamo ayuhon?
029	Nagsabat sinda, Huo, Ginoo, nagatuo kami.
030	Pagkatapos gingtandog ni Hesus ang inda mga mata kag naghambay, Matab gid ini tungod sa indo pagtuo.
031	Kag nag-ayo ang inda mata kag nakakit na sinda.
031	Gingsug sinda ni Hesus nga ind gid magbalit aber kanin-o.
032	Pero nagpanaw sinda kag gingpinamalit ninda sa bilog nga lugar kung ano ang ginghuman ni Hesus sa inda.
033	Mintras nagahalin na ang duha, may gingdaya kay Hesus nga ap kay ginasapian siya ning demonyo.
034	Kag nang napalayas na ni Hesus ang demonyo, nakahambay na ang ap.
034	Natingaya ang kadam nga tawo didto kag naghambay sinda, Way pa gid ning may nakakit nga tiyad ini sa bilog nga Israel!
035	Pero naghambay ang mga Pariseo, Paagi sa gahom ng pinun ng mga demonyo ginapalayas niya ang mga demonyo.
036	Naglibot si Hesus sa mga banwa kag mga baryo kag nagtudl sa inda mga sinagoga.
036	Gingwali niya ang Maayong Balit parti sa paghahar ng Dios kag gingpang-ayo niya ang mga tawo sa tanan ninda nga mga sakit.
037	Nang makit niya ang kadam nga tawo, naluoy gid siya sa inda kay ginahugaan gid sinda pero way ning may nagabulig.
037	Daw pareho sinda sa mga karnero nga way ning pastor.
038	Ngan naghambay siya sa mga disipulo, Kadak-dak ang anihon pero kalak lang ang mga miyug-ani.
039	Ngan magpangamuy kamo sa Ginoo nga tag-iya ng anihon para suguon niya ang mga miyug-ani sa iya anihon.
