verse	content
001	Imaw ini ang Maayong Balit parti kay Hesu-Kristo nga Ung ng Dios.
002	Nagtun ini nang matuman ang gingsulat ni Propeta Isaias parti sa ginghambay ng Dios sa iya Ung, Ipapadaya ko ang akon mensahero nga mauna sa imo para magpreparar ng imo dayan.
003	Ini nga mensahero hay magasinggit sa tiway nga lugar.
003	Magahambay siya sa mga tawo, Ipreparar nindo ang agihan para sa Ginoo, tadlunga ang dayan nga iya pagaagihan.
004	Ngan natab ini nang mag-abot si Juan nga Miyugbawtismo sa tiway nga lugar.
004	Nagawali siya sa inda nga nagahambay, Talikuri nindo ang indo mga kasal-anan kag magpabawtismo para patawaron kamo ng Dios.
005	Madam gid nga tawo ang nagkadto sa iya halin sa tanan nga banwa nga sakop ng Judea kag sa Jerusalem.
005	Ging-ak ninda ang inda mga sal kag gingbawtismuhan niya sinda sa Sub ng Jordan.
006	Ang bar ni Juan hay him sa buyboy ng kamelyo kag ang iya sinturon hay panit ng hayop.
006	Ang iya pagkaon hay apan kag dugos.
007	Imaw ini ang iya ginawali, May maabot nga masunod sa akon nga mas makagagahom pa kaysa sa akon kag ind gid ako angay aber magduk para magbaskad ng higot ng iya sandalyas.
008	Nagabawtismo ako sa indo sa tub, pero siya ang magabawtismo sa indo sa Espiritu Santo.
009	Nang adto nga tyempo naghalin si Hesus sa Nazaret nga sakop ng probinsya ng Galilea kag nagpabawtismo kay Juan sa Sub ng Jordan.
010	Paghaw-as ni Hesus sa tub, nakit nga daan niya nga nag-abri ang langit kag ang Espiritu Santo nga daw salampati hay nagabab pakadto sa iya.
011	Kag igwa ning boses nga nabatian halin sa langit nga naghambay, Ikaw ang akon pinalangg nga Ung; nalilipay gid ako sa imo.
012	Adto nga daan gingpakadto si Hesus ng Espiritu Santo sa tiway nga lugar.
013	Kag didto siya nagtinir sa suyod ng 40 ka adlaw nga ginatinintar ni Satanas kag may mapintas nga mga sapat didto, pero gingserbisyuhan siya ng mga anghel.
014	Nang mapriso si Juan nga Miyugbawtismo, nagkadto si Hesus sa Galilea kag nagwali ng Maayong Balit halin sa Dios.
015	Hambay niya, Nag-abot na ang tam nga oras kag malapit na nga magahar ang Dios.
015	Ngan talikuran nindo ang indo mga kasal-anan kag magpati sa Maayong Balit.
016	Isa ka adlaw mintras nagapanaw si Hesus sa alihid ng Law ng Galilea, nakit niya didto ang magmanghod nga sina Simon kag Andres nga nagataktak ng pukot kay sinda hay miyugpangisd.
017	Naghambay si Hesus sa inda, Nunot kamo sa akon kay tudluan ta kamo sa pagpangisd ng mga tawo.
018	Adto nga daan gingbayaan ninda ang inda mga pukot kag nagnunot sa iya.
019	Mintras nagapadayon pa si Hesus sa pagpanaw, nakit niya ang magmanghod nga sina Santiago kag Juan nga mga ung ni Zebedee.
019	Yadto sinda sa inda dyapang nga nagahukot ng mga pukot,
020	kag ging-agda nga daan sinda ni Hesus.
020	Gingbayaan ninda sa dyapang ang inda tatay kaibahan ang mga ginasuhuyan kag nagnunot sinda sa iya.
021	Niyan, nagkadto si Hesus kag ang iya mga kaibahan sa banwa ng Capernaum.
021	Pag-abot ng Adlaw nga Inugpahuway, nagsuyod nga daan siya sa sinagoga kag nagtun sa pagpanudl.
022	Natingaya gid sa iya pagpanudl ang mga tawo nga nakabat, kay nagtudl siya nga may otoridad kag bukon pareho ng mga eskriba.
023	Adto nga daan may isa ka tawo nga ginasapian ng malain nga espiritu ang nagsuyod sa sinagoga kag nagsinggit,
024	Hesus nga taga-Nazaret, ano ang humanon mo sa amon?
024	Nagkari ka ba para parusahan kami?
024	Kilaya ko kung sin-o ka: ikaw ang Balaan nga gingsug ng Dios!
025	Pero gingsabyaw ni Hesus ang malain nga espiritu, Maghipos ka kag magluwas sa iya!
026	Gingpakurog ng malain nga espiritu ang tawo kag nagasinggit ning tudo mintras nagluwas sa iya.
027	Natingaya gid ang tanan nga tawo ngan nagpangutana sinda sa isa kag isa, Ano baya ini?
027	Bag-o ini nga pagpanudl!
027	May otoridad siya sa pagsug aber sa malain nga mga espiritu kag nagatuman sinda sa iya.
028	Ngan nabantog nga daan ang balit parti kay Hesus sa bilog nga probinsya ng Galilea.
029	Nagluwas si Hesus kag ang iya mga kaibahan sa sinagoga kag nagkadto sa bayay nina Simon kag Andres, kaibahan da sina Santiago kag Juan.
030	Niyan, nagahigd ang panugangan nga babayi ni Simon kay may sagnat siya.
030	Kag adto nga daan gingpasayod ninda ini kay Hesus.
031	Ngan gingpalapitan siya ni Hesus kag ginghawiran sa kamot kag gingpabangon.
031	Nahuwasan siya sa iya sagnat kag gingserbisyuhan niya sina Hesus.
032	Nang manayumsom na kag nagtunod na ang adlaw, gingdaya ng mga tawo kay Hesus ang tanan nga may sakit kag ang ginasapian ng mga demonyo.
033	Tanan nga tawo sa banwa hay nagtipon sa atubangan ng bayay.
034	Gingpang-ayo ni Hesus ang madam nga may sarisar nga sakit kag gingpalayas ang madam nga demonyo.
034	Way niya pagtuguti nga maghambay sinda kay sayod ninda kung sin-o siya.
035	Nang masunod nga adlaw, maduyom pa, nagbangon si Hesus kag nagkadto sa tiway nga lugar kag nagpangamuy.
036	Gingpangit siya ni Simon kag ng iya mga kaibahan.
037	Pagkakit ninda kay Hesus naghambay sinda, Ginapinangit ka ng tanan nga tawo.
038	Pero nagsabat si Hesus sa inda, Makadto na kita sa malapit nga mga banwa para makawali ako didto kay imaw ini ang akon gingkari sa kalibutan.
039	Ngan naglibot si Hesus sa bilog nga Galilea para magwali sa mga sinagoga kag magpalayas ning mga demonyo.
040	May isa ka tawo nga kitungon nga nagpalapit kay Hesus.
040	Nagluhod siya kag nagpakitluoy nga buligan siya.
040	Hambay niya, Kung gusto mo, paayuha ako sa akon sakit nga kitong.
041	Naluoy gid si Hesus sa iya.
041	Ngan ging-unat niya ang iya kamot kag ginghawiran siya.
041	Hambay niya, Gusto ko.
041	Mag-ayo ka!
042	Adto nga daan naduy ang iya kitong kag nalimpyo siya .
043	Pagkatapos gingpaandaman siya ni Hesus, Ayaw gid magpamalit aber kanin-o, kund magderitso ka sa par kag magpasir sa iya.
043	Kag maghalad ka sun sa gingsug ni Moises para magpamatuod sa mga tawo nga nalimpyo ka na.
043	Pagkatapos, gingpapanaw nga daan siya ni Hesus.
044	Kag nagpanaw adto nga tawo pero nagpinamalit parti sa natab sa iya.
044	Ngan nabantog ang balit sa tanan nga lugar sa Galilea kag ind na makasuyod si Hesus sa mga banwa ning lantaran.
044	Didto na lang siya nagtinir sa tiway nga lugar.
044	Pero sige pa gihapon ang pagkadto ng mga tawo sa iya halin sa tanan nga lugar.
