verse	content
001	Mangonong si Yeso do rarahan am makacita so nimeycicinda no kalyalikey na mavota tao.
002	Maniring sira o macinanao ji Yeso am, Mo Mangnanao, nimeycicinda ya nimavota no kalyalikey na.
002	Sino raraten a na kakman sang.
002	Manngwa, kataotao na an?
002	No inyapwan na.
003	Maniring si Yeso am, Beken a raraten na.
003	Beken a inyapwan na o na ikavota.
003	Ta peymatamatan da jya no tao so vazay na ni Ama ta do to do yamavota a tao eya.
004	Ahapen ta o vazay na no yanimapahanhan jyaken do ikavyay ta pa.
004	Ta no si mawakwak ta rana am ji ta na makapeyvazay.
005	No keyyan ko pa do teyrahem eya am zezak nyo yaken a tao do karawan.
006	Iptad na o ciring na am meycicipa si Yeso do tana a kapazavoz na sya do tana a kapakoris na sya do mata no mavota tao.
007	Maniring jya si Yeso am, Angay oyasi do nibneng da ranom a yameyngaran so Siloya.
007	O peypeypangayan no Siloya am Nipahanhan.
007	Karahan am mangay na rana oyasan.
007	Meysinaoli am makacita rana.
008	Macita da no katakataib na kano kararay na am maniring sira am, Beken a oya asyo o yamyamyan do jya yamacikakanen asyo?
009	Maniring o kadwan jira am, Iya saon am.
009	Am tatasa jira o manci no, Beken a iya.
009	Na kakman sya so kamamagenan.
009	Maniring o nimavota ori am, Yaken o yanyo malavat ang.
010	Maniring sira do tao ori am, Yanimakongo so wanjin o mata mo a yamo kato makacittan rana ang.
011	Maniring o tao ori am, O yasa ka tao a meyngaran so Yeso am yanimapakoris do mata ko so tana, na kapanci nya jyaken so, Angay oyasi mata mo do nibneng da ranom a yameyngaran so Siloya.
011	Ko mangay oyasan am ko na to makacita rana.
012	Maniring sira do tao ori am, Wanjin na yanan.
012	Maniring o tao ori am, Ko na jyatenngi.
013	Yangay da o mavota tao a nimapya rana do tao a macyagom do Vadisay.
014	No keywakwak na ni Yeso do mavota tao am ipeywalam no tao o araraw na.
015	Ipirwa da pacicin no tao a macyagom do Vadisay o nimapya rana so mata tao am maniring o tao ori am, Na nipakorisan so tana o mata ko.
015	Ko kangay moyas jya am ori o ko ipakacita rana.
016	Maniring o tatasa ka tao a macyagom do Vadisay am, O yanimapeyvazay so sang a tao am jyabo na kanimapo ji Ama ta do to a.
016	Ta ikongo na ji mangozai do nanao do ipeywalam no tao.
016	Am maniring sira o karwan da am, O meyraraten a tao am ikongo na to mapeyvazai so yamapeyzokab a vazay.
016	Am ori o peyhatay da so onowned a ji macipaswasovoy.
017	Makarahan am pacicin da pa o tao ori.
017	Maniring sira am, Yana imo niwakwakan so mata am ikongo o ciring mo so tao ang.
017	Maniring o tao ori am, Iya rana am panoyonoywan na so ciring ni Ama ta do to.
018	Sira rana aro a tao do Yotay am ji da nganoyngi o kanimavota no tao ang.
018	Ipanci da o inyapwan na.
019	Maniring sira am, Anak nyo ya?
019	Manngwa, nimeycicinda o anak nyo ya nimavota?
019	Ikongo na to makacitai rana sicyaikwaya.
020	Maniring o inyapwan na am, Yamanoyong a anak namen.
020	Iya rana am nimakalapo no kalyalikey na o kaji na makacittan.
020	So namen ipakateneng jya.
021	Am namen jyatenngi o na to makacitai rana sicyaikwaya.
021	Namen jyatenngi o yaniomiwakwak jya.
021	To kamo nangay a mapacici sya.
021	Cyaha, ta yarana makaveyvow.
021	Jyabo kaji na mancyan nya jinyo a.
022	O pancyan da no akman sang no inyapwan na am ikanyahey da o panipanirsirngen da no tao do Yotay.
022	Ta maniring sira am, No si myan so tao a omanoyong ji Yeso a Misayya am to na pagcina do peyneynozyan.
023	Ori o to da rana mancii nira no inyapwan na mangay mapacici so anak da.
024	Karahan am ipirwa sira mangay manci no nimapya so mata tao ang.
024	Maniring sira jya am, Ji ka mangononong so malas do tangain ni Ama ta do to.
024	Ta namen katenngan na kapeyraraten a tao ni Yeso.
025	Maniring o nimavota tao ori am, Ko jyatenngi na kapeyraraten a tao.
025	Am ko katenngan o kanimavota ko am ko na makacita sicyaikwaya.
026	Maniring sira jya am, Ikongo na mina vazay jimo.
026	Yanimakongo so wanjin a yaniomiwakwak do mata mo.
027	Maniring o tao ori am, Ko na nipanci jinyo am nyo kaji ngamizngan sya.
027	Ikongo nyo kakdayan pa sya amizngen.
027	Nyo ikakza saon a kabnek jinyo a macilocilolo jya?
028	Am ori o nyavayan da sya.
028	Maniring sira am, Imo o na abneken a yamacilocilolo jya.
028	Yamen am namen macilocilolo ji Moyse.
029	Namen katenngan o kanimacisirsiring ni Ama ta do to ji Moyse.
029	Am o tao ori am tamo jyatenngi o na nikapwan.
030	Maniring ori am, Asyo ori nyo jyatenngi na kapwan no yaniomiwakwak do mata ko ang.
031	Tamo katenngan o kaji na ngamizngan so pasyasyan da ji Ama ta do to no meyraraten a tao.
031	Ta omraralay nya kano mahap so apyahen na vazay o amizngen na.
032	No kamaog no karawan eya am abo pa o tao a to mangiwakwak so mata no nimeycicinda a mavota tao.
033	Jyabo na kaji nimapwan ji Ama ta do to no nya.
033	Ta ikongo na to makapeyvazay so akman sang a vazay.
034	Karahan am ioya da o tao ang.
034	Maniring sira jya am, Si mangnanao ka yameyraraten eya am makongo.
034	Karahan am pagcinen da do peyneynozyan da.
035	Mamizing ni Yeso sira nimapagcin sya do peyneynozyan am mangay na kalahen.
035	Karahan am pacicin ni Yeso.
035	Maniring jya am, Mo anoyngan o Nipamnekan na ni Ama ta do to a tao an?
036	Maniring am, Pancyaney jyaken.
036	Sino o tao ang.
036	Ta anoyngan ko.
037	Maniring jya si Yeso am, Mo rana nimacita.
037	O yamacisirsiring jimo am iya ori.
038	Maniring am, Mo Panirsirngen, ko anoyngan imo.
038	Karahan am meylilitod do tangain ni Yeso a omraralay nya.
039	Maniring si Yeso am, O peypeypangayan no yako nyai do teyrahem am ko mapeykapyapinpin so tao.
039	Ko iwangan o mata da no yakmey mavota so pahad a tao a kapakacita da rana.
039	O mapakateneteneng do nanao na ni Ama ta do to am meyvaliw rana sira akmey mavota, abo so katentenngan.
040	Mamizing da o ciring eya no amyan dang a tao a macyagom do Vadisay am pacicin da si Yeso.
040	Maniring sira am, Manngwa, mo patpehen yamen do mavota tao?
041	Maniring si Yeso am, No kamo manoyong a makateneng do na kakmey mavota no pahad nyo am abo raraten nyo.
041	Am si pazwain nyo o kapakateneng nyo rana jya am kamo manoyong a yamyan so raraten.
