verse	content
001	Maniring si Yeso do macinanao jya am, O raraten no tao am kangay na ori.
001	Am o tao a yapwan na am ney rako na o oyaoya na no akman sang a tao ni Ama ta do to.
002	Ta o akman rana sang a tao am apyapya rana o kapila jya mangay itbong do awa.
002	Ta maraherahet o kapeypalanginan na no ji makapatak nya a tao do peyraratenan da.
003	Azimanen nyo an.
003	No meyraraten o kakteh nyo am vavagan nyo an.
003	No si mamlis am to nyo peykabobwa o raraten na.
004	No ipipito a meyraraten jinyo do kasaraw a kapangday na manci nya jinyo so, Cyaha, ta mamlis ko na, am to nyo peykabobwa o raraten na jinyo an.
005	Maniring sira o nipamnekan na ni Yeso a omlivolivon no ciriciring na am, Ipanta mo yamen so rako a onowned namen ji Ama ta do to an.
006	Maniring si Yeso am, Tana akman kamo so alikey a vettow no nappa so kakdekdeng no nakem am tana to mo nirsirnga o kayo a manci no, To ka botbot a kangay mo amlida do awa, am jyabo kaji na ngonotan jinyo a.
007	No si myan jinyo so tao a mapeylamlamsoy so meymowamowa kano mapamangamangan so kagling am no nimapo rana do vazay na am manngwa, ipanci nyo jya o, Lisna jito a kakan mo.
008	Jyabo kakman nyo sang a.
008	Ji nyo mancyan jya o, Alici rana o ayob mo a kapanotong mo pa nyaken so yaven ko.
008	Si mabsoy ko rana am ori o yakan mo.
009	No teyka na rana o vazay na no lamlamsoy am manngwa, isaray na no lawpan na jya?
009	Jyabo a.
010	Akman kamo so sang an.
010	No teyka nyo a peyvazain o vazay na jinyo ni Ama ta do to am ji kanyo mapakazwazway an.
010	Ta adan ori a vazay no omraralay ni Ama ta do to a tao.
011	Meypangay si Yeso do Yelosaleng am meyhatay do peyyawwan no Samadiya kano Cyadidi.
012	So nyangay na do asa ka ili do dang.
012	Amyan so asa ngarnan 10 a omlabyab so kolit a tao a mangay sominmo sya.
012	Am ori o nipeytatanek da do marai pa,
013	amlololos a manci no, Mo Yeso, Panirsirngen namen, ikasyasi mo pa yamen eya an.
014	Macita na sira ni Yeso am ipanci na jira o, Angay kamo ipacita o kataotao nyo do mapatanatanang so nakem ji Ama ta do to.
014	Mangay sira am todapya rana sira.
015	Maliliw na no asa ka tao jira o kanimapya na rana no kataotao na am meysinaoli pa a somaray nya ji Ama ta do to,
016	a kapeylilitod na do tangain na ni Yeso a somaray nya jya.
016	O tao rana ori am tao do Samadiya.
017	Maniring si Yeso do aro a tao am, Da kasa ngarnan no yanimapya so kataotao ori am wanjin jya sira o yasasyam.
018	Ikongo na ikaveyvow a yasomaray nya ji Ama ta do to a beken a Isedi a tao.
019	Maniring si Yeso jya am, Tanek rana kangay mo na.
019	Ta yaka manoyong a meyhanhan ni Ama ta do to.
019	So mo ikapya rana no kataotao.
020	Amyan so tao a macyagom do Vadisay a mapacici si Yeso.
020	Naknakmen da o ipakateneng da do ipakasasnad na no talamozongan na no tao ni Ama ta do to.
020	Maniring si Yeso am, O talamozongan na ninyo ni Ama ta do to am beken a todacita no mata ori an.
021	Abwata o tao a manci no, Cita pala, ta yamyan do jya.
021	Ta o italamozong na ni Ama ta do to am yamyan do onowned no tao.
022	Maniring pa do macinanao jya am, No marateng o araraw na am tana ikeykakza nyo o kapakacita nyo jyaken a mai a omahap jinyo am jyabo kapakacita nyo jyaken a.
023	Amyan so tao a manci nya jinyo so, Cita pala, ta yamyan do kwang si Yeso.
023	Cita pala, ta yamyan do jya.
023	Am ji nyo ngonoci sira an.
024	Ta o araraw na no yai ko a Nipamnekan na ni Ama ta do to am abo ji makacita sya tao, akmey meycicilat a maniray.
025	Am manmanma o keyyan no aro a alalaw ko do peymakarwan da jyaken no tao sicyakwaya.
026	No meygegcin o Nipamnekan na ni Ama ta do to a tao am akman so cinasasaodan da da Noya no kakwa.
027	No kaji na pa meykehnepan am to sirangned so ninyakan a kapazagzagpit da mangay do araraw no isdep da rana da Noya do avang da.
027	Am meykehnep rana am nimamimin sira nimabalinas.
028	O araraw na no ipeysinaoli ko am akman no kapeyigegen na pa ni Lote.
028	O tao no kano nang am nikoman sira.
028	Nimanazang sira.
028	Nimhakakaw sira.
028	Nimeypinapinan sira.
029	Marateng o araw no ikaro na ni Lote do Sotoma am pakasen na rana ni Ama ta do to o apoy a kano makwat a vato a kamimin da nimaliman.
030	O araraw no yai ko a Nipamnekan na ni Ama ta do to a tao am akman so sang.
031	O araraw na no nang am jindep do vahay da o myan do atep no vahay a mangap so apzapzatan.
031	Akman sang o myan do nihakawan da, ta ji sira to ngoli.
032	Naknakmen nyo o mavakes na ni Lote a nimapaoli so mata na a kapeyvaliw na a tomigzang a asin.
033	Omnakenakem so ipeypapya na tao am ji na meypapyan ori.
033	O mawakwak no vazay ko am dompeh jira o ikavyay no pahad da.
034	Ko pa ciring jinyo am do ahep no nang do ipeysinaoli ko am o rarwa ka tao a mitkeh do asa ka ititkehan am o asa jira o ahapen ko.
034	O asa am vezeden ko.
035	O rarwa ka mavakes a manworod so kanen da am asa ahapen ko.
035	O asa am vezeden ko.
036	O rarwa ka mahakay do nihakawan da am asa o ahapen ko.
036	O asa am vezeden ko.
037	Pacicin da no macinanao jya.
037	Maniring sira am, Mo Panirsirngen, do wanjin mangay na kasasnadan no akman sang a vazay ang.
037	Maniring si Yeso jira am, O yanan no nimawakwak a omalalam am ori o pacilolwan da no meyyasasalap.
