verse	content
001	Teyka na ni Yeso o ciring na am maniring do macinanao jya am,
002	Nyo katenngan o na kadwa rana araw no yakapamaring so kanen do Iyeci.
002	Mangay o kapanazang da no Nipamnekan na ni Ama ta do to a tao a padketen do jyojika.
003	No kano nang am o panipanirsirngen no mapatanatanang so nakem a kano kamanrarakehan da am malovot sira meysirisiring do vahay no kabtekan da panirsirngen no mapatanatanang so nakem da si Ama ta do to a meyngaran so Keyava.
004	Naknakmen da o karakep da si Yeso a wakwaken da do ikabo no tao.
005	Am maniring sira am, Ji ta pa peyvazaya do ipamarimaring so kanen no tao, ta meyvonag sira o tao.
006	Amyan si Yeso do Potani a ili am nimyan do vahay da da Simong.
006	Iya o nimlabyab so kolit no kakwa.
007	Amyan so asa ka mavakes a nimangai so asa ka tagaw a kapnowan no masingat a mahangno a haneng.
007	Macihanghang jira koman si Yeso am paglowen na do oo ni Yeso.
008	Macita da no macinanao jya am maoya sira so onowned.
008	Maniring sira am, To na gagidan ori am
009	ikongo peypeypangayan no akman sang.
009	Jingbeywani o yatey masingat a haneng ang.
009	Apyapya rana o kapamalit nya so nizpi a ipanidong so ikasi a tao.
010	Maniring jira si Yeso do pakamizngan na sya am, Nyo kazyakan no mavakes ang.
010	O vazay na jyaken am ney yapya na vazay.
011	Ta yamasangib sira o makasi a tao a yamacikaop jinyo.
011	So ji na salici jinyo no kasidong nyo sira.
011	Am yaken am ko jyasangib, ta yalikey rana o ipacikaop ko jinyo.
012	O na paglowan do oo ko no mavakes so mahangno a haneng am yavat na ori do bobwan da jyaken.
013	To ko na macitangayan jinyo am no ipeylimwang o Mapasaray a Ciriciring na ni Ama ta do to do karawan eya am abo ji makalavat so mina vazay na jyaken no mavakes eya.
014	Amyan do rarwa so ikakarwan a macinanao ji Yeso so asa ka tao a meyngaran so Yota a tao do Isecyadi.
014	Iya rana am nimangay do panipanirsirngen da no mapatanatanang so nakem da si Ama ta do to.
015	Maniring am, No si itoro ko jinyo si Yeso am amyan so nakem nyo jyaken an?
015	Karahan am mangap sira so atlo a poo 30 a nizpi a itoro da jya.
016	Nimacipinda do dang o ji na rana pehmai ji Yeso a itoro jira.
017	Omanam o kasaraw do ipamaring da so kanen a iyakan da so ji nimimway a pang am pacicin da si Yeso no macinanao jya.
017	Maniring sira am, Do wanjin mo tovoyan jyamen a tomalakanen so pamaringan ta so kanen do Iyeci.
018	Maniring si Yeso am, Angay kamo do ili.
