verse	content
001	Pagkatapos, ang Panginoon ay nagsalita kay Moises,
002	Sabihin mo sa mga anak ni Israel na sila'y bumalik at humimpil sa tapat ng Pihahirot, sa pagitan ng Migdol at ng dagat, sa tapat ng Baal-zefon; sa tapat niyon kayo hihimpil, sa tabi ng dagat.
003	Sapagkat sasabihin ng Faraon tungkol sa mga anak ni Israel, Nagkabuhul-buhol sila sa lupain; sila'y nakukulong ng ilang.
004	Aking papatigasin ang puso ng Faraon, at kanyang hahabulin sila.
004	Ako ay pararangalan sa pamamagitan ng Faraon, at sa lahat ng kanyang hukbo.
004	Malalaman ng mga Ehipcio na ako ang Panginoon .
004	At gayon ang kanilang ginawa.
005	Nang masabi sa hari ng Ehipto na ang taong-bayan ay tumakas, ang puso ng Faraon at ng kanyang mga lingkod ay nagbago tungkol sa taong-bayan, at kanilang sinabi, Ano itong ating ginawa, na ating hinayaang umalis ang Israel, upang huwag na tayong mapaglingkuran?
006	Kaya't inihanda niya ang kanyang karwahe at isinama ang kanyang hukbo.
007	Siya'y nagdala ng animnaraang piling karwahe, at lahat ng iba pang mga karwahe sa Ehipto, at ng mga mamumuno sa lahat ng mga iyon.
008	Pinatigas ng Panginoon ang puso ng Faraon na hari ng Ehipto, at hinabol niya ang mga anak ni Israel, na umalis na may lubos na katapangan.
009	Hinabol sila ng mga Ehipcio, ng lahat ng mga kabayo at ng karwahe ng Faraon, ng kanyang mga mangangabayo at ng hukbo; at kanilang inabutan sila na nakahimpil sa tabi ng dagat na nasa Pihahirot, sa tapat ng Baal-zefon.
010	Nang ang Faraon ay papalapit na, tumingin sa likuran ang mga anak ni Israel, at nakitang ang mga Ehipcio ay sumusunod sa kanila.
010	Sila'y lubhang natakot, at ang mga anak ni Israel ay tumawag sa Panginoon .
011	Kanilang sinabi kay Moises, Dahil ba sa walang libingan sa Ehipto, kung kaya dinala mo kami upang mamatay sa ilang?
011	Anong ginawa mo sa amin, at inilabas mo kami sa Ehipto?
012	Hindi ba ito ang sinabi namin sa iyo sa Ehipto, Hayaan mo kaming mag-isa at pabayaan mo kaming makapaglingkod sa mga Ehipcio?
012	Sapagkat mas mabuti pa sa amin ang maglingkod sa mga Ehipcio kaysa mamatay sa ilang.
013	Sinabi ni Moises sa bayan, Huwag kayong matakot, magpakatatag kayo, at masdan ninyo ang pagliligtas ng Panginoon na kanyang gagawin sa inyo ngayon; sapagkat ang mga Ehipcio na inyong nakikita ngayon ay hindi na ninyo muling makikita kailanman.
014	Ipaglalaban kayo ng Panginoon at ang dapat lamang ninyong gawin ay manahimik.
015	Sinabi ng Panginoon kay Moises, Bakit tumatawag ka sa akin?
015	Sabihin mo sa mga anak ni Israel na sila'y magpatuloy.
016	Itaas mo ang iyong tungkod at iunat mo ang iyong kamay sa ibabaw ng dagat, at hawiin mo, upang ang mga anak ni Israel ay makaraan sa tuyong lupa sa gitna ng dagat.
017	Aking pagmamatigasin ang puso ng mga Ehipcio upang sundan nila kayo at ako'y magkakaroon ng karangalan kay Faraon at sa buo niyang hukbo, sa kanyang mga karwahe, at sa kanyang mga mangangabayo.
018	Malalaman ng mga Ehipcio na ako ang Panginoon , kapag ako ay nakakuha na ng karangalan kay Faraon, sa kanyang mga karwahe, at sa kanyang mga mangangabayo.
019	Pagkatapos, ang anghel ng Diyos na nasa unahan ng hukbo ng Israel ay umalis at nagtungo sa hulihan nila; at ang haliging ulap ay umalis sa harap nila at nagtungo sa likod nila.
020	Ito ay lumagay sa pagitan ng hukbo ng Ehipto at ng hukbo ng Israel.
020	Mayroong ulap at kadiliman, gayunma'y binigyan sila ng liwanag sa gabi at ang isa't isa ay hindi nagkalapit sa buong magdamag.
021	Pagkatapos, iniunat ni Moises ang kanyang kamay sa ibabaw ng dagat, at pinaghiwalay ng Panginoon ang dagat sa pamamagitan ng isang malakas na hanging mula sa silangan sa buong magdamag, at ang dagat ay ginawang tuyong lupa at ang tubig ay nahawi.
022	Ang mga anak ni Israel ay pumasok sa gitna ng dagat sa ibabaw ng tuyong lupa, ang tubig ay naging isang pader sa kanila, sa kanilang gawing kanan at sa kanilang kaliwa.
023	Humabol ang mga Ehipcio at pumasok na kasunod nila sa gitna ng dagat, lahat ng mga kabayo ng Faraon, ang kanyang mga karwahe, at ang kanyang mga mangangabayo.
024	Sa pagbabantay sa kinaumagahan, tinunghayan ng Panginoon ang hukbo ng mga Ehipcio sa gitna ng haliging apoy at ulap, at niligalig ang hukbo ng mga Ehipcio.
025	Kanyang nilagyan ng bara ang gulong ng kanilang mga karwahe kaya't ang mga iyon ay hirap na hirap sa pag-ikot; kaya't sinabi ng mga Ehipcio, Takbuhan na natin ang Israel, sapagkat ipinaglalaban sila ng Panginoon laban sa mga Ehipcio.
026	Sinabi ng Panginoon kay Moises, Iunat mo ang iyong kamay sa dagat upang ang tubig ay tumabon sa mga Ehipcio, sa kanilang mga karwahe, at sa kanilang mga mangangabayo.
027	Kaya't iniunat ni Moises ang kanyang kamay sa ibabaw ng dagat, at ang dagat ay bumalik sa kanyang dating lalim nang mag-uumaga na.
027	Habang ang mga Ehipcio ay tumatakas, inihagis ng Panginoon ang mga Ehipcio sa gitna ng dagat.
028	Ang tubig ay bumalik at tinakpan ang mga karwahe, ang mga mangangabayo, ang buong hukbo ng Faraon na sumunod sa kanila sa dagat; walang natira kahit isa sa kanila.
029	Subalit ang mga anak ni Israel ay lumakad sa tuyong lupa sa gitna ng dagat; at ang tubig ay naging isang pader sa kanilang gawing kanan at sa kanilang kaliwa.
030	Gayon iniligtas ng Panginoon ang Israel nang araw na iyon mula sa kamay ng mga Ehipcio; at nakita ng Israel ang mga Ehipcio na patay sa dalampasigan.
031	Nakita ng Israel ang dakilang gawa na ginawa ng Panginoon sa mga Ehipcio, at ang taong-bayan ay natakot sa Panginoon at sila'y sumampalataya sa Panginoon at sa kanyang lingkod na si Moises.
