verse	content
001	Uwed pangngarig nga kinagi ne Jesus itun nga agten idi: Pudnu yani nga ibagac dakayu: No bekken nga ya ruwangan ya umuneggan niya isa nga toley iya kudal diya karneru, ket umunec nga gennung iya bekken nga ruwangan, ket isa nga agtatakew winno tulisan ya agten iyan nga toley.
002	Ngem ya toley nga ya ruwangan ya dalanen na nga umuneg, igina ya pudnu nga agay-aywan kadiya karneru.
003	Ket ya agbanbantay iya ruwangan niya kudal, lukatan na para iyan nga pudnu nga agay-aywan kadiya karneru.
003	Ket diya karneru na, mailasin da ya timec na no awagan na diya nagnagan da, no paruwaren na da.
004	Ket no naparuwar na amin diya bukud na nga karneru win, mon-ona ngem igida nga manalanin.
004	Ket mipuyut ngarud diyan nga karneru igina, gapu ta emmu da ya timec na.
005	Ngem madi da mipuyut ka sabali nga toley nga bekken da nga apu, no di da lugud itagtagan, gapu ta madi da emmu ya timec na, kunen na.
006	Itu to pangngarig nga kinagi ne Jesus igida itun, ngem madi da naawatan ya kaipapennan na.
007	Dikad pe nipalawag ne Jesus ya banag nito pangngarig, nga kinunen na, Ibagac ya kinapudnu na dakayu: Iyaken ya maiyarig iya ruwangan nga umuneggan diya karneru.
008	Amin dito duduma nga inumbet nga non-ona ngem iyaken nga nangawag kadiya karneru, ket maiyarig da ka agtatakew winno tulisan.
008	Ket orey nagawag da, madi nga nikasu diya karneru.
009	Ngarud, iyaken ya arig nga ruwangan.
009	Ket diya amin nga manalan iyaken nga umuneg, maisalakan da ngarud.
009	Ket didi nga maiyarig ka karneru, ket siwayawaya da nga umuneg winno rumwar nga mawe iya pagaraban da nga awan kansing da.
010	No ya tulisan, umbet tasun agtakew, pumatey se mangpukaw.
010	Ngem iyaken, bekken nac nga agten iyan, ta inumbet tac tasun mangecde yac ka biyag kadiya ibilang ku nga karneruc.
010	Ket iya agten iyan, uwed ngarud biyag da nga awan pagkurangan na.
011	Iyaken, maiyarig gac pe iya isa nga nabaru nga agay-aywan kadiya karneru.
011	Ya nabaru nga agay-aywan, sisasagana nga matey, nga mangipaay iya biyag na tasun mangisalakan kadiya karneru na.
012	Ngem no ya makitangtangdan nga bekken na nga kuwa diya karneru nga naitalec igina, agtalew ket baybay-an na diya karneru no uwed masingen na nga umbet nga atap nga asu nga nauyung.
012	Dikad pe makaalac ya nauyung nga asu kadiya karneru, ket nawarawara dan.
013	Ngarud, agtalew ya makitangtangdan, ta mangmangged ngas met nga awan panangisakit na kadiya aywan na nga karneru.
014	Ngem iyaken met ya nabaru nga agay-aywan.
014	Ket agten idi: Em-emmu nac ya Ama, se em-emmuc met pe ya Ama.
014	Agten nac pe iyan, ta em-emmuc diya karneruc, se em-emmu dac met pe.
014	Ket iyaken, nakasagana ngac ngarud nga matey, nga mangipaay iya biyag ku para kadiya karneruc.
015	Ket uwed pe duduma nga ibilang ku nga karneruc nga madi pekkem naitipun idi nga bungguy.
015	Ket masapul nga sakupec da met pe.
015	Ipangag da nad ngarud ya timec ku no pekkawac da.
015	Ket iya agten iyan, is-isa nad nga bungguy ya mangsakup igida, ket is-isa ya agay-aywan igidan.
016	Ya Ama, ay-ayaten nac gapu ta sisasagana ngac nga mangipaay iya biyag ku orey no matey yac, tasun awatec nad mettas manin yan nga biyag ku.
017	Awan makapatey iyaken, ngem agdisnudu wac nga mangipalubus iya pannakapatey ku.
017	Ta uwed iyaken ya turay nga mangiyawat iya biyag ku nga mapatey, se uwed met pe iyaken ya turay nga mangpasoli mettas iya biyag ku.
017	Agten iyan ngarud to nibilin niya Amac nga wanglec, kunen na.
018	Ket dito Hudyu nga aggigicna, madi da manin nagkikinnaawatan gapu kadiyan nga kinagi ne Jesus.
019	Adu igida diya agkunkunen nga, Naluganan met ka sairu yan!
019	Agel-ellut mettin!
019	Ape nga dengdenggen nu ya kagi nan?
019	kunen da.
020	Ngem kinunen diya duduma, Bekken met nga agten idi ya panagkagkagi niya isa nga naluganan ka sairu!
020	Madi ngarud pe mabalin nga mangpalaing diya sairu kadiya mata diya kulap, kunen da.
021	Ket timpu lemmin itun, ket enna Herusalem, nadatnganin ya padaya diya Hudyu nga maawagan ka Padaya Panangilagip ito Palas-ud niya Templu.
022	Ket e Jesus, manmanalan itun ito parte nga maawagan ka Purtiku ne Sulumun enna emwag niya Templu.
023	Ket inarikoyopan dito Hudyu nga nagsaludsud da igina, nga kinunen da, Ape ibaybayag mu pekkem ya panangipalawag mu iya kaipapennan niya panursurum?
023	Ibagam dakamin a, no pudnu nga ikew ya Kristu, kunen da.
024	Ket kinunen ne Jesus igida, Nibagac met dakayun, ngem di dac met patiyen.
024	Diya wangwanglec gapu iya kinaturay nga nipaay niya Amac iyaken, itu diyan diya mangipanecnec dakayu maipanggep iyaken.
025	Ngem madi kayu latta nga mamati, ta bekken kayu nga nairaman iya bungguy diya karneruc.
026	Ta diya karneruc, ikasu da met ya timec ku.
026	Emmuc da, ket suruten dac met.
027	Ket ecdac da ngarud iya agnanayun nga biyag, ket madi da mapukaw nga pulus, se awan makaagaw igida iya panangaywan ku.
028	Ya Amac, nitalec na da iyaken, ket igina met ya kangatuwan iya amin.
028	Itu nga awan ngarud makaagaw igida iya panangaywan niya Ama.
029	Ngarud, ya Ama se iyaken, ket is-isa, kunen na.
030	Ket dito Hudyu, pimidit da manin ka batu nga pangdampag da kuma e Jesus.
031	Ket e Jesus, kinunen na igida, Adu diya nabaru nga winangel ku nga nipawangel niya Ama iyaken.
031	Nagan kadiyan nga winangel ku ya pangdampagan nu iyaken?
031	kunen na.
032	Ket kinunen met dito Hudyu igina, Bekken nga gapu iya isa nga nabaru nga winangel mu ya pangdampagan mi ikew, no di lugud gapu iya kagim nga maikuntra iya kinapudnu maipanggep e Apu Diyus.
032	Ta toley ka ngas met, ngem pagbalinem met nga Diyus ya beggi mun!
032	kunen da.
033	Ngem kinunen ne Jesus, Malagip nu kuma to naisurat iya Linteg nu maipanggep kadito manglinteg itun, ito kinunen ne Apu Diyus nga agten idi: Naibilang nakayu pe nga didiyus, kunen na met iya Linteg.
034	Ket emmu tida met nga pudnu ya naisurat iya Bibliya, ket madi mabaliwan orey ka agnanayun.
034	Iya agten iyan, e Apu Diyus mettas ya nanginagan kadito nangagiyan na nga diyus da kanu.
035	Itu nga no maipanggep iyaken, ape kunen nu nga maikuntra e Apu Diyus ya kagic no kunec nga iyaken ya Anac ne Apu Diyus?
035	Ta iyaken, pinili nac met ya Ama nga agpaay iya panggep na, ket nibon nac ngarud iya lubung ngi.
036	Ngarud, no tutu kuma nga bekken nga diya ipawangel niya Amac ya wangwanglec, kustu met no di dac patiyen.
037	Ngem orey di dac gabay nga patiyen, patiyen nu kuma lugud diya wangwanglec, tasun gapu kadidi nga pagilasinan, masursuruwan kayu se maemmuwan nu kuma nga naitipun ya Ama iyaken, se naitipun nac met pe igina, kunen na.
038	Ket gapu kadiyan nga kinunen ne Jesus, panggeppen da manin nga tacmen, ngem nakalisi met.
039	Ket nawe manin nge Jesus iya demmang nito wangag Hordan, ito namautisaran nito Juan itun.
039	Ket nagedyan nge Jesus antuni nin.
040	Adu diya toley nga nawe ito edyan na.
040	Ket kinunen da iya panagtetebbar da, To Juan, awan nakaskasdaaw nga pagilasinan nga inariman na nga agten kadidi, ngem pudnu met dito amin nga nibaga na maipanggep idi nga toley, kunen da.
041	Ket iya agten iyan, adu diya toley nga namati e Jesus antuni.
