verse	content
001	Iya di nabayag, nawe pinasyar ne Jesus diya il-ili se purpuruc, nga nikasaba na se nilawlawag na ya Makaparagsac nga Damag maipanggep iya panangituray ne Apu Diyus.
001	Ket kabulun na dito sangapulu ket duwa nga adalan na.
002	Ket uwed da pe kabulun na nga babey nga dati nga agsacsakit se nasairuwan itun, nga pinalaing mettas ne Jesus itun.
002	E Marya nga iMagdala ya isa kadito kabulun na, nga igina ya nakapatalawan itun diya pitu nga sairu.
003	Se uwed pe nge Huwana nga asawa ne Tiyusa nga katalec ne Ari Herudes, se e Susana, se adu pekkem diya duduma nga babey nga nangistimar kade Jesus.
003	Nipaay da ngarud diya bukud da nga sansanicwa nga nitulung da kade Jesus.
004	Ket adu diya toltoley nga naguurnung iya edyan ne Jesus, nga gayat da kadiya nadumaduma nga il-ili.
004	Ket ito adu diya toley nga naurnungin, kinagi ne Jesus yani nga pangngarig
005	Uwed isa nga toley nga nawe nagimula ka eggic na.
005	Ket ito agiwarwarisin, uwed da bukel nga nagdessag iya dalan.
005	Ket ginudlan ngarud diya toley, ket nawe met kinan diya sibudin.
006	Uwed da met pe bukel nga nagdessag ka ginet nga uwed pinas iya uneg na.
006	Ket ito timubu dan, dagus da ngarud nga nacrit, gapu ta bekken nga nadam-eg ya ginet.
007	Nagdessag met diya duduma nga bukel iya karuutan nga uwed rasi na.
007	Ket ito dimackel dito ruut, liniyungan da met dito mula ngin.
008	Ket uwed da met duduma nga bukel nga nagdessag iya napaw-is nga ginet.
008	Ket timubu, se dimackel dan.
008	Ket didi nga mula, namisic ya tunggal isa nga bukel nga naimula ka sagsangagasut, kunen na.
009	Ket ito nalpasin to panangisalaysay ne Jesus idi nga pangngarig, kinunen na ka nabileg, Dakayu nga uwed pannakaawat na, tandaanan nu kuma ngarud yanin, kunen na.
010	Ket dito pasurut ne Jesus, sinaludsud da ngarud igina ya kaipapennan niyan nga pangngarig.
011	Ket kinunen ne Jesus, No dakayu, napalubusan kayun nga makaawat kadiya nauneg nga adal nga di pekkem naipakaemmu kadiya duduma maipanggep iya panangituray ne Apu Diyus.
011	Ngem diya duduma, diyan nas pangngarig ya maisuru igida, tasun orey masingen da, madi da met pulus nga malasin, se orey magicna da, madi da met pulus nga maawatan.
012	Ket agten idi ya banag nito pangngarig: To eggic nga kunec, itu ya kagi ne Apu Diyus.
013	Ket dito nagdessag iya dalan, itu diya maiyarig kadiya toley nga makagicna iya kagi ne Apu Diyus, ngem malepanan da.
013	Ta arig nga umbet ya diyablu nga ipac na ya kagi nga uwed iya lemlemmet da, tasun di da mamati se maisalakan.
014	Ket dito bukel nga nagdessag ito ginet nga uwed pinas iya uneg na, itu diya maiyarig kadiya toley nga makagicna iya kagi ne Apu Diyus, ket awaten da nga siaanggem.
014	Ngem gapu ta arig da nga mula nga awan nauneg nga gamut da, nalaka da nga mamati iya damu, ngem dagus da nga aglikud no uwed pakasulisugan da.
015	Ket dito bukel nga nagdessag iya karuutan nga uwed rasi na, itu diya maiyarig kadiya toley nga makagicna iya kagi ne Apu Diyus, ngem maabac ya pannakabalin na igida, gapu kadiya pakasikuran da, se gapu iya panangtarigagay da ka kinabacnang se pakaragsakan da.
015	Itu nga arig da nga bisic nga madi agmayan.
