verse	content
001	Tutu met yan, ta ya panangituray niya Nailangitan, ket agten idi nga pangngarig: Uwed isa nga makin-kuwa iya isa nga kaubasan, nga rinumwar iya nasapa pekkem nga agsapa, nga nawe agsapul ka tangdanan na nga agwangel iya kaubasan na.
002	Ket nakitulag kadito nasmac na, nga isa nga diplata kanu ya tangdan niya tunggal isa para iyan nga algew.
002	Ket se na dan pinapen ito kaubasan na.
003	Ket ito umalgew win, rinumwar manin to toley, ket uwed da met duduma nga nasingen na ito tindaan, nga gasisikad da ngas nga agkakaldoyus.
004	Ket kinunen na igida, Mawe kayu pe agwangel enna kaubasac, ket tangdanan nakayu mettas ka kustu, kunen na.
004	Ket nawe da ngarudin.
005	Ket agten pe iyan ya winangel manin nito toley ito agmatuun se ito nasapa pekkem iya gidam.
006	Ket ito gidam nga tutu win, rinumwar manin to toley, ket uwed da met duduma manin nga nasmac na nga gasisikad ngas antuni nga agkakaldoyus.
006	Ket kinunen na ngarud igida, Ape nga aggidgidam kayu nga gasisikad nga agkakaldoyus ngas idi?
006	kunen na.
007	Ket kinunen da igina, Awan met ngamin mangpategged dakami, kunen da.
008	Ket to makin-kuwa ito kaubasan, kinunen na ngarud igida, Ala, mawe kayu pe agwangel enna kaubasac, kunen na.
009	Ket ito siclep pin, kinunen nito makin-kaubasan iya katalec na, Palbetem dito mangmangged.
009	Ket tangdanam da, nga ponaem dito nodi nga inumbet, agingga nga di pekkem natangdanan dito nona nga inumbet, kunen na.
010	Ket dito mangmangged nga inumbet nga nagwangel ito gidamin, tunggal isa igida, naecdan da ka isa nga diplata.
011	Ket dito mangmangged nga nona nga inumbet nga nagwangel, ito nawe da alaken ya tangdan da, nipagarup da nga ad-adu ya maitangdan igida.
011	Ngem isa met pe nga diplata to naecde iya tunggal isa igida.
012	Itu nga ito naalac dan to tangdan da, nakiriri da ngarudin gapu ito makin-kuwa ito kaubasan,
013	nga kinunen da, Isa nga uras ngas nga nagwangel diyan nga nodi nga inumbet.
013	Ape nga nipadam ya tangdan da iya tangdan mi?
013	Ket dakami, naggidgidam kami nga naganus iya panagbannug mi iya panagwangel mi se ya pudut niya sinag, kunen da.
014	Ngem to makin-kuwa ito kaubasan, kinunen na ito isa igida, Gayyem, awan met basul ku ikew.
014	Di met isa nga diplata to tulag ta nga tangdan mu?
015	Ala!
015	Alac mu was ya bagim, se ka agawirin.
015	Ta tarigagay ku met nga ipadac ya ecdec idi nga nodi nga inumbet nga nagwangel iya necdec ikew.
016	Di ngarud aya mabalin no wanglec ya orey nagan na nga gabay ku kadiya mismu nga kukuwac?
016	Ape?
016	Ya nalaka nga panangecdec aya ya imanam?
016	kunen nito akin-kuwa.
017	Ket kinunen pe ne Jesus, Agten pe iyan nga pangngarig ya panangituray niya Nailangitan.
017	Ta diya maibilang ita nga nababa, ket maibilang da nad nga nadayawin.
017	Ket diya maibilang ita nga nadayaw, ket maibilang da nad nga nababa ngin, kunen na.
018	Ito agsangsang-at de Jesus nga agpa-Herusalem, nibay-at na dito sangapulu ket duwa nga adalan na ito dalan, ket kinunen na igida,
019	Agten idi nin: Manang-at tida ngarud nga mawe ka Herusalemin.
019	Ket ya Anac nga Naipatoley, maiyawat nad met antuni kadiya pangpangulu diya agsirsirbi iya Templu se kadiya manursuru iya Linteg.
019	Ket kedngan da nad met nga patey ya dusa na.
