1: Ibinukod din ni David at ng mga punong-kawal ng hukbo para sa paglilingkod ang ilan sa mga anak nina Asaf, Heman, at Jedutun na magpapahayag ng propesiya sa saliw ng mga alpa, mga lira, at ng mga pompiyang. Ang talaan ng gumawa ng gawain at ang kanilang mga tungkulin ay sina
2: Sa mga anak ni Asaf: sina Zacur, Jose, Netanias, at Asarela, na mga anak ni Asaf; sa ilalim ng pamumuno ni Asaf na nagpahayag ng propesiya ayon sa utos ng hari.
3: Kay Jedutun, ang mga anak ni Jedutun: sina Gedalias, Zeri, Jeshaias, Hashabias, at Matithias, anim; sa ilalim ng pamumuno ng kanilang amang si Jedutun na nagpahayag ng propesiya sa saliw ng lira, na may pagpapasalamat at pagpupuri sa Panginoon .
4: Kay Heman, ang mga anak ni Heman: sina Bukias, Matanias, Uziel, Sebuel, Jerimot, Hananias, Hanani, Eliata, Gidalti, Romamtiezer, Josbecasa, Maloti, Hotir, at Mahaziot.
5: Lahat ng mga ito'y mga anak ni Heman na propeta ng hari, ayon sa pangako ng Diyos na itaas siya. Sapagkat binigyan ng Diyos si Heman ng labing-apat na anak na lalaki at tatlong anak na babae.
6: Silang lahat ay nasa ilalim ng pamumuno ng kanilang ama sa pag-awit sa bahay ng Panginoon , na may mga pompiyang, mga lira, at mga alpa sa paglilingkod sa bahay ng Diyos; sina Asaf, Jedutun, at Heman ay nasa ilalim ng pamumuno ng hari.
7: Ang bilang nila kasama ang kanilang mga kapatid na mga sinanay sa pag-awit sa Panginoon , lahat ng bihasa ay dalawandaan at walumpu't walo.
8: Sila'y nagpalabunutan sa kanilang mga katungkulan, hamak at dakila, maging ang guro at mag-aaral.
9: Ang unang sapalaran ay napunta kay Asaf hanggang kay Jose; ang ikalawa'y kay Gedalias; siya at ang kanyang mga kapatid at mga anak ay labindalawa;
10: ang ikatlo ay kay Zacur, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
11: ang ikaapat ay kay Isri, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
12: ang ikalima ay kay Netanias, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
13: ang ikaanim ay kay Bukias, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
14: ang ikapito ay kay Jesarela, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
15: ang ikawalo ay kay Jeshaias, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
16: ang ikasiyam ay kay Matanias, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
17: ang ikasampu ay kay Shimei, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
18: ang ikalabing-isa ay kay Azarel, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
19: ang ikalabindalawa ay kay Hashabias, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
20: ang ikalabintatlo ay kay Subael, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
21: ang ikalabing-apat ay kay Matithias, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
22: ang ikalabinlima ay kay Jerimot, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
23: ang ikalabing-anim ay kay Hananias, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
24: ang ikalabimpito ay kay Josbecasa, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
25: ang ikalabingwalo ay kay Hanani, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
26: ang ikalabinsiyam ay kay Maloti, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
27: ang ikadalawampu ay kay Eliata, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
28: ang ikadalawampu't isa ay kay Hotir, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
29: ang ikadalawampu't dalawa ay kay Gidalti, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
30: ang ikadalawampu't tatlo ay kay Mahaziot, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa;
31: ang ikadalawampu't apat ay kay Romamtiezer, sa kanyang mga anak at sa kanyang mga kapatid, labindalawa.
