id	book	chapter	sentence_no	source_text	target_text
EXO_001_1	EXO	001	1	Kaya ipinaapod sinda kan hade dangan hinapot, Tano ta dai kamo nagsunod?	Apan nahadlok sa Dios ang mga mananabang busa wala nila tumana ang gisugo sa hari.
EXO_001_1	EXO	001	1	Dangan nagadan si Jose, an saiyang mga tugang asin an gabos na henerasyon na idto.	Unya namatay si Jose ug ang iyang mga igsoon ingon man ang tanan niadtong kaliwatana.
EXO_001_1	EXO	001	1	Issakar, Zabulon, Benjamin,	si Isacar, si Zabulon, si Benjamin,
EXO_001_1	EXO	001	1	Dan, Neftali, Gad, asin Aser.	si Dan, si Neftali, si Gad ug si Aser.
EXO_001_1	EXO	001	1	Setenta gabos an kapagarakian ni Jacob.	Ang tanang kaliwat ni Jacob miabot ug 70.
EXO_001_1	EXO	001	1	Kaya nagboot an hade sa mga Egipcio, Itapok nindo sa Salog nin Nilo an lambang bagong mamundag na lalaki sa mga Hebreyo, alagad pabayaan nindong mabuhay an gabos na aking babae.	Tungod kay ang mga mananabang mahadlokon man sa Dios, ang Dios naluoy kanila ug gihatagan silag mga anak. Ug ang mga Israelita nagpadayon sa pagsanay ug nahimong gamhanan.
EXO_001_1	EXO	001	1	Kaya nagbugtak sinda nin mga makuring parapamahala tanganing pasakitan an mga Israelita sa paagi nin mga magabat na trabaho.	Busa gibutangan nilag mga kapatas ang mga Israelita aron pugson sila sa pagpatrabaho sa bug-at nga buluhaton.
EXO_001_1	EXO	001	1	Alagad an saindang kapagarakian, an mga Israelita, nagkaigwa nin dakul na mga aki kaya kuminosog sinda asin napano ninda an Egipto.	Apan midaghan ug nahimong gamhanan ang mga Israelita ug nalukop ang Ehipto kanila.
EXO_001_1	EXO	001	1	Dangan nagkaigwa an Egipto nin bagong hade na dai midbid si Jose.	Unya may bag-ong hari sa Ehipto nga wala masayod bahin kang Jose.
EXO_001_1	EXO	001	1	Nagsabi an hade sa saiyang banwaan, Dakul nang marahay an mga Israelita asin mas makosog na ki sa sato.	Miingon siya sa iyang katawhan, Tan-awa ninyo, daghan na kaayo ang mga Israelita ug mas gamhanan na sila kay kanato.
EXO_001_1	EXO	001	1	si Ruben, Simeon, Levi, Juda,	Si Ruben, si Simeon, si Levi, si Juda,
EXO_001_1	EXO	001	1	Kaipuhan magin tuso kita tanganing mapugol an saindang pagdakul, ta kun magkagera, tibaad umapil sinda sa satong mga kaiwal, labanan kita dangan bayaan an satong daga.	Busa mangita kitag paagi aron dili magkadugang ang ilang gidaghanon kay tingali unyag sa panahon sa gubat motipon sila sa atong mga kaaway ug makigbatok kanato ug unya mobiya sa nasod.
EXO_001_1	EXO	001	1	Kun kamo magpaaki sa mga babaeng Hebreyo, gadanon nindo an aki kun lalaki alagad pabayaan nindong mabuhay kun babae.	Unya giingnan sa hari sa Ehipto si Sipra ug si Pua, ang mga mananabang nga Hebreo,
EXO_001_1	EXO	001	1	Alagad kun kasuarin pinasakitan an mga Israelita, lalo logod sindang nagdakul asin orog na nakalakop sa daga nin Egipto. Natakot an mga Egipcio sa mga Israelita	Apan sa diha nga mas gidaugdaog sila sa mga Ehiptohanon, misamot hinuog kadaghan ang mga Israelita ug nakatag pag-ayo sa nasod, maoy hinungdan nga nangahadlok ang mga Ehiptohanon.
EXO_001_1	EXO	001	1	kaya ginibo nindang makaherak an buhay kan mga ini sa paagi nin magagabat na trabaho. Mayong pagkaherak na pinirit nindang magtrabaho an mga Israelita sa saindang mga proyektong pagtugdok nin mga edipisyo asin sa gabos na trabaho sa saindang oma.	Busa giulipon sila sa mga Ehiptohanon ug gipaantos sa bug-at nga trabaho.
EXO_001_1	EXO	001	1	Dangan sinabihan kan hade si Sifra asin si Pua, mga parterang nagpapaaki sa mga babaeng Hebreyo.	Gilisudlisod sila pag-ayo sa ilang pagpuyo pinaagi sa paghimo kanila nga tighimog tisa ug gipatrabaho sila sa tanang matang sa lisod nga trabaho sa walay kukaluoy.
EXO_001_1	EXO	001	1	Huli kaini, benendisyonan nin Dios an mga partera asin tinawan niya sinda nin dakul na mga aki.	Mitubag sila, Ang mga babayeng Hebreo dili sama sa mga babayeng Ehiptohanon.
