id	book	chapter	sentence_no	source_text	target_text
EXO_001_1	EXO	001	1	Dangan sinabihan kan hade si Sifra asin si Pua, mga parterang nagpapaaki sa mga babaeng Hebreyo.	Rimmigat ti biagda. Pinilitda ida nga agtrabaho kadagiti talonda ken agipasdek kadagiti patakderda. Dida naasian kadakuada.
EXO_001_1	EXO	001	1	Kaya nagboot an hade sa mga Egipcio, Itapok nindo sa Salog nin Nilo an lambang bagong mamundag na lalaki sa mga Hebreyo, alagad pabayaan nindong mabuhay an gabos na aking babae.	Gapu ta managbuteng dagiti partera iti Dios, binendisionanna dagitoy, ket naikkanda iti bukodda a familia.
EXO_001_1	EXO	001	1	si Ruben, Simeon, Levi, Juda,	Ruben, Simeon, Levi, Juda,
EXO_001_1	EXO	001	1	Huli kaini, benendisyonan nin Dios an mga partera asin tinawan niya sinda nin dakul na mga aki.	Sabali ngamin dagiti babbai a Hebreo, apo, insungbatda. Saanda a kas kadagiti babbai nga Egipcio.
EXO_001_1	EXO	001	1	Issakar, Zabulon, Benjamin,	Issacar, Zabulon, Benjamin,
EXO_001_1	EXO	001	1	Nagsimbag sinda, Iba kaya an mga babaeng Hebreyo sa mga babaeng taga Egipto;	Pinaayaban ngarud ti ari dagiti partera. Sinaludsodna, Apay a kasta ti ar-aramidenyo?
EXO_001_1	EXO	001	1	Iyo ini an mga aki ni Jacob na nag-iriba saiya pasiring sa Egipto, kaiba an saindang mga pamilya	Dagitoy ti nagan dagiti annak ni Jacob a kimmuyog kenkuana a napan idiay Egipto agraman dagiti familiada
EXO_001_1	EXO	001	1	Kaya ipinaapod sinda kan hade dangan hinapot, Tano ta dai kamo nagsunod?	Ngem managbuteng dagiti partera iti Dios ket saanda a tinungpal ti bilin ti ari.
EXO_001_1	EXO	001	1	Kun kamo magpaaki sa mga babaeng Hebreyo, gadanon nindo an aki kun lalaki alagad pabayaan nindong mabuhay kun babae.	Kinasao ti ari ti Egipto dagiti partera a Hebreo ket imbilinna kadakuada, No paanakenyo dagiti Hebreo, patayenyo ti maladaga no lalaki. Ngem no babai, bay-anyo nga agbiag.
EXO_001_1	EXO	001	1	Alagad dai sinunod kan mga partera an pagboot kan hade huli ta may pagkatakot sinda sa Dios; pinabayaan nindang mabuhay an mga aking lalaki.	Maysa kadagitoy a partera ti agnagan iti Zifra ket Pua ti nagan met ti sabali.
EXO_001_1	EXO	001	1	Dan, Neftali, Gad, asin Aser.	Dan, Neftali, Gad ken Aser.
EXO_001_1	EXO	001	1	kaya ginibo nindang makaherak an buhay kan mga ini sa paagi nin magagabat na trabaho. Mayong pagkaherak na pinirit nindang magtrabaho an mga Israelita sa saindang mga proyektong pagtugdok nin mga edipisyo asin sa gabos na trabaho sa saindang oma.	Naranggas ti panangtagabuda kadagiti Israelita.
EXO_001_1	EXO	001	1	Dangan nagadan si Jose, an saiyang mga tugang asin an gabos na henerasyon na idto.	Natay sadiay ni Jose, kasta met amin a kakabsatna ken amin daydi a kaputotan.
EXO_001_1	EXO	001	1	Alagad kun kasuarin pinasakitan an mga Israelita, lalo logod sindang nagdakul asin orog na nakalakop sa daga nin Egipto.	Ngem no kasano ti panangparparigat dagiti Egipcio kadakuada, immad-aduda ketdi ket nagwarasda.
EXO_001_1	EXO	001	1	Setenta gabos an kapagarakian ni Jacob.	Pitopulo ti dagup dagiti annak a nagtaud ken ni Jacob.
EXO_001_1	EXO	001	1	Kaya nagbugtak sinda nin mga makuring parapamahala tanganing pasakitan an mga Israelita sa paagi nin mga magabat na trabaho.	Iti kasta, nangdutokda kadagiti narungsot a kapatas a mangparigat kadagiti Israelita nga agtrabaho iti nadagdagsen pay ngem iti sigud nga ar-aramidenda.
EXO_001_1	EXO	001	1	Kaipuhan magin tuso kita tanganing mapugol an saindang pagdakul, ta kun magkagera, tibaad umapil sinda sa satong mga kaiwal, labanan kita dangan bayaan an satong daga.	Masapul nga agaramidtayo iti pamuspusan tapno malapdan ti panagaduda. Ta no adda gubat, amangan no kumapponda kadagiti kabusor a manggubat kadatayo, ket aglibasda a pumanaw iti dagatayo.
EXO_001_1	EXO	001	1	Nagsabi an hade sa saiyang banwaan, Dakul nang marahay an mga Israelita asin mas makosog na ki sa sato.	Kitaenyo, kinuna ti ari kadagiti iturayanna. Agpeggadtayo ta nakaad-adu ken nabileg unayen dagiti Israelita.
EXO_001_1	EXO	001	1	Dangan nagkaigwa an Egipto nin bagong hade na dai midbid si Jose.	Naglabas ti tiempo. Nagturay idiay Egipto ti baro nga ari nga awan ti ammona maipapan ken ni Jose.
