id	book	chapter	sentence_no	source_text	target_text
EXO_001_1	EXO	001	1	Nagsabi an hade sa saiyang banwaan, Dakul nang marahay an mga Israelita asin mas makosog na ki sa sato.	Nganang sinabi karing sasakupan na, Lawan yu, mas dakal la at masikan kesa kekatamu deting Israelita.
EXO_001_1	EXO	001	1	Dan, Neftali, Gad, asin Aser.	Dan, Neftali, Gad ampon i Aser.
EXO_001_1	EXO	001	1	si Ruben, Simeon, Levi, Juda,	i Ruben, Simeon, Levi, Juda,
EXO_001_1	EXO	001	1	Huli kaini, benendisyonan nin Dios an mga partera asin tinawan niya sinda nin dakul na mga aki.	Ngarang mekibat ding ilut king ari, Kasi pu deng babaing Hebreo e ra la pu kalupa ding babai tamu keti Ehipto;
EXO_001_1	EXO	001	1	Issakar, Zabulon, Benjamin,	Isacar, Zebulun, Benjamin,
EXO_001_1	EXO	001	1	Nagsimbag sinda, Iba kaya an mga babaeng Hebreyo sa mga babaeng taga Egipto;	Inya pepayaus na la ning ari ning Ehipto at ngana karela, Obat makanyan ing depat yu?
EXO_001_1	EXO	001	1	Setenta gabos an kapagarakian ni Jacob.	Pitu lang pulu kabilangan ding heganaganang lahi nang Jacob.
EXO_001_1	EXO	001	1	Kaya ipinaapod sinda kan hade dangan hinapot, Tano ta dai kamo nagsunod?	Oneng ding ilut, uli na ning takut da king Dios, e ra pemintuan ing utus na ning ari.
EXO_001_1	EXO	001	1	Dangan nagadan si Jose, an saiyang mga tugang asin an gabos na henerasyon na idto.	Kaybat na nita, mete ya i Jose at ding sabla nang kapatad ampon ding anak da ring anak da.
EXO_001_1	EXO	001	1	Alagad dai sinunod kan mga partera an pagboot kan hade huli ta may pagkatakot sinda sa Dios;	Ngana karela, Potang papanganak kayu, kabud akit yu king ing anak a mibait lalaki ya, paten ye.
EXO_001_1	EXO	001	1	Kun kamo magpaaki sa mga babaeng Hebreyo, gadanon nindo an aki kun lalaki alagad pabayaan nindong mabuhay kun babae.	Misan a aldo, pekisabian na la ning ari na ning Ehipto di Sipra at Pua, ding aduang ilut a papanganak karing babaing Hebreo.
EXO_001_1	EXO	001	1	Alagad kun kasuarin pinasakitan an mga Israelita, lalo logod sindang nagdakul asin orog na nakalakop sa daga nin Egipto.	Oneng kabang pasakitan da la ring Israelita kanita la lalung merakal at mikalat.
EXO_001_1	EXO	001	1	Kaya nagboot an hade sa mga Egipcio, Itapok nindo sa Salog nin Nilo an lambang bagong mamundag na lalaki sa mga Hebreyo, alagad pabayaan nindong mabuhay an gabos na aking babae.	Metula ya ing Dios karing ilut at lalu lang merakal ampon mesikan ding Israelita.
EXO_001_1	EXO	001	1	kaya ginibo nindang makaherak an buhay kan mga ini sa paagi nin magagabat na trabaho. Mayong pagkaherak na pinirit nindang magtrabaho an mga Israelita sa saindang mga proyektong pagtugdok nin mga edipisyo asin sa gabos na trabaho sa saindang oma.	Inya lalu da la pang inalipusta.
EXO_001_1	EXO	001	1	Dangan sinabihan kan hade si Sifra asin si Pua, mga parterang nagpapaaki sa mga babaeng Hebreyo.	At alang lunus da lang pepagawan laryu at binie da karela ing sablang mabayat a obra king marangle.
