id	book	chapter	sentence_no	source_text	target_text
JHN_001_001	JHN	001	001	Y ele ya amo aquel que de vene despues di mio, pero hende yo merece masquin para desata ya lang el liston del di suyo maga sandalias.	nagpamangkot pa gid kay Juan, Ti, kon bukun ikaw ang Cristo ukon si Elias kag bukun man ikaw ang propeta, andut nga nagapangbawtiso ikaw haw?
JHN_001_001	JHN	001	001	Ya contesta si Juan canila, Ta bautisa yo con agua, pero tiene uno alli entre con ustedes que no conoce ustedes.	Ang mga tawo nga dya nga ginsugo kang mga Fariseo,
JHN_001_001	JHN	001	001	Despues ya habla si Jesus con ele, Ta cree ya ba tu cay ya habla yo que ya mira yo contigo abajo del ponoy higuera? Ay mira pa tu mas grande cosas que con ese.	Nagsabat si Jesus kana, Antes ikaw itawgun ni Felipe, nakita ko run ikaw rugto sa may idalum kang kahoy nga higera.
JHN_001_001	JHN	001	001	Despues ya habla dayun si Nataniel, Maestro, uste amo el Hijo de Dios, el Rey del di aton nacion Israel.	Nagkuon si Natanael kay Jesus, Paano mo ako nakilala man?
JHN_001_001	JHN	001	001	Ya contesta si Jesus con ele, Ay! Antes de llamar si Felipe contigo, ya mira ya yo contigo cuando talla pa tu abajo del ponoy higuera.	Kang makita ni Jesus si Natanael nga nagapaagto kana, nagkuon tana nahanungud kay Natanael, Dyaay ang matuod-tuod nga Israelenhun nga wara gid pagpangloko!
JHN_001_001	JHN	001	001	Ya pregunta si Nataniel con ele, Paquemodo man uste conoce conmigo?	Kag nagkuon si Felipe kana, Dali bala kag sulnga.
JHN_001_001	JHN	001	001	Cuando si Jesus ya mira con Nataniel ta acerca ya con ele, ya habla le, Taqui ya el Judio bien sincero, quien hende ta engaa ni con ningunos.	Nagsabat si Natanael, May mayad bala haw nga magahalin sa banwa kang Nazaret?
JHN_001_001	JHN	001	001	Si Felipe ya habla con ele, Vene para mira.	Kang makita ni Felipe si Natanael ginkun-an na dya nga, Nakita namun ang tawo nga amo ang ginatumud ni Moises sa anang sinulatan sa Kasugoan, kag amo man ang ginatumud kang mga propeta sa andang mga sinulat. Tana amo si Jesus nga taga-Nazaret, nga bata ni Jose!
JHN_001_001	JHN	001	001	Ya habla si Nataniel con ele, Aha! Cosa man gaja bueno puede sale alla na Nazaret, ese lugar hende mentao?	Si Felipe nga dya pareho man nanday Andres kag Pedro nga taga-Betsaida.
JHN_001_001	JHN	001	001	Ahora si Felipe ya anda busca con Nataniel, y cuando ya encontra le con ese ya habla le, Mira tu, ya encontra ya came con el persona, aquel que ya escribi si Moises na libro del ley, hasta el maga profeta gane ya escribi acerca di suyo.	Kang masunod nga adlaw, nagpamat-ud si Jesus nga mag-agto sa probinsya kang Galilea.
JHN_001_001	JHN	001	001	Aquel si Felipe ya sale na Betsaida, el pueblo donde ta queda tamen si Andres y si Pedro.	Pagatawgun run ikaw kadya nga Cefas. Ang ngaran nga Cefas pareho man kang Pedro, nga kon sayudon bato.
JHN_001_001	JHN	001	001	Ala maana si Jesus ya decidi anda na Galilea.	Ang una nga ginhimo ni Andres ginsagap na ang anang bugto nga si Simon, kag kang nakita na si Simon nagkuon tana kadya, Nakita run namun ang Mesias!
JHN_001_001	JHN	001	001	Si Jesus ya mira gayot con Simon, y ya habla, Tu gale si Simon, el anak di Juan, pero desde ahora el nombre di tuyo si Cefas ya. Este nombre Cefas igual con el nombre Pedro que quiere decir piedra.	Si Andres nga bugto ni Simon Pedro isara sa darwa nga nakabati sa ginhambal ni Juan kag nagsunod kay Jesus.
JHN_001_001	JHN	001	001	Despues si Andres ya lleva con Simon alla con Jesus.	Amo to kag nagtawas sanda kana kag nakita nanda ang anang ginaistaran, kag nag-imaw sanda kana kang adlaw nga to. Mga alas kwatro run to ti hapon.
JHN_001_001	JHN	001	001	Despues si Andres ya anda busca con su hermano si Simon, y ya habla con ele, Ya encontra ya came con el gente con quien Dios ya escoje para reina como un rey entre el maga gente, y ele amo el Cristo.	Nagkuon si Jesus, Dali bala kamo, kag makita ninyo.
JHN_001_001	JHN	001	001	Uno de aquellos dos siguidores quien ya sigui con Jesus cuando ya oi el maga palabra di Juan el Bautista amo si Andres el hermano di Simon Pedro.	Nagsabat sanda, Rabbi, sa diin ikaw nagaistar? Ang gusto hambalun kang tinaga nga Rabi, Maestro.
JHN_001_001	JHN	001	001	Ya contesta si Jesus, Sigui lang mira. Poreso ya sigui sila con ele hasta donde le ta queda.	Nagbalikid si Jesus kag nakita na nga nagasunod sanda kana.
JHN_001_001	JHN	001	001	Ya contesta sila, Rabbi, donde man uste ta queda? Este palabra rabbi quiere decir maestro.	Kang mabatian tana kang darwa na ka disipulo nga naghambal kang amo dya, nagsunod sanda kay Jesus.
JHN_001_001	JHN	001	001	Aquel Palabra ya queda un carne humano y ya vivi le junto canaton, y tiene le gran compasion y el entero vida di suyo verdad gayot.	Ang Pulong nangin tawo kag nag-istar kaimaw natun. Wara gid ti nakulang sa anang pagkamaalwan, kag tana ang nagapahayag kang bug-os nga kamatuoran nahanungud sa Dios.
JHN_001_001	JHN	001	001	Si Jesus ya bira cara y ya mira le con ese dos quien ta sigui con ele, y ya pregunta le canila, Cosa man ustedes ta busca?	Kang makita na si Jesus nga nagalubas, nagkuon si Juan, Dyaay ang karnero kang Dios!
JHN_001_001	JHN	001	001	Cuando el dos siguidores di Juan ya oi el cosa ya habla le, ya deja sila con Juan y ya sigui junto con Jesus.	Kang masunod nga adlaw kato, rugyan ruman si Juan imaw kang darwa na ka mga disipulo.
JHN_001_001	JHN	001	001	Y mientras si Jesus ta pasa cerca canila, ya pija gayot si Juan con ele y ya habla, Mira! Talla o, el cordero que Dios ya dale como un ofrenda por causa del pecado.	Nakita ko gid dya kag nagasugid ako nga tana ang Anak kang Dios.
JHN_001_001	JHN	001	001	Ala maana si Juan el Bautista parao ya junto con el dos del di suyo maga siguidores.	Wara ko tana makilala kang primero, pero ang Dios nga amo ang nagsugo kanakun sa pagpangbawtiso sa tubig nagkuon nga daan kanakun nga, ang tawo nga imo makita nga sa diin magakunsad kag magapabilin kana ang Balaan Ispirito, amo dya tana ang magapangbawtiso sa mga tawo kang Balaan nga Ispirito.
JHN_001_001	JHN	001	001	Ya mira yo con ese suceso, y ta habla gayot yo con ustedes que ele ya gayot el Hijo de Dios.	Kag ginsugid ni Juan ang anang nakita, Nakita ko ang Balaan nga Ispirito nga nagkunsad nga daw pating halin sa langit kag nagtiner kana.
JHN_001_001	JHN	001	001	Cuando ya queda sila anak de Dios, hende ese por causa del di ila nacimiento natural, sino Dios mismo ya queda el di ila verdadero tata.	Nangin kabataan sanda kadya kang Dios, indi sa kinaandan nga pamaagi ukon sa tawhanun nga pagbuut, kundi suno gid lang sa pagbuut kang Dios.
JHN_001_001	JHN	001	001	Pero tiene di ila ya recibi y ya cree tamen con ele, y con esos maga gente ya dale le el derecho para queda el maga anak de Dios.	Pero ang mga nagbaraton tana kana, sanda nga mga nagtoroo kana, gintaw-an na kang kinamatarung nga mangin kabataan kang Dios.
JHN_001_001	JHN	001	001	Ya llega le na di suyo mismo lugar de Israel, pero el maga ciudadano alla nuay recibi con ele.	Nag-abot tana sa anang kaugalingun nga lugar, pero ang anang mga kasimanwa wara magbaton kana.
JHN_001_001	JHN	001	001	Nuay pa man gayot yo conoce si quien ba gayot ele, pero Dios, quien ya manda conmigo para bautisa con agua, ya habla, Ay mira uste con el gente con quien el Espiritu Santo ay abaja y esta.	Ako mismo wara makakilala kana.
JHN_001_001	JHN	001	001	Despues si Juan ya continua pa habla, Ya mira yo con el Espiritu Santo na forma de un paloma que ya sale na cielo y ya abaja para con ele, y ese Espiritu Santo ya esta con ele.	Amo dya tana ang akun ginatumud kang maghambal ako nga, May sangka tawo nga nagasunod kanakun nga mas gamhanan sangsa kanakun tungud nga wara pa ako matawo dyan run tana nga daan.
JHN_001_001	JHN	001	001	Nuay pa man gayot yo conoce si quien ele, pero ya vene yo para bautisa con agua para hace claro con el maga gente de Israel si quien gayot ele.	Kang masunod nga adlaw nakita ni Juan si Jesus nga nagapaagto kana. Nagkuon tana kadya, Sulnga ninyo, dyaay ang karnero kang Dios nga nagabuul kang kasal-anan kang mga katawhan sa kalibutan.
JHN_001_001	JHN	001	001	Ele ya man aquel ta habla yo con ustedes cuando ya habla yo, Ele ay vene atras di mio y amo el mas importante que conmigo, cay ele ta existi ya mas antes pa que conmigo.	Dya tanan natabo sa Betania, rugto sa pihak kang suba kang Jordan nga sa diin si Juan nagapangbawtiso.
JHN_001_001	JHN	001	001	Ala maana cuando didia ya, si Juan ya mira con Jesus ta atraca con ele, y ya habla si Juan, O, taqui ya el Cordero de Dios, quien ay quita el pecado del maga gente na mundo.	Amo dya tana ang magasunod kanakun nga bisan pa gani ang paghubad kang higot kang anang sandalyas indi ako takus.
JHN_001_001	JHN	001	001	Entonces ese Palabra ta llama tamen el Luz, ya llega ya na mundo. Pero masquin Dios man ya hace este mundo por medio di suyo, ese mismo maga gente que Dios ya crea nuay conoce con ele.	Nag-abot tana sa kalibutan, kag bisan pa nga ang kalibutan gintuga paagi kana, ang mga katawhan sa kalibutan wara makakilala kana.
JHN_001_001	JHN	001	001	y ya pregunta el maga mensajero con Juan, Si uste hende el Cristo, ni si Elias, ni aquel profeta, porque man uste ta bautisa con el maga gente?	tadlunga ninyo ang dalan nga pagaagyan kang Ginoo.
JHN_001_001	JHN	001	001	Ya continua si Jesus habla canila, Ta habla gayot yo claro, ay mira ustedes el cielo abierto, y ay mira tamen ustedes con el maga angeles de Dios ta man anday viene con el Hijo del Hombre.	Kag nagkuon si Natanael, Maestro, ikaw ang Anak kang Dios! Ikaw ang Hari kang Israel!
JHN_001_001	JHN	001	001	Cuando si Juan ta predica, ta habla le acerca del Hijo, y este el cosa ya habla le, Ele ya amo aquel que ya habla yo con ustedes, que de vene despues di mio.	Si Juan nagsugid nahanungud sa Pulong.
