id	source_text	target_text
JHN_001_0001	Antes pa del creacion del mundo, ta existi ya el quien ta llama el Palabra.	Sapul pa ten sapul ay ked dn en Upos, kaguman nen Diyos en Upos, sakay en Upos ay siya dn en Diyos.
JHN_001_0002	Este Palabra amo el quien ta expresa todo el pensamiento de Dios.	Sapul pa ten sapul ay kaguman dn siya nen Diyos.
JHN_001_0003	Este Palabra junto con Dios y igual tamen con ele.	Linalang en atanan bagay a ten pamamag-itan na, sakay awan ti linalang a bakn a ten pamamag-itan na.
JHN_001_0004	Junto ya le con Dios desde el principio gayot de todo las cosas.	En Upos en paggubwatan ni biyag, sakay iyd a biyag ay nangatd ti demlag ten tolay.
JHN_001_0005	Y por medio de ese Palabra, Dios ya crea todo las cosas.	Iyd a demlag ay magdemlag ten kadiklmman, sakay awan iyd madaig nen diklm.
JHN_001_0006	Nuay nada ya queda creao si hende por medio de aquel Palabra.	Nadid, tehud a essa a lllaki a inutusan en Diyos, en ngaran na ay ti Juan.
JHN_001_0007	El vida de todo ya sale con ele, y este vida di suyo igual como el luz que ta dale claridad na pensamiento del maga gente.	Pinaangay na ti Juan ten tolay hidi, inutusan siya tnni ipahayag na en tungkul ten demlag, tnni sumampalataya en atanan a tolay.
JHN_001_0008	Este luz ta alumbra con el oscuridad, y el oscuridad no puede gana con ese luz.	Bakn a ti Juan en demlag, nan inutusan siya tnni mngpahayag ni deya en demlag.
JHN_001_0009	Tiene un gente con quien Dios ya manda aqui na mundo, y su nombre si Juan.	En tunay a demlag a mangdemlag ten atanan a tolay ay dumemt ti munduwiday.
JHN_001_0010	Ya vene le para habla con el maga gente acerca de ese luz, para todo el maga gente ay puede tene el oportunidad para cree con ese por medio del mensaje di Juan.	Dummemt en Upos ti munduwiday, peru awan siya tinenggi ni munduwiday maski ni linalang i munduwiday ten pamamag-itan na.
JHN_001_0011	Si Juan hende aquel luz, sino Dios ya manda con ele aqui na mundo para habla acerca de ese luz.	Ummangay siya ten sadili na a banuwan, peru awan siya tinanggap nen kabanuwan na hidi.
JHN_001_0012	Y ese luz amo gayot el deverasan luz que ya llega na mundo para alumbra el maga entendimiento del maga gente.	Peru en atanan a nangtanggap sakay summampalataya dikona ay intdenan na ti karapatan a magin anak nen Diyos.
JHN_001_0013	Entonces ese Palabra ta llama tamen el Luz, ya llega ya na mundo.	Nagin anak ngani hidi nen Diyos bakn a ten pamamag-itan nen pisikal a kkkeenak oni gapu ten kagustuwan nen tolay, nan gapu ten kaluuban nen Diyos.
JHN_001_0014	Pero masquin Dios man ya hace este mundo por medio di suyo, ese mismo maga gente que Dios ya crea nuay conoce con ele.	En Upos ay nagin tolay sakay nkpgyan dikomi.
JHN_001_0015	Ya llega le na di suyo mismo lugar de Israel, pero el maga ciudadano alla nuay recibi con ele.	Netan mi en kaluwalhatian na bilang bugtung a anak nen Ama.
JHN_001_0016	Pero tiene di ila ya recibi y ya cree tamen con ele, y con esos maga gente ya dale le el derecho para queda el maga anak de Dios.	Putat siya ti kabaitan sakay katutuhanan.
JHN_001_0017	Cuando ya queda sila anak de Dios, hende ese por causa del di ila nacimiento natural, sino Dios mismo ya queda el di ila verdadero tata.	Impahayag siya ni Juan, sakay impkraw na ten tolay hidi a, Siya en kinagi ku dikomoy a, En dumemt a kasunud ku ay mataas nan sikn, gapu baguwk a neenak ay ked dn siya.
JHN_001_0018	Aquel Palabra ya queda un carne humano y ya vivi le junto canaton, y tiene le gran compasion y el entero vida di suyo verdad gayot.	Gapu putat siya ti pgmahal, ay naranasan tam a atanan en tulos-tulos a pagpapala.
JHN_001_0019	Y ya mira came el di suyo poder que ya recibi le cay ele el unico Hijo del Padre Celestial.	Neatd dikomi en Kautusan nen Diyos ten pamamag-itan ni Moises, peru en kabaitan sakay katutuhanan ay neatd ten pamamag-itan ni Jesu-Cristo.
JHN_001_0020	Cuando si Juan ta predica, ta habla le acerca del Hijo, y este el cosa ya habla le, Ele ya amo aquel que ya habla yo con ustedes, que de vene despues di mio.	Maski nikan ay awan palla ti naketa ten Diyos.
JHN_001_0021	Y ele amo el mas importante que conmigo, cay ele ta existi ya man antes pa que conmigo.	Peru impakilala siya nen bugtung a Anak a tunay a kasayaan nen Ama.
JHN_001_0022	Por causa del abundancia del di suyo lastima, todo kita ya recibi el di suyo gran favor, y ta continua le dale canaton ese gran favor.	Inutusan nen pinunu hidi nen Judio hidi ti Jerusalem en sangan a padi sakay Levita a itanung knni Juan ni deya siya.
JHN_001_0023	Dios ya dale el ley con el maga Judio por medio di Moises, pero el maga gente ta puede recibi el gran favor y verdad de Dios por medio di Jesucristo.	Intapat a kinagi ni Juan dikodi, Bakn a sikn en Cristo.
