id	book	chapter	sentence_no	source_text	target_text
JHN_001_1	JHN	001	1	Y ya pregunta ya tamen sila con ele, Uste ba el profeta que Dios ya promete para manda con el di aton nacion?	Kag nagpangutana pa gid sinda, Ikaw ba ang propeta nga magaabot?
JHN_001_1	JHN	001	1	Si Jesus ya bira cara y ya mira le con ese dos quien ta sigui con ele, y ya pregunta le canila, Cosa man ustedes ta busca?	Naglingig si Hesus kag nakit niya nga nagasunod sinda, ngan nagpangutana siya, Ano ang indo kahinangyan?
JHN_001_1	JHN	001	1	Junto ya le con Dios desde el principio gayot de todo las cosas.	Kaibahan siya ng Dios bago pa magtun ang tanan.
JHN_001_1	JHN	001	1	Y por medio de ese Palabra, Dios ya crea todo las cosas. Nuay nada ya queda creao si hende por medio de aquel Palabra.	Ang tanan nga butang nahuman paagi sa iya kag way mahuman ang mga nahuman kung bukon siya.
JHN_001_1	JHN	001	1	El vida de todo ya sale con ele, y este vida di suyo igual como el luz que ta dale claridad na pensamiento del maga gente.	Siya ang ginghalinan ng matuod nga kabuh. Ini nga kabuh hay kahayag. Paagi diri, maiintindihan ng mga tawo ang kamatuuran.
JHN_001_1	JHN	001	1	Este luz ta alumbra con el oscuridad, y el oscuridad no puede gana con ese luz.	Siya hay nagahayag pareho ng iwag sa kaduyom kag way gid napeperdi ng kaduyom ang kahayag.
JHN_001_1	JHN	001	1	Tiene un gente con quien Dios ya manda aqui na mundo, y su nombre si Juan.	Igwa ning tawo nga ang pangayan hay Juan nga gingsug ng Dios.
JHN_001_1	JHN	001	1	Despues ya pregunta sila otra vez, Entonces, quien man gayot uste?	Ngan gingpangutana pa gid ninda siya, Sin-o ka gid gal?
JHN_001_1	JHN	001	1	Si Juan hende aquel luz, sino Dios ya manda con ele aqui na mundo para habla acerca de ese luz.	Bukon si Juan ang kahayag, pero gingsug siya para magpamatuod parti sa ini nga kahayag.
JHN_001_1	JHN	001	1	Y ese luz amo gayot el deverasan luz que ya llega na mundo para alumbra el maga entendimiento del maga gente.	Si Hesus ang matuod nga kahayag nga nagaabot sa kalibutan para mahayagan ang mga tawo agud maintindihan ang kamatuuran.
JHN_001_1	JHN	001	1	Entonces ese Palabra ta llama tamen el Luz, ya llega ya na mundo. Pero masquin Dios man ya hace este mundo por medio di suyo, ese mismo maga gente que Dios ya crea nuay conoce con ele.	Nag-abot gid siya sa kalibutan, pero aber natuga ang kalibutan paagi sa iya, way siya gingkilay-a ng mga tawo kung sin-o siya.
JHN_001_1	JHN	001	1	Ya llega le na di suyo mismo lugar de Israel, pero el maga ciudadano alla nuay recibi con ele.	Nagkari siya sa kaugalingon niya nga nasyon, pero way siya gingbatuna ng kadamuan.
JHN_001_1	JHN	001	1	Pero tiene di ila ya recibi y ya cree tamen con ele, y con esos maga gente ya dale le el derecho para queda el maga anak de Dios.	Pero ang tanan nga nagbaton kag nagtuo sa iya hay gingtaw-an niya ning pribilihiyo nga maging mga ung ng Dios.
JHN_001_1	JHN	001	1	Cuando ya queda sila anak de Dios, hende ese por causa del di ila nacimiento natural, sino Dios mismo ya queda el di ila verdadero tata.	Nahuman sinda nga mga ung ng Dios bukon paagi sa tawhanon, o sa kagustuhan ng lawas, o sa kagustuhan ng mag-asawa, kund paagi sa kabubut-on ng Dios.
JHN_001_1	JHN	001	1	Aquel Palabra ya queda un carne humano y ya vivi le junto canaton, y tiene le gran compasion y el entero vida di suyo verdad gayot.	Ang ginatawag nga Hambay, siya hay naging tawo kag nag-istar diri sa kalibutan kaibahan naton. Maluluy-on gid siya kag matuod gid ang tanan nga iya ginahambay.
JHN_001_1	JHN	001	1	Ya contesta si Jesus con ele, Ay! Antes de llamar si Felipe contigo, ya mira ya yo contigo cuando talla pa tu abajo del ponoy higuera.	Kag hambay pa gid ni Hesus sa inda, Sa matuod lang ginahambay ko sa indo, makikit nindo ang langit nga bukas kag ang mga anghel ng Dios nga nagasinak kag nagapinanaog paagi sa akon nga Ung ng Tawo.
JHN_001_1	JHN	001	1	Cuando si Juan ta predica, ta habla le acerca del Hijo, y este el cosa ya habla le, Ele ya amo aquel que ya habla yo con ustedes, que de vene despues di mio.	Nagpamatuod si Juan sa mga tawo, Imaw ini ang akon gusto hambayon nang ginghambay ko, May isa ka tawo nga kasunod ko nga maabot.
JHN_001_1	JHN	001	1	Ya pregunta si Nataniel con ele, Paquemodo man uste conoce conmigo?	Naghambay si Hesus, Nagatuo ka kay ginghambay ko nga nakit ko ikaw sa idayom ng pun ng igos. Pero mas makatitingaya pa ang mga butang kaysa diri ang imo makikit.
