id	source_text	target_text
JHN_001_0001	verse<TAB>content	verse<TAB>content
JHN_001_0002	001<TAB>Antes pa del creacion del mundo, ta existi ya el quien ta llama el Palabra.	001<TAB>No kaji na pa amaogan no karawan am amyan rana o Ciring ni Ama ta do to.
JHN_001_0003	001<TAB>Este Palabra amo el quien ta expresa todo el pensamiento de Dios.	001<TAB>O Ciring rana am macilovot ji Ama ta do to.
JHN_001_0004	001<TAB>Este Palabra junto con Dios y igual tamen con ele.	001<TAB>O Ciring am manoyong a Tao do to.
JHN_001_0005	002<TAB>Junto ya le con Dios desde el principio gayot de todo las cosas.	002<TAB>Nimakalapo no kakwa o kapacilovot no Ciring eya ji Ama ta do to.
JHN_001_0006	003<TAB>Y por medio de ese Palabra, Dios ya crea todo las cosas.	003<TAB>Ciring o nyamaog na ni Ama ta do to so makakaday.
JHN_001_0007	003<TAB>Nuay nada ya queda creao si hende por medio de aquel Palabra.	003<TAB>So ikabo no asa ka maoran no karawan a ji na nyamaog no Ciring eya.
JHN_001_0008	004<TAB>El vida de todo ya sale con ele, y este vida di suyo igual como el luz que ta dale claridad na pensamiento del maga gente.	004<TAB>O Ciring ni Ama ta do to am ori o yapwan no inawan no tao.
JHN_001_0009	005<TAB>Este luz ta alumbra con el oscuridad, y el oscuridad no puede gana con ese luz.	004<TAB>O inawan rana am zezngang a ikavyay no tao.
JHN_001_0010	006<TAB>Tiene un gente con quien Dios ya manda aqui na mundo, y su nombre si Juan.	005<TAB>O zezak am cirain na o kasarisaryan.
JHN_001_0011	007<TAB>Ya vene le para habla con el maga gente acerca de ese luz, para todo el maga gente ay puede tene el oportunidad para cree con ese por medio del mensaje di Juan.	005<TAB>So ji na makahespi so mazngang no masari.
JHN_001_0012	008<TAB>Si Juan hende aquel luz, sino Dios ya manda con ele aqui na mundo para habla acerca de ese luz.	006<TAB>O meyngaran so Yowani a tao am nitovoy na ni Ama ta do to a lamlamsoy na.
JHN_001_0013	009<TAB>Y ese luz amo gayot el deverasan luz que ya llega na mundo para alumbra el maga entendimiento del maga gente.	007<TAB>Iya rana am ipanci na do tao o zezngang a kamimin no tao a makamizing sya kapanganoyong da rana.
JHN_001_0014	010<TAB>Entonces ese Palabra ta llama tamen el Luz, ya llega ya na mundo.	008<TAB>Am beken a iya ori o zezak ang, ta o kapangnanao na no zezak ang.
JHN_001_0015	010<TAB>Pero masquin Dios man ya hace este mundo por medio di suyo, ese mismo maga gente que Dios ya crea nuay conoce con ele.	009<TAB>O zezak rana am manoyong a zezngang apo do teyngato a tomiray so tao do karawan.
JHN_001_0016	011<TAB>Ya llega le na di suyo mismo lugar de Israel, pero el maga ciudadano alla nuay recibi con ele.	010<TAB>O Ciring rana am amyan rana do karawan a nipangamaog na ni Ama ta do to so karawan.
JHN_001_0017	012<TAB>Pero tiene di ila ya recibi y ya cree tamen con ele, y con esos maga gente ya dale le el derecho para queda el maga anak de Dios.	010<TAB>Am kaji da makatenngan jya no tao do karawan.
JHN_001_0018	013<TAB>Cuando ya queda sila anak de Dios, hende ese por causa del di ila nacimiento natural, sino Dios mismo ya queda el di ila verdadero tata.	011<TAB>Mangay do pacikeylyan na am to da nazibwan no tao do dang.
JHN_001_0019	014<TAB>Aquel Palabra ya queda un carne humano y ya vivi le junto canaton, y tiene le gran compasion y el entero vida di suyo verdad gayot.	012<TAB>Sira rana ji nazibo nya tao a kano omanoyong jya tao am abneken na sira akma ney anak ni Ama ta do to.
JHN_001_0020	014<TAB>Y ya mira came el di suyo poder que ya recibi le cay ele el unico Hijo del Padre Celestial.	013<TAB>Am beken a meyngongyod sira ori a nimapodpod so kataotao ji Ama ta do to, ta omaing do kanoyong da ji Ama ta do to.
JHN_001_0021	015<TAB>Cuando si Juan ta predica, ta habla le acerca del Hijo, y este el cosa ya habla le, Ele ya amo aquel que ya habla yo con ustedes, que de vene despues di mio.	013<TAB>Am ori o abnekan na sira akma ney anak.
JHN_001_0022	015<TAB>Y ele amo el mas importante que conmigo, cay ele ta existi ya man antes pa que conmigo.	014<TAB>So nipeyvaliw no Ciring a tao a macikaop jyaten a tey rako so pangangarilawan a tey manoyong.
JHN_001_0023	016<TAB>Por causa del abundancia del di suyo lastima, todo kita ya recibi el di suyo gran favor, y ta continua le dale canaton ese gran favor.	014<TAB>So nipakacittan namen rana so azwazway na.
JHN_001_0024	017<TAB>Dios ya dale el ley con el maga Judio por medio di Moises, pero el maga gente ta puede recibi el gran favor y verdad de Dios por medio di Jesucristo.	014<TAB>So ikanoyong na abo so ikararwa angayan no azwazway.
