id	source_text	target_text
EXO_001_0001	Mao kini ang mga anak nga lalaki ni Jacob nga mikuyog kaniya uban ang ilang tagsatagsa ka banay sa pag-adto niya sa Ehipto Si Ruben, si Simeon, si Levi, si Juda, si Isacar, si Zabulon, si Benjamin, si Dan, si Neftali, si Gad ug si Aser.	Dagitoy ti nagan dagiti annak ni Jacob a kimmuyog kenkuana a napan idiay Egipto agraman dagiti familiada Ruben, Simeon, Levi, Juda, Issacar, Zabulon, Benjamin, Dan, Neftali, Gad ken Aser.
EXO_001_0002	Ang tanang kaliwat ni Jacob miabot ug 70.	Pitopulo ti dagup dagiti annak a nagtaud ken ni Jacob.
EXO_001_0003	Niadtong higayona didto na si Jose sa Ehipto.	Adda idin ni Jose nga anakna idiay Egipto.
EXO_001_0004	Unya namatay si Jose ug ang iyang mga igsoon ingon man ang tanan niadtong kaliwatana.	Natay sadiay ni Jose, kasta met amin a kakabsatna ken amin daydi a kaputotan.
EXO_001_0005	Apan midaghan ug nahimong gamhanan ang mga Israelita ug nalukop ang Ehipto kanila.	Nupay kasta, napardas ti panagadu dagiti Israelita, isu a pimmigsada ket nagwaras dagiti kaputotanda iti entero nga Egipto.
EXO_001_0006	Unya may bag-ong hari sa Ehipto nga wala masayod bahin kang Jose.	Naglabas ti tiempo.
EXO_001_0007	Miingon siya sa iyang katawhan, Tan-awa ninyo, daghan na kaayo ang mga Israelita ug mas gamhanan na sila kay kanato.	Nagturay idiay Egipto ti baro nga ari nga awan ti ammona maipapan ken ni Jose.
EXO_001_0008	Busa mangita kitag paagi aron dili magkadugang ang ilang gidaghanon kay tingali unyag sa panahon sa gubat motipon sila sa atong mga kaaway ug makigbatok kanato ug unya mobiya sa nasod.	Kitaenyo, kinuna ti ari kadagiti iturayanna.
EXO_001_0009	Busa gibutangan nilag mga kapatas ang mga Israelita aron pugson sila sa pagpatrabaho sa bug-at nga buluhaton.	Agpeggadtayo ta nakaad-adu ken nabileg unayen dagiti Israelita.
EXO_001_0010	Gitukod sa mga Israelita alang sa hari sa Ehipto ang mga siyudad sa Pitom ug Rameses aron himoong tigomanan sa mga pagkaon.	Masapul nga agaramidtayo iti pamuspusan tapno malapdan ti panagaduda.
EXO_001_0011	Apan sa diha nga mas gidaugdaog sila sa mga Ehiptohanon, misamot hinuog kadaghan ang mga Israelita ug nakatag pag-ayo sa nasod, maoy hinungdan nga nangahadlok ang mga Ehiptohanon.	Ta no adda gubat, amangan no kumapponda kadagiti kabusor a manggubat kadatayo, ket aglibasda a pumanaw iti dagatayo.
EXO_001_0012	Busa giulipon sila sa mga Ehiptohanon ug gipaantos sa bug-at nga trabaho.	Iti kasta, nangdutokda kadagiti narungsot a kapatas a mangparigat kadagiti Israelita nga agtrabaho iti nadagdagsen pay ngem iti sigud nga ar-aramidenda.
EXO_001_0013	Gilisudlisod sila pag-ayo sa ilang pagpuyo pinaagi sa paghimo kanila nga tighimog tisa ug gipatrabaho sila sa tanang matang sa lisod nga trabaho sa walay kukaluoy.	Binangon dagiti Israelita ti Pitom ken Rameses, dua a siudad a pagidulinan iti makan.
