id	source_text	target_text
EXO_001_0001	verse<TAB>content	verse<TAB>content
EXO_001_0002	001<TAB>Mao kini ang mga anak nga lalaki ni Jacob nga mikuyog kaniya uban ang ilang tagsatagsa ka banay sa pag-adto niya sa Ehipto	001<TAB>Oreti ding lagyu da ring anak nang lalaking Jacob a minta karin Ehipto a kayabe na at ding pamilya ra
EXO_001_0003	002<TAB>Si Ruben, si Simeon, si Levi, si Juda,	002<TAB>i Ruben, Simeon, Levi, Juda,
EXO_001_0004	003<TAB>si Isacar, si Zabulon, si Benjamin,	003<TAB>Isacar, Zebulun, Benjamin,
EXO_001_0005	004<TAB>si Dan, si Neftali, si Gad ug si Aser.	004<TAB>Dan, Neftali, Gad ampon i Aser.
EXO_001_0006	005<TAB>Ang tanang kaliwat ni Jacob miabot ug 70.	005<TAB>Pitu lang pulu kabilangan ding heganaganang lahi nang Jacob.
EXO_001_0007	005<TAB>Niadtong higayona didto na si Jose sa Ehipto.	005<TAB>Atyu ne kanita i Jose karin Ehipto.
EXO_001_0008	006<TAB>Unya namatay si Jose ug ang iyang mga igsoon ingon man ang tanan niadtong kaliwatana.	006<TAB>Kaybat na nita, mete ya i Jose at ding sabla nang kapatad ampon ding anak da ring anak da.
EXO_001_0009	007<TAB>Apan midaghan ug nahimong gamhanan ang mga Israelita ug nalukop ang Ehipto kanila.	007<TAB>Oneng menganak la ding Israelita a lahi da at merakal na lang merakal; mabilis lang merakal at tutung masikan angga king milaganapan ya karela ing Ehipto.
EXO_001_0010	008<TAB>Unya may bag-ong hari sa Ehipto nga wala masayod bahin kang Jose.	008<TAB>Linabas ing panaun at ing Ehipto mika bayu yang ari a ala nang bitasang balu tungkul kang Jose.
EXO_001_0011	009<TAB>Miingon siya sa iyang katawhan, Tan-awa ninyo, daghan na kaayo ang mga Israelita ug mas gamhanan na sila kay kanato.	009<TAB>Nganang sinabi karing sasakupan na, Lawan yu, mas dakal la at masikan kesa kekatamu deting Israelita.
EXO_001_0012	010<TAB>Busa mangita kitag paagi aron dili magkadugang ang ilang gidaghanon kay tingali unyag sa panahon sa gubat motipon sila sa atong mga kaaway ug makigbatok kanato ug unya mobiya sa nasod.	010<TAB>Nung sakaling lusuban da katamu ding kalaban pota makikampi la pa karela at kaybat takasan de ing bansa tamu.
EXO_001_0013	011<TAB>Busa gibutangan nilag mga kapatas ang mga Israelita aron pugson sila sa pagpatrabaho sa bug-at nga buluhaton.	010<TAB>Inya kailangan tamung lumawe paralan ban e na la dakal pa.
EXO_001_0014	011<TAB>Gitukod sa mga Israelita alang sa hari sa Ehipto ang mga siyudad sa Pitom ug Rameses aron himoong tigomanan sa mga pagkaon.	011<TAB>Inya mibili lang kapatas karing Israelita ban pasakitan da la king kapamilatan na ning mabayat a obra.
EXO_001_0015	012<TAB>Apan sa diha nga mas gidaugdaog sila sa mga Ehiptohanon, misamot hinuog kadaghan ang mga Israelita ug nakatag pag-ayo sa nasod, maoy hinungdan nga nangahadlok ang mga Ehiptohanon.	011<TAB>Makanyan lang mengapuersa ding Israelita king pamitalakad karing siudad ning Pitom at Rameses a pipagponduan nang kabiayan at kagamitan ning ari.
EXO_001_0016	013<TAB>Busa giulipon sila sa mga Ehiptohanon ug gipaantos sa bug-at nga trabaho.	012<TAB>Oneng kabang pasakitan da la ring Israelita kanita la lalung merakal at mikalat.
EXO_001_0017	014<TAB>Gilisudlisod sila pag-ayo sa ilang pagpuyo pinaagi sa paghimo kanila nga tighimog tisa ug gipatrabaho sila sa tanang matang sa lisod nga trabaho sa walay kukaluoy.	012<TAB>Makanyan lang mitakutan ding tau Ehipto karing Israelita.
EXO_001_0018	015<TAB>Unya giingnan sa hari sa Ehipto si Sipra ug si Pua, ang mga mananabang nga Hebreo,	013<TAB>Inya lalu da la pang inalipusta.
EXO_001_0019	016<TAB>Inigpanabang ninyo sa mga babayeng Hebreo, patya ang bata kon lalaki apan kon babaye, tugoti nga mabuhi.	014<TAB>At alang lunus da lang pepagawan laryu at binie da karela ing sablang mabayat a obra king marangle.
EXO_001_0020	017<TAB>Apan nahadlok sa Dios ang mga mananabang busa wala nila tumana ang gisugo sa hari.	015<TAB>Misan a aldo, pekisabian na la ning ari na ning Ehipto di Sipra at Pua, ding aduang ilut a papanganak karing babaing Hebreo.
EXO_001_0021	017<TAB>Gitugotan hinuon nila nga mabuhi ang mga batang lalaki.	016<TAB>Ngana karela, Potang papanganak kayu, kabud akit yu king ing anak a mibait lalaki ya, paten ye.
EXO_001_0022	018<TAB>Unya gipatawag sila sa hari ug gipangutana, Nganong wala man ninyo patya ang mga batang lalaki?	016<TAB>Nung babai ya paburen yeng mie.
EXO_001_0023	019<TAB>Mitubag sila, Ang mga babayeng Hebreo dili sama sa mga babayeng Ehiptohanon.	017<TAB>Oneng ding ilut, uli na ning takut da king Dios, e ra pemintuan ing utus na ning ari.
EXO_001_0024	019<TAB>Dali kaayo silang manganak ug mahimugso na ang bata sa dili pa kami moabot.	017<TAB>E da la pete ding anak a lalaking mibait.
EXO_001_0025	020<TAB>Tungod kay ang mga mananabang mahadlokon man sa Dios, ang Dios naluoy kanila ug gihatagan silag mga anak.	018<TAB>Inya pepayaus na la ning ari ning Ehipto at ngana karela, Obat makanyan ing depat yu?
EXO_001_0026	020<TAB>Ug ang mga Israelita nagpadayon sa pagsanay ug nahimong gamhanan.	018<TAB>Obat pepaburen yu lang mebie ding anak a lalaki?
EXO_001_0027	021<TAB>Unya gisugo sa hari sa Ehipto ang tanan niyang katawhan: Itambog ngadto sa Suba sa Nilo ang tanang batang lalaki nga Hebreo nga bag-ong natawo apan ayaw iapil ang mga batang babaye.	019<TAB>Ngarang mekibat ding ilut king ari, Kasi pu deng babaing Hebreo e ra la pu kalupa ding babai tamu keti Ehipto; e la pu magkasakit manganak at akakua rang makapanganak bayu na akuang datang ning ninuman kekami.
