id	book	chapter	sentence_no	source_text	target_text
EXO_001_1	EXO	001	1	Pitopulo ti dagup dagiti annak a nagtaud ken ni Jacob.	Ang kadamuon sang mga kaliwat ni Jacob setenta tanan.
EXO_001_1	EXO	001	1	Iti kasta, nangdutokda kadagiti narungsot a kapatas a mangparigat kadagiti Israelita nga agtrabaho iti nadagdagsen pay ngem iti sigud nga ar-aramidenda.	Gani ginbutangan sila sing mga mapintas nga mga kabo sa pagpaobra sa ila sing pataypatay agod magluya sila.
EXO_001_1	EXO	001	1	Naranggas ti panangtagabuda kadagiti Israelita.	Gani mapintas nga gin-ulipon nila ang mga Israelinhon,
EXO_001_1	EXO	001	1	Rimmigat ti biagda. Pinilitda ida nga agtrabaho kadagiti talonda ken agipasdek kadagiti patakderda.	kag ginpabudlay ang ila pagkabuhi paagi sa pagpaobra sa ila sa lunang kag sa tisa, kag sang tanan nga sahi sang obra sa uma.
EXO_001_1	EXO	001	1	Gapu ta managbuteng dagiti partera iti Dios, binendisionanna dagitoy, ket naikkanda iti bukodda a familia.	Bangod kay nagakahadlok ang mga paltera sa Dios, ang Dios nagmaayo sa ila kag ginhatagan niya sila sang ila kaugalingon nga mga panimalay kag nagdamo nga nagdamo ang mga Israelinhon, kag nangingamhanan sila.
EXO_001_1	EXO	001	1	Maysa kadagitoy a partera ti agnagan iti Zifra ket Pua ti nagan met ti sabali.	Nagsiling ang hari, Kon nagapabata kamo sang Hebreo nga mga babayi amo ini ang inyo pagahimuon: kon ang lapsag lalaki, patyon ninyo; pero kon babayi ini, pabayai lang nga mabuhi.
EXO_001_1	EXO	001	1	Naglabas ti tiempo. Nagturay idiay Egipto ti baro nga ari nga awan ti ammona maipapan ken ni Jose.	Karon may isa ka bag-o nga hari nga naggahom sa Ehipto. Wala sia makakilala kay Jose.
EXO_001_1	EXO	001	1	Pinaayaban ngarud ti ari dagiti partera. Sinaludsodna, Apay a kasta ti ar-aramidenyo? Apay a palpalubosanyo nga agbiag dagiti lallaki a maladaga?	Gani ginpatawag sang hari ang mga paltera kag ginpamangkot, Ngaa bala nga ginhimo ninyo ini kag ginpabay-an nga mabuhi ang mga lapsag nga lalaki?
EXO_001_1	EXO	001	1	Dagitoy ti nagan dagiti annak ni Jacob a kimmuyog kenkuana a napan idiay Egipto agraman dagiti familiada	Amo ini ang mga ngalan sang mga anak nga lalaki ni Jacob nga nagkadto sa Ehipto upod sa iya, ang tagsatagsa upod sa iya panimalay. Sila amo sanday
EXO_001_1	EXO	001	1	Ngem managbuteng dagiti partera iti Dios ket saanda a tinungpal ti bilin ti ari.	Pero ang mga paltera wala magtuman sa hari kay nahadlok sila sa Dios.
EXO_001_1	EXO	001	1	Nupay kasta, napardas ti panagadu dagiti Israelita, isu a pimmigsada ket nagwaras dagiti kaputotanda iti entero nga Egipto.	Pero ang mga kaliwat ni Israel may madamo nga mga kaanakan, nagmuad gid sila kag nagmabakod, sa bagay nga naglapnag sila sa duta sang Ehipto.
EXO_001_1	EXO	001	1	Kitaenyo, kinuna ti ari kadagiti iturayanna. Agpeggadtayo ta nakaad-adu ken nabileg unayen dagiti Israelita.	Ang hari nagsiling sa iya mga ginsakpan, Tan-awa ninyo, ini nga mga tawo nga Israelinhon nagadamo kag nagabakod, kag nabutang kita sa katalagman.
EXO_001_1	EXO	001	1	Ngem no kasano ti panangparparigat dagiti Egipcio kadakuada, immad-aduda ketdi ket nagwarasda.	Pero sa nagadugang ang pagpigos sang mga Ehiptohanon sa mga Israelinhon, tapat pa gani nga nagadamo kag nagalapnag sila.
EXO_001_1	EXO	001	1	Natay sadiay ni Jose, kasta met amin a kakabsatna ken amin daydi a kaputotan.	Sang ulihi si Jose kag ang iya mga utod nga lalaki nagkalamatay, subong man yadtong bug-os nga henerasyon.
EXO_001_1	EXO	001	1	Kinasao ti ari ti Egipto dagiti partera a Hebreo ket imbilinna kadakuada, No paanakenyo dagiti Hebreo, patayenyo ti maladaga no lalaki.	Dayon ang hari sang Ehipto naghambal sa mga paltera nga nagapabata sa mga babayi nga mga Hebreo.
EXO_001_1	EXO	001	1	Immad-adu ken bimmilbileg dagiti Israelita.	Dayon ang hari nagmando sa tanan niya nga mga ginsakpan: Ihaboy ninyo sa Suba sang Nilo ang tagsa ka bata nga lalaki nga matawo sa mga Hebreo, pero pabay-i lang ninyo ang mga bata nga babayi nga mabuhi.
EXO_001_1	EXO	001	1	Ruben, Simeon, Levi, Juda,	Ruben, Simeon, Levi, Juda,
EXO_001_1	EXO	001	1	Issacar, Zabulon, Benjamin,	Isacar, Zabulon, Benjamin,
EXO_001_1	EXO	001	1	Dan, Neftali, Gad ken Aser.	Dan, Neftali, Gad, kag Aser.
EXO_001_1	EXO	001	1	Sabali ngamin dagiti babbai a Hebreo, apo, insungbatda. Saanda a kas kadagiti babbai nga Egipcio. Nalakada nga aganak. Sakbay nga adda sumangpet a partera, naipasngayen ti ubing.	Nagsabat sila, Ang mga babayi nga Hebreo indi pareho sang mga babayi nga Ehiptohanon; mahapos sila magbata nga sa wala pa gani kami makaabot nakabata na sila.
EXO_001_1	EXO	001	1	Masapul nga agaramidtayo iti pamuspusan tapno malapdan ti panagaduda.	Karon pamatii ninyo! Pangitaan naton sang paagi nga indi na gid sila magdamo.
EXO_001_2	EXO	001	2	Isut' gapuna a kinabuteng ida dagiti Egipcio.	Ang mga Ehiptohanon nagkahadlok sa mga Israelinhon.
EXO_001_2	EXO	001	2	Adda idin ni Jose nga anakna idiay Egipto.	Si Jose nga iya anak didto na nga daan sa Ehipto.
EXO_001_2	EXO	001	2	Ta no adda gubat, amangan no kumapponda kadagiti kabusor a manggubat kadatayo, ket aglibasda a pumanaw iti dagatayo.	Kay kon may inaway, basi magdampig sila sa aton mga kaaway sa pag-away batok sa aton, kag magpalagyo sila sa aton pungsod.
EXO_001_2	EXO	001	2	Binay-anda nga agbiag dagiti maladaga a lallaki.	Sa baylo ginpabay-an nila nga mabuhi ang mga lapsag nga lalaki.
EXO_001_2	EXO	001	2	Ngem no babai, bay-anyo nga agbiag.	Ang isa ginhingalanan kay Sipra kag ang isa kay Pua.
EXO_001_2	EXO	001	2	Dida naasian kadakuada.	Ginpilit nila sila sa paghimo sang tanan nga mabug-at nga mga obra.
EXO_001_2	EXO	001	2	Binangon dagiti Israelita ti Pitom ken Rameses, dua a siudad a pagidulinan iti makan.	Ang mga Israelinhon nagpatindog sang mga siudad sang Pitom kag Rameses para sa hari nga pagatipunan nila sing mga pagkaon.
EXO_002_1	EXO	002	1	Kinunada, Adda dagiti agpaspastor a nangpapanaw kadakami iti pagpainuman. Ngem tinulongannakami ti maysa nga Egipcio. Insakduannakami ken pinainumna pay dagiti animal.	Nagbata sia sing lalaki kag ginhingalanan ni Moises ang bata kay Gersom, kay nagsiling sia sa iya kaugalingon, Dumoluong ako diri sa sini nga duta.
EXO_002_1	EXO	002	1	Inwaras ni Moises ti panagkitana ket idi awan makitana a sabali a tao, pinatayna ti Egipcio sana inkali ti bangkay iti kadaratan.	Sang madason nga adlaw nagbalik sia, kag iya na man nakita ang duha ka mga Hebreo nga nagaaway. Nagsiling sia sa isa nga nakahimo sing sayop, Ngaa bala ginasakit mo ang kapareho mo nga Hebreo?
EXO_002_1	EXO	002	1	Iti maysa nga aldaw, idi maysan nga agtutubo ni Moises, sinarungkaranna dagiti kadaraanna a Hebreo. Naimatanganna ti pannakaparparigatda. Nadagsen ti trabahoda. Nakitana ti maysa nga Egipcio a mangkabkabil iti maysa a Hebreo.	Nagpanghulonghulong sia, kag sang wala sia sing may nakita, ginpatay niya ang Ehiptohanon kag iya ginlubong ang bangkay sa balas.
EXO_002_1	EXO	002	1	Idi makadakkel bassit ti ubing, impanna iti prinsesa a nangibilang iti ubing a kas anakna.	Isa sadto ka adlaw, sang daku na si Moises, nagduaw sia sa iya mga kasimanwa nga Hebreo, kag iya nakita kon daw ano ang pagpilit sa ila sa paghimo sang mabug-at nga mga obra.
EXO_002_1	EXO	002	1	Innala ti ina ti maladaga ket tinagibina.	Sang magdakudaku na ang bata, gindala niya ini sa anak sang hari kag gin-ayop niya ini subong nga iya anak. Nagsiling ang anak sang hari, Ginkuha ko sia sa tubig, gani hingalanan ko sia kay Moises.
EXO_002_1	EXO	002	1	Kinuna ti anak ti ari iti ina, Alaem daytoy nga ubing.	Ang anak sang hari nagsiling sa iya, Dalha ini nga bata kag saguron mo sia para sa akon, kay suholan ko ikaw.
EXO_002_1	EXO	002	1	Sige, isapulannak, insungbatna.	Nagsabat sia, Lakat ka.
