id	book	chapter	sentence_no	source_text	target_text
JHN_001_1	JHN	001	1	Nagapakadi siya kasunod ko, kay mas labaw pa siya sa akon, dili ako angay bisan maghubad san sintas san iya sandalyas.	Siya ang ginahambay ko nga maabot masunod sa akon. Kag ind gid ako angay aber magbaskad ng higot ng iya sandalyas.
JHN_001_1	JHN	001	1	Nagsabi si Juan san makita niya na nagalabay si Jesus, Kitaa!	nakit niya si Hesus nga nagaagi.
JHN_001_1	JHN	001	1	Pan-o ka nakaaram sa akon? an hunga ni Nataniel.	Kag hambay pa gid ni Hesus sa inda, Sa matuod lang ginahambay ko sa indo, makikit nindo ang langit nga bukas kag ang mga anghel ng Dios nga nagasinak kag nagapinanaog paagi sa akon nga Ung ng Tawo.
JHN_001_1	JHN	001	1	Pakakita ni Jesus na nagatulos si Nataniel, nagsabi siya, Kitaa siya na tunay na Israelita kay waran kabuwaan sa iya.	Naghambay si Hesus, Nagatuo ka kay ginghambay ko nga nakit ko ikaw sa idayom ng pun ng igos. Pero mas makatitingaya pa ang mga butang kaysa diri ang imo makikit.
JHN_001_1	JHN	001	1	Kadi baya kag kitaa, an sabat naman ni Felipe.	Naghambay si Natanael, Maestro, ikaw gida ang Ung ng Dios! Ikaw ang Har ng Israel nga amon ginahuyat!
JHN_001_1	JHN	001	1	Taga-Nazaret? Nano, may maayo pa na nagahali sana na lugar?	Nagpangutana si Natanael, Pauno mo ako nakilaya?
JHN_001_1	JHN	001	1	Tapos pakahanap naman ni Felipe kan Nataniel sinumatan, Nataniel, naagihan na namon siya na ginsurat ni Moises sa libro na may Kasuguan kag ginsurat man san mga propeta. Siya si Jesus an anak ni Jose na taga-Nazaret.	Pagkakit ni Hesus kay Natanael nga nagapalapit sa iya, hambay ni Hesus, Sirua, yari ang matuod nga Israelita, nga bukon maday.
JHN_001_1	JHN	001	1	Ini si Felipe taga-Betsaida kag kahilungsod ninda Andres kag Pedro.	Naghambay si Natanael, Nazaret! Igwa ba ar ning maayo nga magahalin didto? Sabat naman ni Felipe, Nunot anay sa akon agud makit mo.
JHN_001_1	JHN	001	1	Pagkasunod na adlaw nakaisip pagkadto si Jesus sa Galilea.	Gingpangit ni Felipe si Natanael kag ginghambayan niya, Nakit na namon ang tawo nga ginghambay sa Kasuguan ni Moises kag sa mga gingsulat ng mga propeta.
JHN_001_1	JHN	001	1	Tinurok si Pedro ni Jesus kag sinabihan, Ah, ikaw gali si Simon na anak ni Juan. Pagangaranan ka sin Cefas, ini pareho san ngaran na Pedro na an gusto sabihon, bato.	Si Felipe hay taga-Betsaida, nga banwa da nina Andres kag Pedro.
JHN_001_1	JHN	001	1	Pakatapos, gin-upod niya siya kan Jesus.	Nang masunod nga adlaw nagdesisyon si Hesus nga magkadto sa lugar ng Galilea. Didto nakit niya si Felipe kag ginghambayan niya, Magsunod ka agud maging disipulo ko.
JHN_001_1	JHN	001	1	Ginhanap dayon niya an iya kamanghod kag sinabihan, Naagihan na namon an Mesias na an gusto sabihon, Cristo.	Kag gingdaya niya si Simon kay Hesus. Gingsir siya ni Hesus kag ginghambay, Ikaw si Simon nga ung ni Juan. Pero niyan pagatawagon ka nga Cefas. Ang Cefas hay pareho da sa pangayan nga Pedro.
JHN_001_1	JHN	001	1	Usad sani na duha na nagsunod kan Jesus pakabati san ginsabi ni Juan amo si Andres na kamanghod ni Simon Pedro.	Ang una nga ginghuman ni Andres hay gingpangit niya si Simon kag gingbalitaan, Nakit namon ang Mesias! Ang gusto hambayon hay Kristo.
JHN_001_1	JHN	001	1	Kaya nag-upod sinda kag nakita kun diin man gayod siya nagaistar. Kay maalas kwatro na an hapon, nagpabilin sinda kaupod niya sadto na adlaw.	Isa sa duha nga nakabat sa ginghambay ni Juan kag nagsunod kay Hesus, hay si Andres nga manghod ni Simon Pedro.
JHN_001_1	JHN	001	1	Kadi kamo kag kitaa, an sabat ni Jesus.	Nagsabat si Hesus, Kari, agud makit nindo. Mga alas kwatro na adto ng hapon nang nagkadto sinda kaibahan siya. Ngan nagtinir sinda didto hasta magab-i.
JHN_001_1	JHN	001	1	Nagsabat sinda, Rabi, na an gusto sabihon, Maestro diin ka nagaistar?	Nagsabat sinda, Rabi, sa diin ikaw nagadayon? Ang gusto hambayon ng Rabi hay Maestro.
JHN_001_1	JHN	001	1	Paglingi ni Jesus nakita sinda na nagasunod kag ginhunga, Nano an gusto niyo?	Naglingig si Hesus kag nakit niya nga nagasunod sinda, ngan nagpangutana siya, Ano ang indo kahinangyan?
JHN_001_1	JHN	001	1	Pakabati sani sumunod kan Jesus an duha na disipulos.	Pagkabat ini ng duha nga disipulo, adto nga daan nagsunod sinda kay Hesus.
JHN_001_1	JHN	001	1	Nagpahayag gihapon si Juan sa inda, Nagabunyag ako sin tubig pero may usad sa iyo na dili niyo nakikilala.	Nagsabat si Juan, Ako hay nagabawtismo sa tub, pero may kaibahan kamo niyan nga way nindo nakikilaya kung sin-o siya.
JHN_001_1	JHN	001	1	Pagkasunod na adlaw adto man gihapon si Juan. May kaupod siyan duha na disipulos.	Nang masunod nga adlaw, mintras nagatindog si Juan nga Miyugbawtismo kaibahan ang duha sa iya mga disipulo,
JHN_001_1	JHN	001	1	Tapos nagpadayon pa si Juan, Nakita ko man gayod ini kag ginapamatuudan ko sa iyo na siya an Anak san Dios.	Kag nakit ko gid ini. Ngan ginapamatuuran ko nga si Hesus ang Ung ng Dios.
JHN_001_1	JHN	001	1	Dili ko pa gihapon siya kilala sadto pero ginsabihan ako san nagsugo sa akon na magbunyag na magsabi, An tawo na makita mo na lusadan san Espirito kag pirmehan sani, amo na ina an magapambunyag paagi sa paghatag san Espirito Santo.,	Aber ako mismo hay way nakakakilaya sa iya, pero ang Dios nga nagsug sa akon nga magbawtismo sa tub ang naghambay sa akon, Ang makitaan mo nga babaan kag tiniran ng Espiritu, siya ang magabawtismo sa Espiritu Santo.
JHN_001_1	JHN	001	1	kag nagpadayon sinda paghunga sa iya, Nano kay nagapangbunyag ka kun dili ka man gali an Cristo, ni si Elias, ni an propeta?	nagpangutana liwat, Kung bukon ikaw ang Kristo, o si Elias, o ang propeta, bas nagabawtismo ka?
JHN_001_1	JHN	001	1	Dili ko siya kilala sadto pero siya an dahilan kun nano kay ginpakadi ako sa pagbunyag sin tubig agod ipakilala siya sa aton na mga taga-Israel.	Nang una, aber ako mismo hay way nakakakilaya sa iya kung sin-o gid siya, pero ang rason kung bas nagabawtismo ako hay agud ipakilaya siya sa indo nga mga taga-Israel.
JHN_001_1	JHN	001	1	Amo na ini an tawo na ginaparasabi ko: usad na tawo na maabot kasunod ko na mas labaw sa akon kay ada na siya sa katuna-tunai pa antes ngani ako gin-anak.	Imaw ini ang akon ginghambay dati sa indo, May isa ka tawo nga magaabot masunod sa akon nga mas importante kaysa sa akon, kay bago pa ako natawo, yar na siya.
JHN_001_1	JHN	001	1	San sunod na adlaw pakakita kan Jesus na nagatulos, nagsabi si Juan, Kitaa, adi an kordero san Dios na magahali san mga sala san katawuhan sa kinab-an.	Nang masunod nga adlaw, nakit ni Juan si Hesus nga nagapalapit sa iya; ngan naghambay siya, Tan-awa! Yari na ang Kordero ng Dios nga halad agud mapatawad ang kasal-anan ng mga tawo.
JHN_001_1	JHN	001	1	Nangyari ini sa Betania sa unhan san suba san Jordan kun diin siya nagapangbunyag.	Natab ini didto sa lugar ng Betania sa kabuak ng Sub ng Jordan kung sa diin si Juan nagabawtismo.
