id	book	chapter	sentence_no	source_text	target_text
<<<<<<< HEAD
JHN_001_1	JHN	001	1	San sunod na adlaw pakakita kan Jesus na nagatulos, nagsabi si Juan, Kitaa, adi an kordero san Dios na magahali san mga sala san katawuhan sa kinab-an.	Iya kadamlag niyan, nasingen nito Juan nge Jesus nga umbet iya edyan na. Ket to Juan, kinunen na, Singen nu yan! Igina yanin ya maawagan ka Urbun Karneru ne Apu Diyus nga mangipac kadiya basbasul diya uwed idi nga lubung!
JHN_001_1	JHN	001	1	Pakatapos, gin-upod niya siya kan Jesus.	Ito kadamlag na, nalagip ne Jesus ya mawe ka prubinsiya nga Galilya. Ket naaskuran na nge Pelipe nga iBetsayda nga kailiyan de Andres nge Pedru. Ket kinunen ne Jesus e Pelipe, Suruten nac, kunen na.
JHN_001_1	JHN	001	1	Tinurok si Pedro ni Jesus kag sinabihan, Ah, ikaw gali si Simon na anak ni Juan.	Ket e Pelipe, nawe na met sinapul nge Natanyel, ket kinunen na igina, Nasmac mi mettin to toley nga nisurat nito Muyses iya libru na nga Linteg tida, se to nisurat dito mammadtu pe.
JHN_001_1	JHN	001	1	Pagkasunod na adlaw nakaisip pagkadto si Jesus sa Galilea.	Ngem kinunen ne Natanyel, Ahah!
JHN_001_1	JHN	001	1	Ini si Felipe taga-Betsaida kag kahilungsod ninda Andres kag Pedro.	Ket kinunen ne Pelipe, Umbet mu was singen, a, kunen na.
JHN_001_1	JHN	001	1	Tapos pakahanap naman ni Felipe kan Nataniel sinumatan, Nataniel, naagihan na namon siya na ginsurat ni Moises sa libro na may Kasuguan kag ginsurat man san mga propeta.	Ket ito nasingen ne Jesus nge Natanyel nga sumungsungad iya edyan na, kinunen na maipanggep igina, Singen nu yan.
JHN_001_1	JHN	001	1	Taga-Nazaret? Nano, may maayo pa na nagahali sana na lugar?	Ket to Natanyel, nagsaludsud e Jesus nga kinunen na, Kumaan ngarud ya pannakaem-emmum iyaken?
JHN_001_1	JHN	001	1	Kadi baya kag kitaa, an sabat naman ni Felipe.	Ket e Jesus, kinunen na, Ito uwed ka pekkem iya sidung nito kayu nga igus, sacbay nga inawis naka nge Pelipe, nasingen nakan, kunen na.
JHN_001_1	JHN	001	1	Pakakita ni Jesus na nagatulos si Nataniel, nagsabi siya, Kitaa siya na tunay na Israelita kay waran kabuwaan sa iya.	Ket to Natanyel, kinunen nan, Mistru, Anac naka ngarud nge Apu Diyus! Ikew ya Ari mi nga Israelita! kunen na.
JHN_001_1	JHN	001	1	Pan-o ka nakaaram sa akon?	Ket kinunen ne Jesus igina, Mamati ka ngarud iyaken ita, gapu ta kinunec nga nasingen naka iya sidung nito kayu nga igus.
JHN_001_1	JHN	001	1	Nagsabat si Jesus, San adto ka pa sa tungod san kahoy na higera, nakita ta ikaw antes ka gintawag ni Felipe.	Ket kinunen manin ne Jesus igida nga aminin, Tutu met yani nga ibagac dakayu: Masingen nu nad nga aglukat ya langit. Ket diya angheles ne Apu Diyus, masingen nu da nga ngumudu ka langit se sumoli manin iya Anac nga Naipatoley, kunen na.
JHN_001_1	JHN	001	1	Ginhanap dayon niya an iya kamanghod kag sinabihan, Naagihan na namon an Mesias na an gusto sabihon, Cristo.	Ket iya agten iyan, nipen nito Andres nge Simon enna edyan ne Jesus. Ket binubuteg ne Jesus, nga kinunen na, Ikew nge Simon nga anac ne Juan. Ngem manipud ita, managan ka ngarud ka Sepas. Kayat na nga kagiyen, batu, winno Pedru ka kagi Griyegu.
JHN_001_1	JHN	001	1	Usad sani na duha na nagsunod kan Jesus pakabati san ginsabi ni Juan amo si Andres na kamanghod ni Simon Pedro.	Ket e Andres, sigida nga nawe na sinapul nge Simon nga kabsat na, ket nibaga na e Simon, Nasmac mi ngarudin ya Mesiyas! kunen na. Kagi diya Hudyu ya Mesiyas, nga kayat na nga kagiyen, Kristu.
JHN_001_1	JHN	001	1	Kaya nag-upod sinda kag nakita kun diin man gayod siya nagaistar. Kay maalas kwatro na an hapon, nagpabilin sinda kaupod niya sadto na adlaw.	Ket ya isa kadito duwa nga nakagicna ito nibaga nito Juan, nga igina pe to nipuyut e Jesus itun, ket itu nge Andres nga kabsat ne Simon Pedru.
