id	source_text	target_text
EXO_001_0001	verse<TAB>content	verse<TAB>content
EXO_001_0002	001<TAB>Saray anak nen Jacob tan saray pamilya ra a kaiba to ran linmad Egipto et saraya	001<TAB>Ito ang mga pangalan ng mga anak ni Israel na dumating sa Ehipto kasama si Jacob; bawat isa ay kasama ang kanya-kanyang sambahayan
EXO_001_0003	002<TAB>Ruben, Simeon, Levi, Juda,	002<TAB>sina Ruben, Simeon, Levi, Juda,
EXO_001_0004	003<TAB>Isacar, Zabulon, Benjamin,	003<TAB>Isacar, Zebulon, Benjamin,
EXO_001_0005	004<TAB>Dan, Neftali, Gad, tan Aser.	004<TAB>Dan, Neftali, Gad, at Aser.
EXO_001_0006	005<TAB>Pitomplo ya amin iray anak tan apo nen Jacob, a pati si Jose a wadman la ed Egipto.	005<TAB>Lahat ng taong nagmula sa balakang ni Jacob ay pitumpung katao, at si Jose ay nasa Ehipto na.
EXO_001_0007	006<TAB>Diad impankurang na panaon si Jose, saramay agagi to, tan amin a totoo ed saman a kailalakan et inaatey ira.	006<TAB>Namatay si Jose at ang lahat ng kanyang mga kapatid at ang buong salinlahing iyon.
EXO_001_0008	007<TAB>Balet amayamay iray anak tan apo na saman a kailalakan, a salanti saray Israelita; dinmakerakel ira tan nagmaliw iran makapanyarin tuloy, kanyan kinmayat iran nanayam ed intiron bansa na Egipto.	007<TAB>Ang mga anak ni Israel ay lumago at nadagdagang mabuti; sila'y dumami at naging napakalakas kaya't ang lupain ay napuno nila.
EXO_001_0009	008<TAB>Sinmabiy panaon a walay balon ari na Egipto ya ag to kabat si Jose.	008<TAB>At may bumangong isang bagong hari sa Ehipto na hindi kilala si Jose.
EXO_001_0010	009<TAB>Sayan ari inkuantod saray totoo to, Makapataktakot la ra yan Israelita, ta dakerakel tan makapanyari la ra nen say sikatayo.	009<TAB>Sinabi niya sa kanyang bayan, Tingnan ninyo, ang sambayanan ng mga anak ni Israel ay mas marami at higit na malakas kaysa atin.
EXO_001_0011	010<TAB>Gawaen tayoy kasiliban a pamatonda na idadakel da, ta no walay onsabi-sabin bakal, ag la pigan migampi rad saray kalaban tayo.	010<TAB>Halikayo, pakitunguhan natin sila nang may katusuhan, baka sila'y dumami at mangyari na kapag nagkaroon ng digmaan ay umanib sila sa ating mga kaaway, lumaban sa atin, at umalis sa lupain.
EXO_001_0012	010<TAB>Onlaban irad satan ed sikatayo, insan da taynan so bansa tayo.	011<TAB>Kaya't naglagay sila ng mga tagapangasiwa upang pahirapan sila sa kanilang mga sapilitang paggawa.
EXO_001_0013	011<TAB>Kanyan angipasen iray Egipsio na saray opisyal a mamairap ed saray Israelita.	011<TAB>Kanilang ipinagtayo si Faraon ng mga lunsod imbakan, ang Pitom at Rameses.
EXO_001_0014	011<TAB>Impankikimey da ra na ambelat diad impamaalagey dad saray siudad na Pitom tan Rameses a panangisempenay abasto na ari.	012<TAB>Subalit habang kanilang pinahihirapan sila, lalo silang dumarami at lalong lumalaganap.
EXO_001_0015	012<TAB>Balet no panoy impanpapairap na saray Egipsio ed saray Israelita, lalon ondarakel ira tan onaawang so pasen a panaayaman da.	012<TAB>At kinasuklaman nila ang mga anak ni Israel.
EXO_001_0016	012<TAB>Apagaan ed satan iray Egipsio ed saray Israelita,	013<TAB>Malupit na pinapaglingkod ng mga Ehipcio ang mga anak ni Israel;
EXO_001_0017	013<TAB>kanyan impagmaliw dan masegsegang so bilay da.	014<TAB>at kanilang pinapait ang kanilang buhay sa pamamagitan ng mahirap na paglilingkod, sa luwad at sa tisa, at sa lahat ng uri ng gawain sa bukid; at sa lahat ng kanilang gawain ay malupit silang pinapaglingkod.
EXO_001_0018	013<TAB>Pinapasoot da ran inaripen.	015<TAB>Ang hari ng Ehipto ay nagsalita sa mga hilot na mga Hebrea, na ang pangalan ng isa ay Sifra, at ang pangalan ng ikalawa ay Pua.
