id	book	chapter	sentence_no	source_text	target_text
EXO_001_1	EXO	001	1	Balet sarayan manamianak, lapud walay takot dad Dios, ag da inonur imay ingganggan na ari ed sikara;	Kundi mahadlokon han Dyos an mga parahilot sanglit waray nira pagsugta an hadi;
EXO_001_1	EXO	001	1	Impatawag to sirin ira yan manamianak tan tinepet tod sikara, Akin et onyay gagawaen yo?	Ginpasugoan han hadi an mga parahilot ngan ginpakianhan hira, Kay ano nga ginbuhat niyo ini?
EXO_001_1	EXO	001	1	Ruben, Simeon, Levi, Juda,	amo hira Ruben, Simeon, Levi, Juda,
EXO_001_1	EXO	001	1	Isacar, Zabulon, Benjamin,	Isacar, Zabulon, Benjamin,
EXO_001_1	EXO	001	1	Lapud sarayan manamianak et walay takot dad Dios, tinumangan ira na Dios tan initdan to ray anak da.	Tungod nga mahadlokon han Dyos an mga parahilot, ginpakaupay hira han Dyos ngan gintagan hira hin mga panimalay nga ira kalugaringon.
EXO_001_1	EXO	001	1	Pitomplo ya amin iray anak tan apo nen Jacob, a pati si Jose a wadman la ed Egipto.	Setenta hira ngatanan nga mga tawo nga tunay nga tulin ni Jacob. Hi Jose nga iya anak nakadto na ngadaan ha Ehipto.
EXO_001_1	EXO	001	1	Diad impankurang na panaon si Jose, saramay agagi to, tan amin a totoo ed saman a kailalakan et inaatey ira.	Linmabay in maiha nga katuigan ngan nagkamatay hira Jose, an ngatanan nga iya kabugtoan, ngan an ngatanan hini nga katulinan,
EXO_001_1	EXO	001	1	Balet amayamay iray anak tan apo na saman a kailalakan, a salanti saray Israelita;	kundi damo an mga anak han ira mga tulin nga mga Israelita.
EXO_001_1	EXO	001	1	Inmebat ira may manamianak, Aliwan singa saray bibiin Egipsia iray bibiin Hebrea, ta mainomay iran mananak; ag ni sinmabiy manamianak et akapananak la ra.	Binmaton hira, Diri sugad han Hebreo nga kababayen-an an Ehiptohanon nga kababayen-an, madagmit la hira mag-anak, ngan natatawo na an bata ha diri pa kami naabot.
EXO_001_1	EXO	001	1	Sinmabiy panaon a walay balon ari na Egipto ya ag to kabat si Jose.	Nagkamay-ada bag-o nga hadi didto ha Ehipto nga waray gud niya hinbaroan mahitungod kan Jose.
EXO_001_1	EXO	001	1	Sayan ari inkuantod saray totoo to, Makapataktakot la ra yan Israelita, ta dakerakel tan makapanyari la ra nen say sikatayo.	Nagsiring hiya ha iya mga tawo, Damo na hin duro ug magkusog na ini nga mga Israelita ngan makaharadlok na hira para ha aton.
EXO_001_1	EXO	001	1	Gawaen tayoy kasiliban a pamatonda na idadakel da, ta no walay onsabi-sabin bakal, ag la pigan migampi rad saray kalaban tayo.	Ha panahon hin araway, bangin dumapig hira han aton mga kaaway ngan makig-away hira kontra ha aton, ngan kumalagiw hira tikang han nasod.
EXO_001_1	EXO	001	1	Saray anak nen Jacob tan saray pamilya ra a kaiba to ran linmad Egipto et saraya	An mga anak ni Jacob nga inmupod ha iya ngadto ha Ehipto ngan an kada usa upod an iya panimalay,
