id	source_text	target_text
JHN_001_0001	verse<TAB>content	verse<TAB>content
JHN_001_0002	001<TAB>Sapul pa ten sapul ay ked dn en Upos, kaguman nen Diyos en Upos, sakay en Upos ay siya dn en Diyos.	001<TAB>Sacbay nito rugi niya amin, uwed sigud nga kabulun ne Apu Diyus nga maawagan ka Kagi.
JHN_001_0003	002<TAB>Sapul pa ten sapul ay kaguman dn siya nen Diyos.	001<TAB>Ket Diyus mettas pe yani.
JHN_001_0004	003<TAB>Linalang en atanan bagay a ten pamamag-itan na, sakay awan ti linalang a bakn a ten pamamag-itan na.	002<TAB>Ngarud, sigud da nga agbulubulun, orey ito sacbay nga mairugi ya amin.
JHN_001_0005	004<TAB>En Upos en paggubwatan ni biyag, sakay iyd a biyag ay nangatd ti demlag ten tolay.	003<TAB>Ket amin nga pinarsuwa ne Apu Diyus, nipaparsuwa na igina.
JHN_001_0006	005<TAB>Iyd a demlag ay magdemlag ten kadiklmman, sakay awan iyd madaig nen diklm.	003<TAB>Ngarud, awan met naparsuwa no di gapu was igina.
JHN_001_0007	006<TAB>Nadid, tehud a essa a lllaki a inutusan en Diyos, en ngaran na ay ti Juan.	004<TAB>Idi nga maawagan ka Kagi, igina ya pagtaudan niya biyag.
JHN_001_0008	007<TAB>Pinaangay na ti Juan ten tolay hidi, inutusan siya tnni ipahayag na en tungkul ten demlag, tnni sumampalataya en atanan a tolay.	004<TAB>Ket idi nga biyag, itu ya arig nga mangwada iya lemlemmet diya toley.
JHN_001_0009	008<TAB>Bakn a ti Juan en demlag, nan inutusan siya tnni mngpahayag ni deya en demlag.	005<TAB>Ket ya wada, agdarang iya gicbet, ket madi mabalinan niya gicbet nga pagicbetten.
JHN_001_0010	009<TAB>En tunay a demlag a mangdemlag ten atanan a tolay ay dumemt ti munduwiday.	006<TAB>Ket itun, uwed isa nga toley nga nibon ne Apu Diyus nga agnagan ka Juan.
JHN_001_0011	010<TAB>Dummemt en Upos ti munduwiday, peru awan siya tinenggi ni munduwiday maski ni linalang i munduwiday ten pamamag-itan na.	007<TAB>Naibon yani nga mangipakaemmu kadiya toltoley maipanggep iyan nga maawagan ka wada, tasun gapu iya panangipakaemmu nito Juan, mamati kuma diya amin nga makagicna igina.
