id	source_text	target_text
JHN_001_0001	Sapul pa ten sapul ay ked dn en Upos, kaguman nen Diyos en Upos, sakay en Upos ay siya dn en Diyos.	Asal ha tagnaan, yaun na in Parman, iban in Parman asal naghahambuuk iban Tuhan, karna in Parman amu na in Tuhan.
JHN_001_0002	Sapul pa ten sapul ay kaguman dn siya nen Diyos.	Iban asal dayn ha panagnaan pa, naghahambuuk na in Parman iban Tuhan.
JHN_001_0003	Linalang en atanan bagay a ten pamamag-itan na, sakay awan ti linalang a bakn a ten pamamag-itan na.	In unu-unu katn naawn, piyaawn sin Parman dayn ha kabayaan sin Tuhan.
JHN_001_0004	En Upos en paggubwatan ni biyag, sakay iyd a biyag ay nangatd ti demlag ten tolay.	Wayruun hangsulag unu-unu in naawn bang bukun guwa dayn ha Parman.
JHN_001_0005	Iyd a demlag ay magdemlag ten kadiklmman, sakay awan iyd madaig nen diklm.	Damikkiyan in Parman amuna in puunan sin kabuhi sabunnal, iban in puunan sin kabuhi sabunnal amuna in ilaw dumihil sawa pa pikilan sin mnusiya.
JHN_001_0006	Nadid, tehud a essa a lllaki a inutusan en Diyos, en ngaran na ay ti Juan.	In ilaw ini suminag na ha lawm sin katigidluman ha lawm dunya, iban in katigidluman di makapng sin ilaw ini.
JHN_001_0007	Pinaangay na ti Juan ten tolay hidi, inutusan siya tnni ipahayag na en tungkul ten demlag, tnni sumampalataya en atanan a tolay.	Manjari awn hambuuk tau kiyawakilan sin Tuhan.
JHN_001_0008	Bakn a ti Juan en demlag, nan inutusan siya tnni mngpahayag ni deya en demlag.	In ngn niya hi Yahiya.
JHN_001_0009	En tunay a demlag a mangdemlag ten atanan a tolay ay dumemt ti munduwiday.	Diyaak siya sin Tuhan mamayta pa manga tau pasal sin ilaw ini, ha supaya in mnusiya katn makarungug iban magparachaya sin bayta pasal sin ilaw.
JHN_001_0010	Dummemt en Upos ti munduwiday, peru awan siya tinenggi ni munduwiday maski ni linalang i munduwiday ten pamamag-itan na.	Bukun hi Yahiya in piyagbahasa ilaw.
JHN_001_0011	Ummangay siya ten sadili na a banuwan, peru awan siya tinanggap nen kabanuwan na hidi.	Karna in siya naraak sadja mamayta pasal sin ilaw.
