id	book	chapter	sentence_no	source_text	target_text
JHN_001_1	JHN	001	1	Ngan gingpangutana ninda siya liwat, Kung imaw in, sin-o ka?	Ket dito naibon, sinaludsud da manin nga kinunen da, No agten iyan, nagan mu ngarud?
JHN_001_1	JHN	001	1	Kaibahan siya ng Dios bago pa magtun ang tanan.	Ngarud, sigud da nga agbulubulun, orey ito sacbay nga mairugi ya amin.
JHN_001_1	JHN	001	1	Way si Juan nagbalibad kund nagsabat ning matuod, Bukon ako ang Kristo nga indo ginahuyat.	Ket to Juan, madi naglibac ito sinaludsud da, no di lugud nipalawag na nga nalaing igida nga kinunen na, Bekken nga iyaken ya Kristu, kunen na.
JHN_001_1	JHN	001	1	Naghambay si Hesus, Nagatuo ka kay ginghambay ko nga nakit ko ikaw sa idayom ng pun ng igos.	Ket to Natanyel, kinunen nan, Mistru, Anac naka ngarud nge Apu Diyus!
JHN_001_1	JHN	001	1	Naghambay si Natanael, Maestro, ikaw gida ang Ung ng Dios! Ikaw ang Har ng Israel nga amon ginahuyat!	Ket e Jesus, kinunen na, Ito uwed ka pekkem iya sidung nito kayu nga igus, sacbay nga inawis naka nge Pelipe, nasingen nakan, kunen na.
JHN_001_1	JHN	001	1	Bago pa nagtun ang tanan, yar na ang ginatawag nga Hambay .	Sacbay nito rugi niya amin, uwed sigud nga kabulun ne Apu Diyus nga maawagan ka Kagi.
JHN_001_1	JHN	001	1	Nagpangutana si Natanael, Pauno mo ako nakilaya?	Ket to Natanyel, nagsaludsud e Jesus nga kinunen na, Kumaan ngarud ya pannakaem-emmum iyaken?
JHN_001_1	JHN	001	1	Pagkakit ni Hesus kay Natanael nga nagapalapit sa iya, hambay ni Hesus, Sirua, yari ang matuod nga Israelita, nga bukon maday.	Ket ito nasingen ne Jesus nge Natanyel nga sumungsungad iya edyan na, kinunen na maipanggep igina, Singen nu yan. Isa met nga pudnu nga Israelita, ta awan kinabusid igina, kunen ne Jesus.
JHN_001_1	JHN	001	1	Naghambay si Natanael, Nazaret! Igwa ba ar ning maayo nga magahalin didto? Sabat naman ni Felipe, Nunot anay sa akon agud makit mo.	Ket kinunen ne Pelipe, Umbet mu was singen, a, kunen na.
JHN_001_1	JHN	001	1	Ang tanan nga butang nahuman paagi sa iya kag way mahuman ang mga nahuman kung bukon siya.	Ket amin nga pinarsuwa ne Apu Diyus, nipaparsuwa na igina. Ngarud, awan met naparsuwa no di gapu was igina.
JHN_001_1	JHN	001	1	Gingpangit ni Felipe si Natanael kag ginghambayan niya, Nakit na namon ang tawo nga ginghambay sa Kasuguan ni Moises kag sa mga gingsulat ng mga propeta.	Ngem kinunen ne Natanyel, Ahah!
JHN_001_1	JHN	001	1	Si Felipe hay taga-Betsaida, nga banwa da nina Andres kag Pedro.	Ket e Pelipe, nawe na met sinapul nge Natanyel, ket kinunen na igina, Nasmac mi mettin to toley nga nisurat nito Muyses iya libru na nga Linteg tida, se to nisurat dito mammadtu pe. Itu met nge Jesus nga iNasaret nga anac ne Huse, kunen na.
JHN_001_1	JHN	001	1	Siya ang ginghalinan ng matuod nga kabuh.	Idi nga maawagan ka Kagi, igina ya pagtaudan niya biyag.
JHN_001_1	JHN	001	1	Nang masunod nga adlaw nagdesisyon si Hesus nga magkadto sa lugar ng Galilea.	Ito kadamlag na, nalagip ne Jesus ya mawe ka prubinsiya nga Galilya.
JHN_001_1	JHN	001	1	Siya hay nagahayag pareho ng iwag sa kaduyom kag way gid napeperdi ng kaduyom ang kahayag.	Ket ya wada, agdarang iya gicbet, ket madi mabalinan niya gicbet nga pagicbetten.
JHN_001_1	JHN	001	1	Igwa ning tawo nga ang pangayan hay Juan nga gingsug ng Dios.	Ket itun, uwed isa nga toley nga nibon ne Apu Diyus nga agnagan ka Juan.
JHN_001_1	JHN	001	1	Gingsug siya para magpamatuod parti sa kahayag nga nagkari sa kalibutan, agud ang tanan hay magtuo tungod sa iya pamatuod.	Naibon yani nga mangipakaemmu kadiya toltoley maipanggep iyan nga maawagan ka wada, tasun gapu iya panangipakaemmu nito Juan, mamati kuma diya amin nga makagicna igina.
JHN_001_1	JHN	001	1	Kag gingdaya niya si Simon kay Hesus.	Ket iya agten iyan, nipen nito Andres nge Simon enna edyan ne Jesus.
JHN_001_1	JHN	001	1	Bukon si Juan ang kahayag, pero gingsug siya para magpamatuod parti sa ini nga kahayag.	Bekken nga e Juan to maawagan ka wada, no di lugud igina ya naibon nga mangipakaemmu iya maipanggep iya maawagan ka wada.
JHN_001_1	JHN	001	1	Ang una nga ginghuman ni Andres hay gingpangit niya si Simon kag gingbalitaan, Nakit namon ang Mesias!	Ket e Andres, sigida nga nawe na sinapul nge Simon nga kabsat na, ket nibaga na e Simon, Nasmac mi ngarudin ya Mesiyas! kunen na.
JHN_001_1	JHN	001	1	Isa sa duha nga nakabat sa ginghambay ni Juan kag nagsunod kay Hesus, hay si Andres nga manghod ni Simon Pedro.	Ket ya isa kadito duwa nga nakagicna ito nibaga nito Juan, nga igina pe to nipuyut e Jesus itun, ket itu nge Andres nga kabsat ne Simon Pedru.
JHN_001_1	JHN	001	1	Si Hesus ang matuod nga kahayag nga nagaabot sa kalibutan para mahayagan ang mga tawo agud maintindihan ang kamatuuran.	Ket ya pudnu nga maawagan ka wada, igina ya umbet iya lubung ngi nga mangwada iya orey nagan na nga toley.
JHN_001_1	JHN	001	1	Nag-abot gid siya sa kalibutan, pero aber natuga ang kalibutan paagi sa iya, way siya gingkilay-a ng mga tawo kung sin-o siya.	Ngarud, ya mangwada, uwed idi nga lubung itun. Ket amin nga uwed iya lubung, naparsuwa gapu igina. Ngem orey pe no agten iyan, diya toltoley iya lubung, madi da met naawatan ya maipanggep igina itun.
JHN_001_1	JHN	001	1	Nagsabat si Hesus, Kari, agud makit nindo.	Ket kinunen ne Jesus igida, Umbet nu was singen, a, kunen na met.
JHN_001_1	JHN	001	1	Nagkari siya sa kaugalingon niya nga nasyon, pero way siya gingbatuna ng kadamuan.	Ket ito inumbet iya mismu nga ili na, madi met inawat diya kailiyan na.
JHN_001_1	JHN	001	1	Nagsabat sinda, Rabi, sa diin ikaw nagadayon?	Ket kinunen dito duwa, Awac kadi ya paged-edyanam, Rabbi? kunen da.
JHN_001_1	JHN	001	1	Naglingig si Hesus kag nakit niya nga nagasunod sinda, ngan nagpangutana siya, Ano ang indo kahinangyan?	Ket e Jesus, limaw-ing ket nasingen na da nga mip-ipuyut igina. Itu nga kinunen na igida, Nagan ya sapsapulen nu? kunen na.
JHN_001_1	JHN	001	1	Pagkabat ini ng duha nga disipulo, adto nga daan nagsunod sinda kay Hesus.	Ket dito duwa nga adalan nito Juan, ito nagicna da to kinagi na, nawe da simurut e Jesusin.
JHN_001_1	JHN	001	1	Pero ang tanan nga nagbaton kag nagtuo sa iya hay gingtaw-an niya ning pribilihiyo nga maging mga ung ng Dios.	Ngem diya amin nga imawat igina, nga itu diya sipapati iya kinaturay na, necdan na da ka kalinteggan nga agbalin nga anac ne Apu Diyus.
JHN_001_1	JHN	001	1	nakit niya si Hesus nga nagaagi.	Ket e Jesus, tumalib manin iyan.
JHN_001_1	JHN	001	1	Nang masunod nga adlaw, mintras nagatindog si Juan nga Miyugbawtismo kaibahan ang duha sa iya mga disipulo,	Ket ito sumunu nga algew, uwed to Juan se duwa nga adalan na antuni.
JHN_001_1	JHN	001	1	Kag nakit ko gid ini. Ngan ginapamatuuran ko nga si Hesus ang Ung ng Dios.	Ket tutu met, ata nasingec ngarud yanin, ket itu nga panecnekkac dakayu nga igina met ya Anac ne Apu Diyus, kunen na.
JHN_001_1	JHN	001	1	Aber ako mismo hay way nakakakilaya sa iya, pero ang Dios nga nagsug sa akon nga magbawtismo sa tub ang naghambay sa akon, Ang makitaan mo nga babaan kag tiniran ng Espiritu, siya ang magabawtismo sa Espiritu Santo.	Madi yac pe emmu itun no nagan na yani nga nibon ne Apu Diyus. Ngem e Apu Diyus nga nangibon pe iyaken nga mamautisar ka danum, ket kinunen na met iyaken itun nga, Masingem nad ya Ispirituc nga sumegged nga makitipun iya isa nga toley. Ket itu yanin ya mamautisar ka Ispiritu Santu, kunen na iyaken.
JHN_001_1	JHN	001	1	Kag imaw ini ang gingpamatuod ni Juan, Nakit ko ang Espiritu Santo nga daw salampati nga nagabab pakadto sa iya halin sa langit kag nagtinir sa iya.	Ket agten idi pe to panangipakaemmu nito Juan maipanggep e Jesus: Nasingec ya Ispiritu ne Apu Diyus nga simegged nga agten iya kalapati nga gayat ka langit, nga nakitipun igina.
JHN_001_1	JHN	001	1	Nang una, aber ako mismo hay way nakakakilaya sa iya kung sin-o gid siya, pero ang rason kung bas nagabawtismo ako hay agud ipakilaya siya sa indo nga mga taga-Israel.	Ket orey iyaken, madic emmu itun no nagan na yani nga nibon ne Apu Diyus. Ngem itu ya gagarac nga mamautisar ka danum, tasun maipakaemmu kuma yani dakayu nga padac nga Israelita, kunen na.
