id	source_text	target_text
JHN_001_0001	Bago pa nagtun ang tanan, yar na ang ginatawag nga Hambay .	Asal ha tagnaan, yaun na in Parman, iban in Parman asal naghahambuuk iban Tuhan, karna in Parman amu na in Tuhan.
JHN_001_0002	Ini nga Hambay hay kaibahan na ng Dios kag ang Hambay mismo hay Dios.	Iban asal dayn ha panagnaan pa, naghahambuuk na in Parman iban Tuhan.
JHN_001_0003	Kaibahan siya ng Dios bago pa magtun ang tanan.	In unu-unu katn naawn, piyaawn sin Parman dayn ha kabayaan sin Tuhan.
JHN_001_0004	Ang tanan nga butang nahuman paagi sa iya kag way mahuman ang mga nahuman kung bukon siya.	Wayruun hangsulag unu-unu in naawn bang bukun guwa dayn ha Parman.
JHN_001_0005	Siya ang ginghalinan ng matuod nga kabuh.	Damikkiyan in Parman amuna in puunan sin kabuhi sabunnal, iban in puunan sin kabuhi sabunnal amuna in ilaw dumihil sawa pa pikilan sin mnusiya.
JHN_001_0006	Ini nga kabuh hay kahayag.	In ilaw ini suminag na ha lawm sin katigidluman ha lawm dunya, iban in katigidluman di makapng sin ilaw ini.
JHN_001_0007	Paagi diri, maiintindihan ng mga tawo ang kamatuuran.	Manjari awn hambuuk tau kiyawakilan sin Tuhan.
JHN_001_0008	Siya hay nagahayag pareho ng iwag sa kaduyom kag way gid napeperdi ng kaduyom ang kahayag.	In ngn niya hi Yahiya.
JHN_001_0009	Igwa ning tawo nga ang pangayan hay Juan nga gingsug ng Dios.	Diyaak siya sin Tuhan mamayta pa manga tau pasal sin ilaw ini, ha supaya in mnusiya katn makarungug iban magparachaya sin bayta pasal sin ilaw.
JHN_001_0010	Gingsug siya para magpamatuod parti sa kahayag nga nagkari sa kalibutan, agud ang tanan hay magtuo tungod sa iya pamatuod.	Bukun hi Yahiya in piyagbahasa ilaw.
JHN_001_0011	Bukon si Juan ang kahayag, pero gingsug siya para magpamatuod parti sa ini nga kahayag.	Karna in siya naraak sadja mamayta pasal sin ilaw.
JHN_001_0012	Si Hesus ang matuod nga kahayag nga nagaabot sa kalibutan para mahayagan ang mga tawo agud maintindihan ang kamatuuran.	Na, in Parman amuna tuud in bunnal ilaw, amu in limahil mari pa dunya dumihil kasawahan pa pikilan sin mnusiya katn.
JHN_001_0013	Nag-abot gid siya sa kalibutan, pero aber natuga ang kalibutan paagi sa iya, way siya gingkilay-a ng mga tawo kung sin-o siya.	Sagawa sin d siya ha dunya wala siya kla sin manga mnusiya, minsan da siya in nagpapanjari sin unu-unu katn dayn ha kabayaan sin Tuhan.
JHN_001_0014	Nagkari siya sa kaugalingon niya nga nasyon, pero way siya gingbatuna ng kadamuan.	Miyari siya pa hula nap niya hulaan, sagawa minsan in manga pagkahi niya hangka-bangsa, wala da timayma kaniya.
JHN_001_0015	Pero ang tanan nga nagbaton kag nagtuo sa iya hay gingtaw-an niya ning pribilihiyo nga maging mga ung ng Dios.	Sagawa hisiyu-siyu in timayma ha amu in piyagbahasa Parman iban nagparachaya isab kaniya, dhilan niya sila kapatutan mahinang manga anak sin Tuhan.
