id	book	chapter	verse	source_text	target_text
EXO_001_1	EXO	001	1	Iyo ini an mga aki ni Jacob na nag-iriba saiya pasiring sa Egipto, kaiba an saindang mga pamilya	Saray anak nen Jacob tan saray pamilya ra a kaiba to ran linmad Egipto et saraya
EXO_001_10	EXO	001	10	Kaipuhan magin tuso kita tanganing mapugol an saindang pagdakul, ta kun magkagera, tibaad umapil sinda sa satong mga kaiwal, labanan kita dangan bayaan an satong daga.	Gawaen tayoy kasiliban a pamatonda na idadakel da, ta no walay onsabi-sabin bakal, ag la pigan migampi rad saray kalaban tayo. Onlaban irad satan ed sikatayo, insan da taynan so bansa tayo.
EXO_001_11	EXO	001	11	Kaya nagbugtak sinda nin mga makuring parapamahala tanganing pasakitan an mga Israelita sa paagi nin mga magabat na trabaho. Ipinatugdok sa sainda kan hade an Pitom asin Rameses, mga syudad na sarayan kan mga pagkakan asin kagamitan.	Kanyan angipasen iray Egipsio na saray opisyal a mamairap ed saray Israelita. Impankikimey da ra na ambelat diad impamaalagey dad saray siudad na Pitom tan Rameses a panangisempenay abasto na ari.
EXO_001_12	EXO	001	12	Alagad kun kasuarin pinasakitan an mga Israelita, lalo logod sindang nagdakul asin orog na nakalakop sa daga nin Egipto. Natakot an mga Egipcio sa mga Israelita	Balet no panoy impanpapairap na saray Egipsio ed saray Israelita, lalon ondarakel ira tan onaawang so pasen a panaayaman da. Apagaan ed satan iray Egipsio ed saray Israelita,
EXO_001_13	EXO	001	13	kaya ginibo nindang makaherak an buhay kan mga ini sa paagi nin magagabat na trabaho. Mayong pagkaherak na pinirit nindang magtrabaho an mga Israelita sa saindang mga proyektong pagtugdok nin mga edipisyo asin sa gabos na trabaho sa saindang oma.	kanyan impagmaliw dan masegsegang so bilay da. Pinapasoot da ran inaripen. Impankikimey da rad panagmasa na dalin tan diad panaggawa na laryo; impankikimey da met ni rad kaalogan da. Ag da ran balut kinasian.
EXO_001_14	EXO	001	14	Dangan sinabihan kan hade si Sifra asin si Pua, mga parterang nagpapaaki sa mga babaeng Hebreyo.	Insan say ari na Egipto akisalitad kindi Sifra tan Pua, saray duaran manamianak a Hebrea.
EXO_001_15	EXO	001	15	Kun kamo magpaaki sa mga babaeng Hebreyo, gadanon nindo an aki kun lalaki alagad pabayaan nindong mabuhay kun babae.	Inkuantod sikara, No mamaanak kayod saray bibiin Hebrea, patey yo so ogaw no laki, balet ag yo papateyen no bii.
EXO_001_16	EXO	001	16	Alagad dai sinunod kan mga partera an pagboot kan hade huli ta may pagkatakot sinda sa Dios; pinabayaan nindang mabuhay an mga aking lalaki.	Balet sarayan manamianak, lapud walay takot dad Dios, ag da inonur imay ingganggan na ari ed sikara; ag da pinatey iray ogogaw a lalaki.
EXO_001_17	EXO	001	17	Kaya ipinaapod sinda kan hade dangan hinapot, Tano ta dai kamo nagsunod? Tadaw ta pinabayaan nindong mabuhay an mga aking lalaki?	Impatawag to sirin ira yan manamianak tan tinepet tod sikara, Akin et onyay gagawaen yo? Akin et ag yo papateyen iray ogogaw a lalaki?
EXO_001_18	EXO	001	18	Nagsimbag sinda, Iba kaya an mga babaeng Hebreyo sa mga babaeng taga Egipto; bako sindang masakit mangaki, kaya bago umabot an saro samo, nakapangaki na sinda.	Inmebat ira may manamianak, Aliwan singa saray bibiin Egipsia iray bibiin Hebrea, ta mainomay iran mananak; ag ni sinmabiy manamianak et akapananak la ra.
EXO_001_19	EXO	001	19	Huli kaini, benendisyonan nin Dios an mga partera asin tinawan niya sinda nin dakul na mga aki. Padagos man na nagdakul asin nagkosog an mga Israelita.	Lapud sarayan manamianak et walay takot dad Dios, tinumangan ira na Dios tan initdan to ray anak da. Ag tinmonda so indakel na saray Israelita tan nagmaliw iran makapanyarin tuloy.
EXO_001_2	EXO	001	2	si Ruben, Simeon, Levi, Juda,	Ruben, Simeon, Levi, Juda,
EXO_001_20	EXO	001	20	Kaya nagboot an hade sa mga Egipcio, Itapok nindo sa Salog nin Nilo an lambang bagong mamundag na lalaki sa mga Hebreyo, alagad pabayaan nindong mabuhay an gabos na aking babae.	Diad satan, say ari angipaakseb na sakey a ganggan ed saray amin a totoo to: Ipaanur yod Ilog na Nilo so balang Hebreon laki a kapangyanak, balet ag yo papateyen iray kapangyanak a bibii.
EXO_001_3	EXO	001	3	Issakar, Zabulon, Benjamin,	Isacar, Zabulon, Benjamin,
EXO_001_4	EXO	001	4	Dan, Neftali, Gad, asin Aser.	Dan, Neftali, Gad, tan Aser.
EXO_001_5	EXO	001	5	Setenta gabos an kapagarakian ni Jacob. Si Jose na saro pa niyang aki, haloy na sa Egipto.	Pitomplo ya amin iray anak tan apo nen Jacob, a pati si Jose a wadman la ed Egipto.
EXO_001_6	EXO	001	6	Dangan nagadan si Jose, an saiyang mga tugang asin an gabos na henerasyon na idto.	Diad impankurang na panaon si Jose, saramay agagi to, tan amin a totoo ed saman a kailalakan et inaatey ira.
EXO_001_7	EXO	001	7	Alagad an saindang kapagarakian, an mga Israelita, nagkaigwa nin dakul na mga aki kaya kuminosog sinda asin napano ninda an Egipto.	Balet amayamay iray anak tan apo na saman a kailalakan, a salanti saray Israelita; dinmakerakel ira tan nagmaliw iran makapanyarin tuloy, kanyan kinmayat iran nanayam ed intiron bansa na Egipto.
EXO_001_8	EXO	001	8	Dangan nagkaigwa an Egipto nin bagong hade na dai midbid si Jose.	Sinmabiy panaon a walay balon ari na Egipto ya ag to kabat si Jose.
