id	book	chapter	verse	source_text	target_text
EXO_001_001	EXO	001	001	Iyo ini an mga aki ni Jacob na nag-iriba saiya pasiring sa Egipto, kaiba an saindang mga pamilya	Oreti ding lagyu da ring anak nang lalaking Jacob a minta karin Ehipto a kayabe na at ding pamilya ra
EXO_001_002	EXO	001	002	si Ruben, Simeon, Levi, Juda,	i Ruben, Simeon, Levi, Juda,
EXO_001_003	EXO	001	003	Issakar, Zabulon, Benjamin,	Isacar, Zebulun, Benjamin,
EXO_001_004	EXO	001	004	Dan, Neftali, Gad, asin Aser.	Dan, Neftali, Gad ampon i Aser.
EXO_001_005	EXO	001	005	Setenta gabos an kapagarakian ni Jacob. Si Jose na saro pa niyang aki, haloy na sa Egipto.	Pitu lang pulu kabilangan ding heganaganang lahi nang Jacob. Atyu ne kanita i Jose karin Ehipto.
EXO_001_006	EXO	001	006	Dangan nagadan si Jose, an saiyang mga tugang asin an gabos na henerasyon na idto.	Kaybat na nita, mete ya i Jose at ding sabla nang kapatad ampon ding anak da ring anak da.
EXO_001_007	EXO	001	007	Alagad an saindang kapagarakian, an mga Israelita, nagkaigwa nin dakul na mga aki kaya kuminosog sinda asin napano ninda an Egipto.	Oneng menganak la ding Israelita a lahi da at merakal na lang merakal; mabilis lang merakal at tutung masikan angga king milaganapan ya karela ing Ehipto.
EXO_001_008	EXO	001	008	Dangan nagkaigwa an Egipto nin bagong hade na dai midbid si Jose.	Linabas ing panaun at ing Ehipto mika bayu yang ari a ala nang bitasang balu tungkul kang Jose.
EXO_001_009	EXO	001	009	Nagsabi an hade sa saiyang banwaan, Dakul nang marahay an mga Israelita asin mas makosog na ki sa sato.	Nganang sinabi karing sasakupan na, Lawan yu, mas dakal la at masikan kesa kekatamu deting Israelita.
EXO_001_010	EXO	001	010	Kaipuhan magin tuso kita tanganing mapugol an saindang pagdakul, ta kun magkagera, tibaad umapil sinda sa satong mga kaiwal, labanan kita dangan bayaan an satong daga.	Nung sakaling lusuban da katamu ding kalaban pota makikampi la pa karela at kaybat takasan de ing bansa tamu. Inya kailangan tamung lumawe paralan ban e na la dakal pa.
EXO_001_011	EXO	001	011	Kaya nagbugtak sinda nin mga makuring parapamahala tanganing pasakitan an mga Israelita sa paagi nin mga magabat na trabaho. Ipinatugdok sa sainda kan hade an Pitom asin Rameses, mga syudad na sarayan kan mga pagkakan asin kagamitan.	Inya mibili lang kapatas karing Israelita ban pasakitan da la king kapamilatan na ning mabayat a obra. Makanyan lang mengapuersa ding Israelita king pamitalakad karing siudad ning Pitom at Rameses a pipagponduan nang kabiayan at kagamitan ning ari.
EXO_001_012	EXO	001	012	Alagad kun kasuarin pinasakitan an mga Israelita, lalo logod sindang nagdakul asin orog na nakalakop sa daga nin Egipto. Natakot an mga Egipcio sa mga Israelita	Oneng kabang pasakitan da la ring Israelita kanita la lalung merakal at mikalat. Makanyan lang mitakutan ding tau Ehipto karing Israelita.
EXO_001_013	EXO	001	013	kaya ginibo nindang makaherak an buhay kan mga ini sa paagi nin magagabat na trabaho. Mayong pagkaherak na pinirit nindang magtrabaho an mga Israelita sa saindang mga proyektong pagtugdok nin mga edipisyo asin sa gabos na trabaho sa saindang oma.	Inya lalu da la pang inalipusta.
EXO_001_014	EXO	001	014	Dangan sinabihan kan hade si Sifra asin si Pua, mga parterang nagpapaaki sa mga babaeng Hebreyo.	At alang lunus da lang pepagawan laryu at binie da karela ing sablang mabayat a obra king marangle.
EXO_001_015	EXO	001	015	Kun kamo magpaaki sa mga babaeng Hebreyo, gadanon nindo an aki kun lalaki alagad pabayaan nindong mabuhay kun babae.	Misan a aldo, pekisabian na la ning ari na ning Ehipto di Sipra at Pua, ding aduang ilut a papanganak karing babaing Hebreo.
EXO_001_016	EXO	001	016	Alagad dai sinunod kan mga partera an pagboot kan hade huli ta may pagkatakot sinda sa Dios; pinabayaan nindang mabuhay an mga aking lalaki.	Ngana karela, Potang papanganak kayu, kabud akit yu king ing anak a mibait lalaki ya, paten ye. Nung babai ya paburen yeng mie.
EXO_001_017	EXO	001	017	Kaya ipinaapod sinda kan hade dangan hinapot, Tano ta dai kamo nagsunod? Tadaw ta pinabayaan nindong mabuhay an mga aking lalaki?	Oneng ding ilut, uli na ning takut da king Dios, e ra pemintuan ing utus na ning ari. E da la pete ding anak a lalaking mibait.
EXO_001_018	EXO	001	018	Nagsimbag sinda, Iba kaya an mga babaeng Hebreyo sa mga babaeng taga Egipto; bako sindang masakit mangaki, kaya bago umabot an saro samo, nakapangaki na sinda.	Inya pepayaus na la ning ari ning Ehipto at ngana karela, Obat makanyan ing depat yu? Obat pepaburen yu lang mebie ding anak a lalaki?
EXO_001_019	EXO	001	019	Huli kaini, benendisyonan nin Dios an mga partera asin tinawan niya sinda nin dakul na mga aki. Padagos man na nagdakul asin nagkosog an mga Israelita.	Ngarang mekibat ding ilut king ari, Kasi pu deng babaing Hebreo e ra la pu kalupa ding babai tamu keti Ehipto; e la pu magkasakit manganak at akakua rang makapanganak bayu na akuang datang ning ninuman kekami.
