id	book	chapter	verse	source_text	target_text
EXO_001_1	EXO	001	1	Iyo ini an mga aki ni Jacob na nag-iriba saiya pasiring sa Egipto, kaiba an saindang mga pamilya	Ito ang mga pangalan ng mga anak ni Israel na dumating sa Ehipto kasama si Jacob; bawat isa ay kasama ang kanya-kanyang sambahayan
EXO_001_10	EXO	001	10	Kaipuhan magin tuso kita tanganing mapugol an saindang pagdakul, ta kun magkagera, tibaad umapil sinda sa satong mga kaiwal, labanan kita dangan bayaan an satong daga.	Halikayo, pakitunguhan natin sila nang may katusuhan, baka sila'y dumami at mangyari na kapag nagkaroon ng digmaan ay umanib sila sa ating mga kaaway, lumaban sa atin, at umalis sa lupain.
EXO_001_11	EXO	001	11	Kaya nagbugtak sinda nin mga makuring parapamahala tanganing pasakitan an mga Israelita sa paagi nin mga magabat na trabaho. Ipinatugdok sa sainda kan hade an Pitom asin Rameses, mga syudad na sarayan kan mga pagkakan asin kagamitan.	Kaya't naglagay sila ng mga tagapangasiwa upang pahirapan sila sa kanilang mga sapilitang paggawa. Kanilang ipinagtayo si Faraon ng mga lunsod imbakan, ang Pitom at Rameses.
EXO_001_12	EXO	001	12	Alagad kun kasuarin pinasakitan an mga Israelita, lalo logod sindang nagdakul asin orog na nakalakop sa daga nin Egipto. Natakot an mga Egipcio sa mga Israelita	Subalit habang kanilang pinahihirapan sila, lalo silang dumarami at lalong lumalaganap. At kinasuklaman nila ang mga anak ni Israel.
EXO_001_13	EXO	001	13	kaya ginibo nindang makaherak an buhay kan mga ini sa paagi nin magagabat na trabaho. Mayong pagkaherak na pinirit nindang magtrabaho an mga Israelita sa saindang mga proyektong pagtugdok nin mga edipisyo asin sa gabos na trabaho sa saindang oma.	Malupit na pinapaglingkod ng mga Ehipcio ang mga anak ni Israel;
EXO_001_14	EXO	001	14	Dangan sinabihan kan hade si Sifra asin si Pua, mga parterang nagpapaaki sa mga babaeng Hebreyo.	at kanilang pinapait ang kanilang buhay sa pamamagitan ng mahirap na paglilingkod, sa luwad at sa tisa, at sa lahat ng uri ng gawain sa bukid; at sa lahat ng kanilang gawain ay malupit silang pinapaglingkod.
EXO_001_15	EXO	001	15	Kun kamo magpaaki sa mga babaeng Hebreyo, gadanon nindo an aki kun lalaki alagad pabayaan nindong mabuhay kun babae.	Ang hari ng Ehipto ay nagsalita sa mga hilot na mga Hebrea, na ang pangalan ng isa ay Sifra, at ang pangalan ng ikalawa ay Pua.
EXO_001_16	EXO	001	16	Alagad dai sinunod kan mga partera an pagboot kan hade huli ta may pagkatakot sinda sa Dios; pinabayaan nindang mabuhay an mga aking lalaki.	Kanyang sinabi, Paghilot ninyo sa mga babaing Hebrea at pagtingin ninyo sa kanila sa upuang panganganakan, kung lalaki ay papatayin ninyo; ngunit kung babae ay mabubuhay ito.
EXO_001_17	EXO	001	17	Kaya ipinaapod sinda kan hade dangan hinapot, Tano ta dai kamo nagsunod? Tadaw ta pinabayaan nindong mabuhay an mga aking lalaki?	Subalit ang mga hilot ay natakot sa Diyos at hindi nila ginawa ang gaya nang iniutos sa kanila ng hari ng Ehipto, kundi hinayaan nilang mabuhay ang mga batang lalaki.
EXO_001_18	EXO	001	18	Nagsimbag sinda, Iba kaya an mga babaeng Hebreyo sa mga babaeng taga Egipto; bako sindang masakit mangaki, kaya bago umabot an saro samo, nakapangaki na sinda.	Ipinatawag ng hari ng Ehipto ang mga hilot at sinabi sa kanila, Bakit ninyo ginawa ang bagay na ito at hinayaan ninyong mabuhay ang mga batang lalaki?
