id	book	chapter	verse	source_text	target_text
JHN_001_1	JHN	001	1	Antes pa del creacion del mundo, ta existi ya el quien ta llama el Palabra. Este Palabra amo el quien ta expresa todo el pensamiento de Dios. Este Palabra junto con Dios y igual tamen con ele.	Antes pa ngani ginlalang san Dios an kinab-an, igwa nan ginatawag na Surmaton. Ini na Surmaton kaupod niya kag an Surmaton amo an Dios.
JHN_001_10	JHN	001	10	Entonces ese Palabra ta llama tamen el Luz, ya llega ya na mundo. Pero masquin Dios man ya hace este mundo por medio di suyo, ese mismo maga gente que Dios ya crea nuay conoce con ele.	Dati adi na siya sa kinab-an kag bisan ngani ginlalang ini paagi sa iya, dili siya kilala san mga tawo sa kinab-an.
JHN_001_11	JHN	001	11	Ya llega le na di suyo mismo lugar de Israel, pero el maga ciudadano alla nuay recibi con ele.	Nagkadto siya sa iya sadiri na lugar pero wara siya pag-akua san iya mga kalahi.
JHN_001_12	JHN	001	12	Pero tiene di ila ya recibi y ya cree tamen con ele, y con esos maga gente ya dale le el derecho para queda el maga anak de Dios.	Pero sadton mga nag-ako kag nagtuod sa iya ginhatagan niyan otoridad na magin mga anak san Dios.
JHN_001_13	JHN	001	13	Cuando ya queda sila anak de Dios, hende ese por causa del di ila nacimiento natural, sino Dios mismo ya queda el di ila verdadero tata.	Ini sinda nagin mga anak san Dios dili hali sa pagpakatawo, ni sa lawasnon na kaila, ni sa pagbuot san tawo kundi sa pagbuot san Dios mismo.
JHN_001_14	JHN	001	14	Aquel Palabra ya queda un carne humano y ya vivi le junto canaton, y tiene le gran compasion y el entero vida di suyo verdad gayot. Y ya mira came el di suyo poder que ya recibi le cay ele el unico Hijo del Padre Celestial.	Niyan, idton ginatawag na Surmaton nagin tawo kag nag-istar kaupod namon. Mabuot gayod siya kag kamatuudan an pirme niya ginasurmaton. Nakita man namon an glorya san iya pagkadios. Amo ini an glorya san bugtong na anak san Ama.
JHN_001_15	JHN	001	15	Cuando si Juan ta predica, ta habla le acerca del Hijo, y este el cosa ya habla le, Ele ya amo aquel que ya habla yo con ustedes, que de vene despues di mio. Y ele amo el mas importante que conmigo, cay ele ta existi ya man antes pa que conmigo.	Amo siya an ginpamatuudan ni Juan san magpanawagan, Amo ini na tawo an ginasabi ko san ginsurmaton ko na siya na maabot kasunod ko mas labaw ki sa akon, tungod na ada na siya sa katuna-tunai pa antes ngani ako gin-anak.
JHN_001_16	JHN	001	16	Por causa del abundancia del di suyo lastima, todo kita ya recibi el di suyo gran favor, y ta continua le dale canaton ese gran favor.	Niyan, paagi sa dako niya na pagkamuot, nakabaton man kita tanan sin sunod-sunod na mga bendisyon.
JHN_001_17	JHN	001	17	Dios ya dale el ley con el maga Judio por medio di Moises, pero el maga gente ta puede recibi el gran favor y verdad de Dios por medio di Jesucristo.	An Kasuguan san Dios nakaabot sa aton paagi kan Moises pero an grasya kag kamatuudan san Dios paagi kan Jesu-Cristo.
JHN_001_18	JHN	001	18	Nuay ningunos quien ya mira con Dios, sino el di suyo unico Hijo lang, quien ta esta na lao derecha del di suyo Padre, y ele lang amo el quien ya hace entende canaton si cosa el naturaleza de Dios.	Wara pa gayod sin nakakita san Dios kundi an bugtong na anak na Dios man. Siya na palangga san Ama amo man an nagpakilala san Dios mismo.
JHN_001_19	JHN	001	19	El maga lider Judio na Jerusalem ya manda anda con el maga padre Judio y con el maga servidor del templo que ta llama Levitas para pregunta con Juan el Bautista si ele ya ba el Cristo.	San nagsugo an mga namumuno san mga Judio sin mga padi kag mga Levita hali sa Jerusalem agod hungaon si Juan kun sin-o siya, amo ini an pagsabat niya.
JHN_001_2	JHN	001	2	Junto ya le con Dios desde el principio gayot de todo las cosas.	Magkaupod sinda sa katuna-tunai pa,
JHN_001_20	JHN	001	20	Nuay le esconde el verdad, ya contesta le bien claro, Hende yo el Cristo.	Dili ako an Cristo na gintuga san Dios, an hayagan niya na pagsumat.
JHN_001_21	JHN	001	21	Despues ya pregunta sila, Si ansina, quien man gale uste? Si Elias ba?	Tapos naghunga sinda sa iya, Sin-o ka man gali? Ikaw ba si Elias?
JHN_001_22	JHN	001	22	Ya contesta si Juan, Hende yo si Elias.	Nagsabat siya, Dili ako.
JHN_001_23	JHN	001	23	Y ya pregunta ya tamen sila con ele, Uste ba el profeta que Dios ya promete para manda con el di aton nacion?	Nano, ikaw an propeta na gintuga san Dios? hunga naman ninda.
JHN_001_24	JHN	001	24	Ya contesta otra vez si Juan, Hende yo aquel profeta.	Dili, an ginsabat niya.
