id	book	chapter	verse	source_text	target_text
JHN_001_1	JHN	001	1	Antes pa del creacion del mundo, ta existi ya el quien ta llama el Palabra. Este Palabra amo el quien ta expresa todo el pensamiento de Dios. Este Palabra junto con Dios y igual tamen con ele.	Sapul pa ten sapul ay ked dn en Upos, kaguman nen Diyos en Upos, sakay en Upos ay siya dn en Diyos.
JHN_001_10	JHN	001	10	Entonces ese Palabra ta llama tamen el Luz, ya llega ya na mundo. Pero masquin Dios man ya hace este mundo por medio di suyo, ese mismo maga gente que Dios ya crea nuay conoce con ele.	Dummemt en Upos ti munduwiday, peru awan siya tinenggi ni munduwiday maski ni linalang i munduwiday ten pamamag-itan na.
JHN_001_11	JHN	001	11	Ya llega le na di suyo mismo lugar de Israel, pero el maga ciudadano alla nuay recibi con ele.	Ummangay siya ten sadili na a banuwan, peru awan siya tinanggap nen kabanuwan na hidi.
JHN_001_12	JHN	001	12	Pero tiene di ila ya recibi y ya cree tamen con ele, y con esos maga gente ya dale le el derecho para queda el maga anak de Dios.	Peru en atanan a nangtanggap sakay summampalataya dikona ay intdenan na ti karapatan a magin anak nen Diyos.
JHN_001_13	JHN	001	13	Cuando ya queda sila anak de Dios, hende ese por causa del di ila nacimiento natural, sino Dios mismo ya queda el di ila verdadero tata.	Nagin anak ngani hidi nen Diyos bakn a ten pamamag-itan nen pisikal a kkkeenak oni gapu ten kagustuwan nen tolay, nan gapu ten kaluuban nen Diyos.
JHN_001_14	JHN	001	14	Aquel Palabra ya queda un carne humano y ya vivi le junto canaton, y tiene le gran compasion y el entero vida di suyo verdad gayot. Y ya mira came el di suyo poder que ya recibi le cay ele el unico Hijo del Padre Celestial.	En Upos ay nagin tolay sakay nkpgyan dikomi. Netan mi en kaluwalhatian na bilang bugtung a anak nen Ama. Putat siya ti kabaitan sakay katutuhanan.
JHN_001_15	JHN	001	15	Cuando si Juan ta predica, ta habla le acerca del Hijo, y este el cosa ya habla le, Ele ya amo aquel que ya habla yo con ustedes, que de vene despues di mio. Y ele amo el mas importante que conmigo, cay ele ta existi ya man antes pa que conmigo.	Impahayag siya ni Juan, sakay impkraw na ten tolay hidi a, Siya en kinagi ku dikomoy a, En dumemt a kasunud ku ay mataas nan sikn, gapu baguwk a neenak ay ked dn siya.
JHN_001_16	JHN	001	16	Por causa del abundancia del di suyo lastima, todo kita ya recibi el di suyo gran favor, y ta continua le dale canaton ese gran favor.	Gapu putat siya ti pgmahal, ay naranasan tam a atanan en tulos-tulos a pagpapala.
JHN_001_17	JHN	001	17	Dios ya dale el ley con el maga Judio por medio di Moises, pero el maga gente ta puede recibi el gran favor y verdad de Dios por medio di Jesucristo.	Neatd dikomi en Kautusan nen Diyos ten pamamag-itan ni Moises, peru en kabaitan sakay katutuhanan ay neatd ten pamamag-itan ni Jesu-Cristo.
JHN_001_18	JHN	001	18	Nuay ningunos quien ya mira con Dios, sino el di suyo unico Hijo lang, quien ta esta na lao derecha del di suyo Padre, y ele lang amo el quien ya hace entende canaton si cosa el naturaleza de Dios.	Maski nikan ay awan palla ti naketa ten Diyos. Peru impakilala siya nen bugtung a Anak a tunay a kasayaan nen Ama.
