id	book	chapter	verse	source_text	target_text
EXO_001_001	EXO	001	001	Mao kini ang mga anak nga lalaki ni Jacob nga mikuyog kaniya uban ang ilang tagsatagsa ka banay sa pag-adto niya sa Ehipto	Dagitoy ti nagan dagiti annak ni Jacob a kimmuyog kenkuana a napan idiay Egipto agraman dagiti familiada
EXO_001_002	EXO	001	002	Si Ruben, si Simeon, si Levi, si Juda,	Ruben, Simeon, Levi, Juda,
EXO_001_003	EXO	001	003	si Isacar, si Zabulon, si Benjamin,	Issacar, Zabulon, Benjamin,
EXO_001_004	EXO	001	004	si Dan, si Neftali, si Gad ug si Aser.	Dan, Neftali, Gad ken Aser.
EXO_001_005	EXO	001	005	Ang tanang kaliwat ni Jacob miabot ug 70. Niadtong higayona didto na si Jose sa Ehipto.	Pitopulo ti dagup dagiti annak a nagtaud ken ni Jacob. Adda idin ni Jose nga anakna idiay Egipto.
EXO_001_006	EXO	001	006	Unya namatay si Jose ug ang iyang mga igsoon ingon man ang tanan niadtong kaliwatana.	Natay sadiay ni Jose, kasta met amin a kakabsatna ken amin daydi a kaputotan.
EXO_001_007	EXO	001	007	Apan midaghan ug nahimong gamhanan ang mga Israelita ug nalukop ang Ehipto kanila.	Nupay kasta, napardas ti panagadu dagiti Israelita, isu a pimmigsada ket nagwaras dagiti kaputotanda iti entero nga Egipto.
EXO_001_008	EXO	001	008	Unya may bag-ong hari sa Ehipto nga wala masayod bahin kang Jose.	Naglabas ti tiempo. Nagturay idiay Egipto ti baro nga ari nga awan ti ammona maipapan ken ni Jose.
EXO_001_009	EXO	001	009	Miingon siya sa iyang katawhan, Tan-awa ninyo, daghan na kaayo ang mga Israelita ug mas gamhanan na sila kay kanato.	Kitaenyo, kinuna ti ari kadagiti iturayanna. Agpeggadtayo ta nakaad-adu ken nabileg unayen dagiti Israelita.
EXO_001_010	EXO	001	010	Busa mangita kitag paagi aron dili magkadugang ang ilang gidaghanon kay tingali unyag sa panahon sa gubat motipon sila sa atong mga kaaway ug makigbatok kanato ug unya mobiya sa nasod.	Masapul nga agaramidtayo iti pamuspusan tapno malapdan ti panagaduda. Ta no adda gubat, amangan no kumapponda kadagiti kabusor a manggubat kadatayo, ket aglibasda a pumanaw iti dagatayo.
EXO_001_011	EXO	001	011	Busa gibutangan nilag mga kapatas ang mga Israelita aron pugson sila sa pagpatrabaho sa bug-at nga buluhaton. Gitukod sa mga Israelita alang sa hari sa Ehipto ang mga siyudad sa Pitom ug Rameses aron himoong tigomanan sa mga pagkaon.	Iti kasta, nangdutokda kadagiti narungsot a kapatas a mangparigat kadagiti Israelita nga agtrabaho iti nadagdagsen pay ngem iti sigud nga ar-aramidenda. Binangon dagiti Israelita ti Pitom ken Rameses, dua a siudad a pagidulinan iti makan.
EXO_001_012	EXO	001	012	Apan sa diha nga mas gidaugdaog sila sa mga Ehiptohanon, misamot hinuog kadaghan ang mga Israelita ug nakatag pag-ayo sa nasod, maoy hinungdan nga nangahadlok ang mga Ehiptohanon.	Ngem no kasano ti panangparparigat dagiti Egipcio kadakuada, immad-aduda ketdi ket nagwarasda. Isut' gapuna a kinabuteng ida dagiti Egipcio.
EXO_001_013	EXO	001	013	Busa giulipon sila sa mga Ehiptohanon ug gipaantos sa bug-at nga trabaho.	Naranggas ti panangtagabuda kadagiti Israelita.
EXO_001_014	EXO	001	014	Gilisudlisod sila pag-ayo sa ilang pagpuyo pinaagi sa paghimo kanila nga tighimog tisa ug gipatrabaho sila sa tanang matang sa lisod nga trabaho sa walay kukaluoy.	Rimmigat ti biagda. Pinilitda ida nga agtrabaho kadagiti talonda ken agipasdek kadagiti patakderda. Dida naasian kadakuada.
EXO_001_015	EXO	001	015	Unya giingnan sa hari sa Ehipto si Sipra ug si Pua, ang mga mananabang nga Hebreo,	Kinasao ti ari ti Egipto dagiti partera a Hebreo ket imbilinna kadakuada, No paanakenyo dagiti Hebreo, patayenyo ti maladaga no lalaki. Ngem no babai, bay-anyo nga agbiag.
EXO_001_016	EXO	001	016	Inigpanabang ninyo sa mga babayeng Hebreo, patya ang bata kon lalaki apan kon babaye, tugoti nga mabuhi.	Maysa kadagitoy a partera ti agnagan iti Zifra ket Pua ti nagan met ti sabali.
EXO_001_017	EXO	001	017	Apan nahadlok sa Dios ang mga mananabang busa wala nila tumana ang gisugo sa hari. Gitugotan hinuon nila nga mabuhi ang mga batang lalaki.	Ngem managbuteng dagiti partera iti Dios ket saanda a tinungpal ti bilin ti ari. Binay-anda nga agbiag dagiti maladaga a lallaki.
EXO_001_018	EXO	001	018	Unya gipatawag sila sa hari ug gipangutana, Nganong wala man ninyo patya ang mga batang lalaki?	Pinaayaban ngarud ti ari dagiti partera. Sinaludsodna, Apay a kasta ti ar-aramidenyo? Apay a palpalubosanyo nga agbiag dagiti lallaki a maladaga?
EXO_001_019	EXO	001	019	Mitubag sila, Ang mga babayeng Hebreo dili sama sa mga babayeng Ehiptohanon. Dali kaayo silang manganak ug mahimugso na ang bata sa dili pa kami moabot.	Sabali ngamin dagiti babbai a Hebreo, apo, insungbatda. Saanda a kas kadagiti babbai nga Egipcio. Nalakada nga aganak. Sakbay nga adda sumangpet a partera, naipasngayen ti ubing.
