id	book	chapter	verse	source_text	target_text
EXO_001_1	EXO	001	1	Mao kini ang mga anak nga lalaki ni Jacob nga mikuyog kaniya uban ang ilang tagsatagsa ka banay sa pag-adto niya sa Ehipto	Amo ini ang mga ngalan sang mga anak nga lalaki ni Jacob nga nagkadto sa Ehipto upod sa iya, ang tagsatagsa upod sa iya panimalay. Sila amo sanday
EXO_001_10	EXO	001	10	Busa mangita kitag paagi aron dili magkadugang ang ilang gidaghanon kay tingali unyag sa panahon sa gubat motipon sila sa atong mga kaaway ug makigbatok kanato ug unya mobiya sa nasod.	Karon pamatii ninyo! Pangitaan naton sang paagi nga indi na gid sila magdamo. Kay kon may inaway, basi magdampig sila sa aton mga kaaway sa pag-away batok sa aton, kag magpalagyo sila sa aton pungsod.
EXO_001_11	EXO	001	11	Busa gibutangan nilag mga kapatas ang mga Israelita aron pugson sila sa pagpatrabaho sa bug-at nga buluhaton. Gitukod sa mga Israelita alang sa hari sa Ehipto ang mga siyudad sa Pitom ug Rameses aron himoong tigomanan sa mga pagkaon.	Gani ginbutangan sila sing mga mapintas nga mga kabo sa pagpaobra sa ila sing pataypatay agod magluya sila. Ang mga Israelinhon nagpatindog sang mga siudad sang Pitom kag Rameses para sa hari nga pagatipunan nila sing mga pagkaon.
EXO_001_12	EXO	001	12	Apan sa diha nga mas gidaugdaog sila sa mga Ehiptohanon, misamot hinuog kadaghan ang mga Israelita ug nakatag pag-ayo sa nasod, maoy hinungdan nga nangahadlok ang mga Ehiptohanon.	Pero sa nagadugang ang pagpigos sang mga Ehiptohanon sa mga Israelinhon, tapat pa gani nga nagadamo kag nagalapnag sila. Ang mga Ehiptohanon nagkahadlok sa mga Israelinhon.
EXO_001_13	EXO	001	13	Busa giulipon sila sa mga Ehiptohanon ug gipaantos sa bug-at nga trabaho.	Gani mapintas nga gin-ulipon nila ang mga Israelinhon,
EXO_001_14	EXO	001	14	Gilisudlisod sila pag-ayo sa ilang pagpuyo pinaagi sa paghimo kanila nga tighimog tisa ug gipatrabaho sila sa tanang matang sa lisod nga trabaho sa walay kukaluoy.	kag ginpabudlay ang ila pagkabuhi paagi sa pagpaobra sa ila sa lunang kag sa tisa, kag sang tanan nga sahi sang obra sa uma. Ginpilit nila sila sa paghimo sang tanan nga mabug-at nga mga obra.
EXO_001_15	EXO	001	15	Unya giingnan sa hari sa Ehipto si Sipra ug si Pua, ang mga mananabang nga Hebreo,	Dayon ang hari sang Ehipto naghambal sa mga paltera nga nagapabata sa mga babayi nga mga Hebreo. Ang isa ginhingalanan kay Sipra kag ang isa kay Pua.
EXO_001_16	EXO	001	16	Inigpanabang ninyo sa mga babayeng Hebreo, patya ang bata kon lalaki apan kon babaye, tugoti nga mabuhi.	Nagsiling ang hari, Kon nagapabata kamo sang Hebreo nga mga babayi amo ini ang inyo pagahimuon: kon ang lapsag lalaki, patyon ninyo; pero kon babayi ini, pabayai lang nga mabuhi.
EXO_001_17	EXO	001	17	Apan nahadlok sa Dios ang mga mananabang busa wala nila tumana ang gisugo sa hari. Gitugotan hinuon nila nga mabuhi ang mga batang lalaki.	Pero ang mga paltera wala magtuman sa hari kay nahadlok sila sa Dios. Sa baylo ginpabay-an nila nga mabuhi ang mga lapsag nga lalaki.
EXO_001_18	EXO	001	18	Unya gipatawag sila sa hari ug gipangutana, Nganong wala man ninyo patya ang mga batang lalaki?	Gani ginpatawag sang hari ang mga paltera kag ginpamangkot, Ngaa bala nga ginhimo ninyo ini kag ginpabay-an nga mabuhi ang mga lapsag nga lalaki?
EXO_001_19	EXO	001	19	Mitubag sila, Ang mga babayeng Hebreo dili sama sa mga babayeng Ehiptohanon. Dali kaayo silang manganak ug mahimugso na ang bata sa dili pa kami moabot.	Nagsabat sila, Ang mga babayi nga Hebreo indi pareho sang mga babayi nga Ehiptohanon; mahapos sila magbata nga sa wala pa gani kami makaabot nakabata na sila.
EXO_001_2	EXO	001	2	Si Ruben, si Simeon, si Levi, si Juda,	Ruben, Simeon, Levi, Juda,
EXO_001_20	EXO	001	20	Tungod kay ang mga mananabang mahadlokon man sa Dios, ang Dios naluoy kanila ug gihatagan silag mga anak. Ug ang mga Israelita nagpadayon sa pagsanay ug nahimong gamhanan.	Bangod kay nagakahadlok ang mga paltera sa Dios, ang Dios nagmaayo sa ila kag ginhatagan niya sila sang ila kaugalingon nga mga panimalay kag nagdamo nga nagdamo ang mga Israelinhon, kag nangingamhanan sila.
EXO_001_21	EXO	001	21	Unya gisugo sa hari sa Ehipto ang tanan niyang katawhan: Itambog ngadto sa Suba sa Nilo ang tanang batang lalaki nga Hebreo nga bag-ong natawo apan ayaw iapil ang mga batang babaye.	Dayon ang hari nagmando sa tanan niya nga mga ginsakpan: Ihaboy ninyo sa Suba sang Nilo ang tagsa ka bata nga lalaki nga matawo sa mga Hebreo, pero pabay-i lang ninyo ang mga bata nga babayi nga mabuhi.
EXO_001_3	EXO	001	3	si Isacar, si Zabulon, si Benjamin,	Isacar, Zabulon, Benjamin,
EXO_001_4	EXO	001	4	si Dan, si Neftali, si Gad ug si Aser.	Dan, Neftali, Gad, kag Aser.
EXO_001_5	EXO	001	5	Ang tanang kaliwat ni Jacob miabot ug 70. Niadtong higayona didto na si Jose sa Ehipto.	Ang kadamuon sang mga kaliwat ni Jacob setenta tanan. Si Jose nga iya anak didto na nga daan sa Ehipto.
EXO_001_6	EXO	001	6	Unya namatay si Jose ug ang iyang mga igsoon ingon man ang tanan niadtong kaliwatana.	Sang ulihi si Jose kag ang iya mga utod nga lalaki nagkalamatay, subong man yadtong bug-os nga henerasyon.
EXO_001_7	EXO	001	7	Apan midaghan ug nahimong gamhanan ang mga Israelita ug nalukop ang Ehipto kanila.	Pero ang mga kaliwat ni Israel may madamo nga mga kaanakan, nagmuad gid sila kag nagmabakod, sa bagay nga naglapnag sila sa duta sang Ehipto.
