id	book	chapter	verse	source_text	target_text
EXO_001_001	EXO	001	001	Mao kini ang mga anak nga lalaki ni Jacob nga mikuyog kaniya uban ang ilang tagsatagsa ka banay sa pag-adto niya sa Ehipto	Oreti ding lagyu da ring anak nang lalaking Jacob a minta karin Ehipto a kayabe na at ding pamilya ra
EXO_001_002	EXO	001	002	Si Ruben, si Simeon, si Levi, si Juda,	i Ruben, Simeon, Levi, Juda,
EXO_001_003	EXO	001	003	si Isacar, si Zabulon, si Benjamin,	Isacar, Zebulun, Benjamin,
EXO_001_004	EXO	001	004	si Dan, si Neftali, si Gad ug si Aser.	Dan, Neftali, Gad ampon i Aser.
EXO_001_005	EXO	001	005	Ang tanang kaliwat ni Jacob miabot ug 70. Niadtong higayona didto na si Jose sa Ehipto.	Pitu lang pulu kabilangan ding heganaganang lahi nang Jacob. Atyu ne kanita i Jose karin Ehipto.
EXO_001_006	EXO	001	006	Unya namatay si Jose ug ang iyang mga igsoon ingon man ang tanan niadtong kaliwatana.	Kaybat na nita, mete ya i Jose at ding sabla nang kapatad ampon ding anak da ring anak da.
EXO_001_007	EXO	001	007	Apan midaghan ug nahimong gamhanan ang mga Israelita ug nalukop ang Ehipto kanila.	Oneng menganak la ding Israelita a lahi da at merakal na lang merakal; mabilis lang merakal at tutung masikan angga king milaganapan ya karela ing Ehipto.
EXO_001_008	EXO	001	008	Unya may bag-ong hari sa Ehipto nga wala masayod bahin kang Jose.	Linabas ing panaun at ing Ehipto mika bayu yang ari a ala nang bitasang balu tungkul kang Jose.
EXO_001_009	EXO	001	009	Miingon siya sa iyang katawhan, Tan-awa ninyo, daghan na kaayo ang mga Israelita ug mas gamhanan na sila kay kanato.	Nganang sinabi karing sasakupan na, Lawan yu, mas dakal la at masikan kesa kekatamu deting Israelita.
EXO_001_010	EXO	001	010	Busa mangita kitag paagi aron dili magkadugang ang ilang gidaghanon kay tingali unyag sa panahon sa gubat motipon sila sa atong mga kaaway ug makigbatok kanato ug unya mobiya sa nasod.	Nung sakaling lusuban da katamu ding kalaban pota makikampi la pa karela at kaybat takasan de ing bansa tamu. Inya kailangan tamung lumawe paralan ban e na la dakal pa.
EXO_001_011	EXO	001	011	Busa gibutangan nilag mga kapatas ang mga Israelita aron pugson sila sa pagpatrabaho sa bug-at nga buluhaton. Gitukod sa mga Israelita alang sa hari sa Ehipto ang mga siyudad sa Pitom ug Rameses aron himoong tigomanan sa mga pagkaon.	Inya mibili lang kapatas karing Israelita ban pasakitan da la king kapamilatan na ning mabayat a obra. Makanyan lang mengapuersa ding Israelita king pamitalakad karing siudad ning Pitom at Rameses a pipagponduan nang kabiayan at kagamitan ning ari.
EXO_001_012	EXO	001	012	Apan sa diha nga mas gidaugdaog sila sa mga Ehiptohanon, misamot hinuog kadaghan ang mga Israelita ug nakatag pag-ayo sa nasod, maoy hinungdan nga nangahadlok ang mga Ehiptohanon.	Oneng kabang pasakitan da la ring Israelita kanita la lalung merakal at mikalat. Makanyan lang mitakutan ding tau Ehipto karing Israelita.
EXO_001_013	EXO	001	013	Busa giulipon sila sa mga Ehiptohanon ug gipaantos sa bug-at nga trabaho.	Inya lalu da la pang inalipusta.
EXO_001_014	EXO	001	014	Gilisudlisod sila pag-ayo sa ilang pagpuyo pinaagi sa paghimo kanila nga tighimog tisa ug gipatrabaho sila sa tanang matang sa lisod nga trabaho sa walay kukaluoy.	At alang lunus da lang pepagawan laryu at binie da karela ing sablang mabayat a obra king marangle.
EXO_001_015	EXO	001	015	Unya giingnan sa hari sa Ehipto si Sipra ug si Pua, ang mga mananabang nga Hebreo,	Misan a aldo, pekisabian na la ning ari na ning Ehipto di Sipra at Pua, ding aduang ilut a papanganak karing babaing Hebreo.
EXO_001_016	EXO	001	016	Inigpanabang ninyo sa mga babayeng Hebreo, patya ang bata kon lalaki apan kon babaye, tugoti nga mabuhi.	Ngana karela, Potang papanganak kayu, kabud akit yu king ing anak a mibait lalaki ya, paten ye. Nung babai ya paburen yeng mie.
EXO_001_017	EXO	001	017	Apan nahadlok sa Dios ang mga mananabang busa wala nila tumana ang gisugo sa hari. Gitugotan hinuon nila nga mabuhi ang mga batang lalaki.	Oneng ding ilut, uli na ning takut da king Dios, e ra pemintuan ing utus na ning ari. E da la pete ding anak a lalaking mibait.
EXO_001_018	EXO	001	018	Unya gipatawag sila sa hari ug gipangutana, Nganong wala man ninyo patya ang mga batang lalaki?	Inya pepayaus na la ning ari ning Ehipto at ngana karela, Obat makanyan ing depat yu? Obat pepaburen yu lang mebie ding anak a lalaki?
EXO_001_019	EXO	001	019	Mitubag sila, Ang mga babayeng Hebreo dili sama sa mga babayeng Ehiptohanon. Dali kaayo silang manganak ug mahimugso na ang bata sa dili pa kami moabot.	Ngarang mekibat ding ilut king ari, Kasi pu deng babaing Hebreo e ra la pu kalupa ding babai tamu keti Ehipto; e la pu magkasakit manganak at akakua rang makapanganak bayu na akuang datang ning ninuman kekami.
EXO_001_020	EXO	001	020	Tungod kay ang mga mananabang mahadlokon man sa Dios, ang Dios naluoy kanila ug gihatagan silag mga anak. Ug ang mga Israelita nagpadayon sa pagsanay ug nahimong gamhanan.	Metula ya ing Dios karing ilut at lalu lang merakal ampon mesikan ding Israelita.
EXO_001_021	EXO	001	021	Unya gisugo sa hari sa Ehipto ang tanan niyang katawhan: Itambog ngadto sa Suba sa Nilo ang tanang batang lalaki nga Hebreo nga bag-ong natawo apan ayaw iapil ang mga batang babaye.	Uling atin lang takut ding ilut king Dios, binendisyunan na la ning Dios at dininan sarasariling pamilya.
EXO_002_001	EXO	002	001	Usa ka lalaki sa banay ni Levi naminyo sa usa ka babaye sa mao gihapong banay.	Ating metung a lalaking mibait king tribu nang Levi a mekapakiasawa king metung a babaing mibait munaman king tribung ita.
EXO_002_002	EXO	002	002	Nagmabdos ang asawa ug nanganak ug batang lalaki. Sa dihang nakita niya nga guwapo ang bata, gitagoan niya kini sulod sa tulo ka bulan.	Mikayanak lang metung a lalaki. Masanting ya ing anak, inya selikut ne ning ima kilub ding atlung bulan.
EXO_002_003	EXO	002	003	Apan sa dihang dili na gayod mahimo ang pagtago kaniya, gikuha niya ang usa ka basket nga hinimo gikan sa mga bugang ug gibulit niya kinig aspalto. Gisulod niya sa basket ang bata ug gibutang kini sa kasagbotan daplin sa suba.	Inyang e na ne agyung isalikut, kinangwa yang maragul a takba a megawa king tangke ning timbu, at penapalan neng alketran ban e ne aluban ning danum. Lilan ne keting takba iting anak, at kaybat binili ne ing takba libutad ding timbu king pampang ning ilug.
EXO_002_004	EXO	002	004	Ang igsoong babaye sa bata nagtindog sa layulayo aron pagtan-aw unsay mahitabo sa bata.	Makabante ya ing atsi na ning anak king makarayung bagya ban lawan na nung nanu ing mapalyari king wali na.
EXO_002_005	EXO	002	005	Niadtong higayona ang babayeng anak sa hari sa Ehipto miadto sa suba aron maligo samtang ang mga sulugoon niya naglakawlakaw daplin sa suba. Unya nakita sa prinsesa ang basket didto sa kasagbotan ug gisugo niya ang iyang ulipong babaye sa pagkuha niini.	Dinulung ya king ilug ing prinsesang anak ning ari ban mandilu kabang ding babaing mamantabe king prinsesa lakad-lakad la king pampang ning ilug. Ikit ne ning prinsesa ing takba a makalibutad karing timbu. Pepakua ne king metung karing babaing mamantabe.
