id	book	chapter	verse	source_text	target_text
EXO_001_001	EXO	001	001	Dagitoy ti nagan dagiti annak ni Jacob a kimmuyog kenkuana a napan idiay Egipto agraman dagiti familiada	Amo ini ang mga ngalan sang mga anak nga lalaki ni Jacob nga nagkadto sa Ehipto upod sa iya, ang tagsatagsa upod sa iya panimalay. Sila amo sanday
EXO_001_002	EXO	001	002	Ruben, Simeon, Levi, Juda,	Ruben, Simeon, Levi, Juda,
EXO_001_003	EXO	001	003	Issacar, Zabulon, Benjamin,	Isacar, Zabulon, Benjamin,
EXO_001_004	EXO	001	004	Dan, Neftali, Gad ken Aser.	Dan, Neftali, Gad, kag Aser.
EXO_001_005	EXO	001	005	Pitopulo ti dagup dagiti annak a nagtaud ken ni Jacob. Adda idin ni Jose nga anakna idiay Egipto.	Ang kadamuon sang mga kaliwat ni Jacob setenta tanan. Si Jose nga iya anak didto na nga daan sa Ehipto.
EXO_001_006	EXO	001	006	Natay sadiay ni Jose, kasta met amin a kakabsatna ken amin daydi a kaputotan.	Sang ulihi si Jose kag ang iya mga utod nga lalaki nagkalamatay, subong man yadtong bug-os nga henerasyon.
EXO_001_007	EXO	001	007	Nupay kasta, napardas ti panagadu dagiti Israelita, isu a pimmigsada ket nagwaras dagiti kaputotanda iti entero nga Egipto.	Pero ang mga kaliwat ni Israel may madamo nga mga kaanakan, nagmuad gid sila kag nagmabakod, sa bagay nga naglapnag sila sa duta sang Ehipto.
EXO_001_008	EXO	001	008	Naglabas ti tiempo. Nagturay idiay Egipto ti baro nga ari nga awan ti ammona maipapan ken ni Jose.	Karon may isa ka bag-o nga hari nga naggahom sa Ehipto. Wala sia makakilala kay Jose.
EXO_001_009	EXO	001	009	Kitaenyo, kinuna ti ari kadagiti iturayanna. Agpeggadtayo ta nakaad-adu ken nabileg unayen dagiti Israelita.	Ang hari nagsiling sa iya mga ginsakpan, Tan-awa ninyo, ini nga mga tawo nga Israelinhon nagadamo kag nagabakod, kag nabutang kita sa katalagman.
EXO_001_010	EXO	001	010	Masapul nga agaramidtayo iti pamuspusan tapno malapdan ti panagaduda. Ta no adda gubat, amangan no kumapponda kadagiti kabusor a manggubat kadatayo, ket aglibasda a pumanaw iti dagatayo.	Karon pamatii ninyo! Pangitaan naton sang paagi nga indi na gid sila magdamo. Kay kon may inaway, basi magdampig sila sa aton mga kaaway sa pag-away batok sa aton, kag magpalagyo sila sa aton pungsod.
EXO_001_011	EXO	001	011	Iti kasta, nangdutokda kadagiti narungsot a kapatas a mangparigat kadagiti Israelita nga agtrabaho iti nadagdagsen pay ngem iti sigud nga ar-aramidenda. Binangon dagiti Israelita ti Pitom ken Rameses, dua a siudad a pagidulinan iti makan.	Gani ginbutangan sila sing mga mapintas nga mga kabo sa pagpaobra sa ila sing pataypatay agod magluya sila. Ang mga Israelinhon nagpatindog sang mga siudad sang Pitom kag Rameses para sa hari nga pagatipunan nila sing mga pagkaon.
