id	book	chapter	verse	source_text	target_text
EXO_001_1	EXO	001	1	Dagitoy ti nagan dagiti annak ni Jacob a kimmuyog kenkuana a napan idiay Egipto agraman dagiti familiada	Saray anak nen Jacob tan saray pamilya ra a kaiba to ran linmad Egipto et saraya
EXO_001_10	EXO	001	10	Masapul nga agaramidtayo iti pamuspusan tapno malapdan ti panagaduda. Ta no adda gubat, amangan no kumapponda kadagiti kabusor a manggubat kadatayo, ket aglibasda a pumanaw iti dagatayo.	Gawaen tayoy kasiliban a pamatonda na idadakel da, ta no walay onsabi-sabin bakal, ag la pigan migampi rad saray kalaban tayo. Onlaban irad satan ed sikatayo, insan da taynan so bansa tayo.
EXO_001_11	EXO	001	11	Iti kasta, nangdutokda kadagiti narungsot a kapatas a mangparigat kadagiti Israelita nga agtrabaho iti nadagdagsen pay ngem iti sigud nga ar-aramidenda. Binangon dagiti Israelita ti Pitom ken Rameses, dua a siudad a pagidulinan iti makan.	Kanyan angipasen iray Egipsio na saray opisyal a mamairap ed saray Israelita. Impankikimey da ra na ambelat diad impamaalagey dad saray siudad na Pitom tan Rameses a panangisempenay abasto na ari.
EXO_001_12	EXO	001	12	Ngem no kasano ti panangparparigat dagiti Egipcio kadakuada, immad-aduda ketdi ket nagwarasda. Isut' gapuna a kinabuteng ida dagiti Egipcio.	Balet no panoy impanpapairap na saray Egipsio ed saray Israelita, lalon ondarakel ira tan onaawang so pasen a panaayaman da. Apagaan ed satan iray Egipsio ed saray Israelita,
EXO_001_13	EXO	001	13	Naranggas ti panangtagabuda kadagiti Israelita.	kanyan impagmaliw dan masegsegang so bilay da. Pinapasoot da ran inaripen. Impankikimey da rad panagmasa na dalin tan diad panaggawa na laryo; impankikimey da met ni rad kaalogan da. Ag da ran balut kinasian.
EXO_001_14	EXO	001	14	Rimmigat ti biagda. Pinilitda ida nga agtrabaho kadagiti talonda ken agipasdek kadagiti patakderda. Dida naasian kadakuada.	Insan say ari na Egipto akisalitad kindi Sifra tan Pua, saray duaran manamianak a Hebrea.
EXO_001_15	EXO	001	15	Kinasao ti ari ti Egipto dagiti partera a Hebreo ket imbilinna kadakuada, No paanakenyo dagiti Hebreo, patayenyo ti maladaga no lalaki. Ngem no babai, bay-anyo nga agbiag.	Inkuantod sikara, No mamaanak kayod saray bibiin Hebrea, patey yo so ogaw no laki, balet ag yo papateyen no bii.
EXO_001_16	EXO	001	16	Maysa kadagitoy a partera ti agnagan iti Zifra ket Pua ti nagan met ti sabali.	Balet sarayan manamianak, lapud walay takot dad Dios, ag da inonur imay ingganggan na ari ed sikara; ag da pinatey iray ogogaw a lalaki.
EXO_001_17	EXO	001	17	Ngem managbuteng dagiti partera iti Dios ket saanda a tinungpal ti bilin ti ari. Binay-anda nga agbiag dagiti maladaga a lallaki.	Impatawag to sirin ira yan manamianak tan tinepet tod sikara, Akin et onyay gagawaen yo? Akin et ag yo papateyen iray ogogaw a lalaki?
EXO_001_18	EXO	001	18	Pinaayaban ngarud ti ari dagiti partera. Sinaludsodna, Apay a kasta ti ar-aramidenyo? Apay a palpalubosanyo nga agbiag dagiti lallaki a maladaga?	Inmebat ira may manamianak, Aliwan singa saray bibiin Egipsia iray bibiin Hebrea, ta mainomay iran mananak; ag ni sinmabiy manamianak et akapananak la ra.
EXO_001_19	EXO	001	19	Sabali ngamin dagiti babbai a Hebreo, apo, insungbatda. Saanda a kas kadagiti babbai nga Egipcio. Nalakada nga aganak. Sakbay nga adda sumangpet a partera, naipasngayen ti ubing.	Lapud sarayan manamianak et walay takot dad Dios, tinumangan ira na Dios tan initdan to ray anak da. Ag tinmonda so indakel na saray Israelita tan nagmaliw iran makapanyarin tuloy.
EXO_001_2	EXO	001	2	Ruben, Simeon, Levi, Juda,	Ruben, Simeon, Levi, Juda,
EXO_001_20	EXO	001	20	Gapu ta managbuteng dagiti partera iti Dios, binendisionanna dagitoy, ket naikkanda iti bukodda a familia.	Diad satan, say ari angipaakseb na sakey a ganggan ed saray amin a totoo to: Ipaanur yod Ilog na Nilo so balang Hebreon laki a kapangyanak, balet ag yo papateyen iray kapangyanak a bibii.
EXO_001_3	EXO	001	3	Issacar, Zabulon, Benjamin,	Isacar, Zabulon, Benjamin,
EXO_001_4	EXO	001	4	Dan, Neftali, Gad ken Aser.	Dan, Neftali, Gad, tan Aser.
EXO_001_5	EXO	001	5	Pitopulo ti dagup dagiti annak a nagtaud ken ni Jacob. Adda idin ni Jose nga anakna idiay Egipto.	Pitomplo ya amin iray anak tan apo nen Jacob, a pati si Jose a wadman la ed Egipto.
EXO_001_6	EXO	001	6	Natay sadiay ni Jose, kasta met amin a kakabsatna ken amin daydi a kaputotan.	Diad impankurang na panaon si Jose, saramay agagi to, tan amin a totoo ed saman a kailalakan et inaatey ira.
EXO_001_7	EXO	001	7	Nupay kasta, napardas ti panagadu dagiti Israelita, isu a pimmigsada ket nagwaras dagiti kaputotanda iti entero nga Egipto.	Balet amayamay iray anak tan apo na saman a kailalakan, a salanti saray Israelita; dinmakerakel ira tan nagmaliw iran makapanyarin tuloy, kanyan kinmayat iran nanayam ed intiron bansa na Egipto.
EXO_001_8	EXO	001	8	Naglabas ti tiempo. Nagturay idiay Egipto ti baro nga ari nga awan ti ammona maipapan ken ni Jose.	Sinmabiy panaon a walay balon ari na Egipto ya ag to kabat si Jose.
EXO_001_9	EXO	001	9	Kitaenyo, kinuna ti ari kadagiti iturayanna. Agpeggadtayo ta nakaad-adu ken nabileg unayen dagiti Israelita.	Sayan ari inkuantod saray totoo to, Makapataktakot la ra yan Israelita, ta dakerakel tan makapanyari la ra nen say sikatayo.
EXO_002_1	EXO	002	1	Iti daydi a panawen, adda lalaki a nagtaud iti kaputotan ni Levi a nangasawa iti katribuanna.	Diad saman a panaon walay sakey a lakin kabyangay boleg nen Levi ya angasaway biin kabolegan to.
