id	book	chapter	verse	source_text	target_text
EXO_001_001	EXO	001	001	Amo ini ang mga ngalan sang mga anak nga lalaki ni Jacob nga nagkadto sa Ehipto upod sa iya, ang tagsatagsa upod sa iya panimalay. Sila amo sanday	Saray anak nen Jacob tan saray pamilya ra a kaiba to ran linmad Egipto et saraya
EXO_001_002	EXO	001	002	Ruben, Simeon, Levi, Juda,	Ruben, Simeon, Levi, Juda,
EXO_001_003	EXO	001	003	Isacar, Zabulon, Benjamin,	Isacar, Zabulon, Benjamin,
EXO_001_004	EXO	001	004	Dan, Neftali, Gad, kag Aser.	Dan, Neftali, Gad, tan Aser.
EXO_001_005	EXO	001	005	Ang kadamuon sang mga kaliwat ni Jacob setenta tanan. Si Jose nga iya anak didto na nga daan sa Ehipto.	Pitomplo ya amin iray anak tan apo nen Jacob, a pati si Jose a wadman la ed Egipto.
EXO_001_006	EXO	001	006	Sang ulihi si Jose kag ang iya mga utod nga lalaki nagkalamatay, subong man yadtong bug-os nga henerasyon.	Diad impankurang na panaon si Jose, saramay agagi to, tan amin a totoo ed saman a kailalakan et inaatey ira.
EXO_001_007	EXO	001	007	Pero ang mga kaliwat ni Israel may madamo nga mga kaanakan, nagmuad gid sila kag nagmabakod, sa bagay nga naglapnag sila sa duta sang Ehipto.	Balet amayamay iray anak tan apo na saman a kailalakan, a salanti saray Israelita; dinmakerakel ira tan nagmaliw iran makapanyarin tuloy, kanyan kinmayat iran nanayam ed intiron bansa na Egipto.
EXO_001_008	EXO	001	008	Karon may isa ka bag-o nga hari nga naggahom sa Ehipto. Wala sia makakilala kay Jose.	Sinmabiy panaon a walay balon ari na Egipto ya ag to kabat si Jose.
EXO_001_009	EXO	001	009	Ang hari nagsiling sa iya mga ginsakpan, Tan-awa ninyo, ini nga mga tawo nga Israelinhon nagadamo kag nagabakod, kag nabutang kita sa katalagman.	Sayan ari inkuantod saray totoo to, Makapataktakot la ra yan Israelita, ta dakerakel tan makapanyari la ra nen say sikatayo.
EXO_001_010	EXO	001	010	Karon pamatii ninyo! Pangitaan naton sang paagi nga indi na gid sila magdamo. Kay kon may inaway, basi magdampig sila sa aton mga kaaway sa pag-away batok sa aton, kag magpalagyo sila sa aton pungsod.	Gawaen tayoy kasiliban a pamatonda na idadakel da, ta no walay onsabi-sabin bakal, ag la pigan migampi rad saray kalaban tayo. Onlaban irad satan ed sikatayo, insan da taynan so bansa tayo.
