id	book	chapter	verse	source_text	target_text
EXO_001_1	EXO	001	1	Amo ini ang mga ngalan sang mga anak nga lalaki ni Jacob nga nagkadto sa Ehipto upod sa iya, ang tagsatagsa upod sa iya panimalay. Sila amo sanday	Ito ang mga pangalan ng mga anak ni Israel na dumating sa Ehipto kasama si Jacob; bawat isa ay kasama ang kanya-kanyang sambahayan
EXO_001_10	EXO	001	10	Karon pamatii ninyo! Pangitaan naton sang paagi nga indi na gid sila magdamo. Kay kon may inaway, basi magdampig sila sa aton mga kaaway sa pag-away batok sa aton, kag magpalagyo sila sa aton pungsod.	Halikayo, pakitunguhan natin sila nang may katusuhan, baka sila'y dumami at mangyari na kapag nagkaroon ng digmaan ay umanib sila sa ating mga kaaway, lumaban sa atin, at umalis sa lupain.
EXO_001_11	EXO	001	11	Gani ginbutangan sila sing mga mapintas nga mga kabo sa pagpaobra sa ila sing pataypatay agod magluya sila. Ang mga Israelinhon nagpatindog sang mga siudad sang Pitom kag Rameses para sa hari nga pagatipunan nila sing mga pagkaon.	Kaya't naglagay sila ng mga tagapangasiwa upang pahirapan sila sa kanilang mga sapilitang paggawa. Kanilang ipinagtayo si Faraon ng mga lunsod imbakan, ang Pitom at Rameses.
EXO_001_12	EXO	001	12	Pero sa nagadugang ang pagpigos sang mga Ehiptohanon sa mga Israelinhon, tapat pa gani nga nagadamo kag nagalapnag sila. Ang mga Ehiptohanon nagkahadlok sa mga Israelinhon.	Subalit habang kanilang pinahihirapan sila, lalo silang dumarami at lalong lumalaganap. At kinasuklaman nila ang mga anak ni Israel.
EXO_001_13	EXO	001	13	Gani mapintas nga gin-ulipon nila ang mga Israelinhon,	Malupit na pinapaglingkod ng mga Ehipcio ang mga anak ni Israel;
EXO_001_14	EXO	001	14	kag ginpabudlay ang ila pagkabuhi paagi sa pagpaobra sa ila sa lunang kag sa tisa, kag sang tanan nga sahi sang obra sa uma. Ginpilit nila sila sa paghimo sang tanan nga mabug-at nga mga obra.	at kanilang pinapait ang kanilang buhay sa pamamagitan ng mahirap na paglilingkod, sa luwad at sa tisa, at sa lahat ng uri ng gawain sa bukid; at sa lahat ng kanilang gawain ay malupit silang pinapaglingkod.
EXO_001_15	EXO	001	15	Dayon ang hari sang Ehipto naghambal sa mga paltera nga nagapabata sa mga babayi nga mga Hebreo. Ang isa ginhingalanan kay Sipra kag ang isa kay Pua.	Ang hari ng Ehipto ay nagsalita sa mga hilot na mga Hebrea, na ang pangalan ng isa ay Sifra, at ang pangalan ng ikalawa ay Pua.
EXO_001_16	EXO	001	16	Nagsiling ang hari, Kon nagapabata kamo sang Hebreo nga mga babayi amo ini ang inyo pagahimuon: kon ang lapsag lalaki, patyon ninyo; pero kon babayi ini, pabayai lang nga mabuhi.	Kanyang sinabi, Paghilot ninyo sa mga babaing Hebrea at pagtingin ninyo sa kanila sa upuang panganganakan, kung lalaki ay papatayin ninyo; ngunit kung babae ay mabubuhay ito.
EXO_001_17	EXO	001	17	Pero ang mga paltera wala magtuman sa hari kay nahadlok sila sa Dios. Sa baylo ginpabay-an nila nga mabuhi ang mga lapsag nga lalaki.	Subalit ang mga hilot ay natakot sa Diyos at hindi nila ginawa ang gaya nang iniutos sa kanila ng hari ng Ehipto, kundi hinayaan nilang mabuhay ang mga batang lalaki.
EXO_001_18	EXO	001	18	Gani ginpatawag sang hari ang mga paltera kag ginpamangkot, Ngaa bala nga ginhimo ninyo ini kag ginpabay-an nga mabuhi ang mga lapsag nga lalaki?	Ipinatawag ng hari ng Ehipto ang mga hilot at sinabi sa kanila, Bakit ninyo ginawa ang bagay na ito at hinayaan ninyong mabuhay ang mga batang lalaki?
EXO_001_19	EXO	001	19	Nagsabat sila, Ang mga babayi nga Hebreo indi pareho sang mga babayi nga Ehiptohanon; mahapos sila magbata nga sa wala pa gani kami makaabot nakabata na sila.	Sinabi ng mga hilot sa Faraon, Sapagkat ang mga babaing Hebrea ay hindi gaya ng mga babaing Ehipcia. Sila'y malalakas at nakapanganak na bago dumating ang hilot sa kanila.
EXO_001_2	EXO	001	2	Ruben, Simeon, Levi, Juda,	sina Ruben, Simeon, Levi, Juda,
EXO_001_20	EXO	001	20	Bangod kay nagakahadlok ang mga paltera sa Dios, ang Dios nagmaayo sa ila kag ginhatagan niya sila sang ila kaugalingon nga mga panimalay kag nagdamo nga nagdamo ang mga Israelinhon, kag nangingamhanan sila.	Kaya't ang Diyos ay naging mabuti sa mga hilot; at ang taong-bayan ay dumami at naging napakalakas.
EXO_001_21	EXO	001	21	Dayon ang hari nagmando sa tanan niya nga mga ginsakpan: Ihaboy ninyo sa Suba sang Nilo ang tagsa ka bata nga lalaki nga matawo sa mga Hebreo, pero pabay-i lang ninyo ang mga bata nga babayi nga mabuhi.	Dahil ang mga hilot ay natakot sa Diyos, kanyang binigyan sila ng mga sambahayan.
EXO_001_3	EXO	001	3	Isacar, Zabulon, Benjamin,	Isacar, Zebulon, Benjamin,
EXO_001_4	EXO	001	4	Dan, Neftali, Gad, kag Aser.	Dan, Neftali, Gad, at Aser.
EXO_001_5	EXO	001	5	Ang kadamuon sang mga kaliwat ni Jacob setenta tanan. Si Jose nga iya anak didto na nga daan sa Ehipto.	Lahat ng taong nagmula sa balakang ni Jacob ay pitumpung katao, at si Jose ay nasa Ehipto na.
EXO_001_6	EXO	001	6	Sang ulihi si Jose kag ang iya mga utod nga lalaki nagkalamatay, subong man yadtong bug-os nga henerasyon.	Namatay si Jose at ang lahat ng kanyang mga kapatid at ang buong salinlahing iyon.
EXO_001_7	EXO	001	7	Pero ang mga kaliwat ni Israel may madamo nga mga kaanakan, nagmuad gid sila kag nagmabakod, sa bagay nga naglapnag sila sa duta sang Ehipto.	Ang mga anak ni Israel ay lumago at nadagdagang mabuti; sila'y dumami at naging napakalakas kaya't ang lupain ay napuno nila.
EXO_001_8	EXO	001	8	Karon may isa ka bag-o nga hari nga naggahom sa Ehipto. Wala sia makakilala kay Jose.	At may bumangong isang bagong hari sa Ehipto na hindi kilala si Jose.
EXO_001_9	EXO	001	9	Ang hari nagsiling sa iya mga ginsakpan, Tan-awa ninyo, ini nga mga tawo nga Israelinhon nagadamo kag nagabakod, kag nabutang kita sa katalagman.	Sinabi niya sa kanyang bayan, Tingnan ninyo, ang sambayanan ng mga anak ni Israel ay mas marami at higit na malakas kaysa atin.
