id	book	chapter	verse	source_text	target_text
JHN_001_001	JHN	001	001	Sa umpisa, kang wara pa matuga ang tanan, ang Pulong dyan run nga daan. Ang Pulong nga dya kaimaw kang Dios, kag ang Pulong Dios.	Sapul pa ten sapul ay ked dn en Upos, kaguman nen Diyos en Upos, sakay en Upos ay siya dn en Diyos.
JHN_001_002	JHN	001	002	Sa umpisa ang Pulong nga dya kaimaw run nga daan kang Dios.	Sapul pa ten sapul ay kaguman dn siya nen Diyos.
JHN_001_003	JHN	001	003	Paagi kana gintuga kang Dios ang tanan. Kon wara tana wara gid ti bisan ano nga tinuga nga natuga.	Linalang en atanan bagay a ten pamamag-itan na, sakay awan ti linalang a bakn a ten pamamag-itan na.
JHN_001_004	JHN	001	004	Tana kadya amo ang ginhalinan kang kabuhi, kag ang kabuhi nga dya amo ang nagatugro kang kasanagan sa mga katawhan.	En Upos en paggubwatan ni biyag, sakay iyd a biyag ay nangatd ti demlag ten tolay.
JHN_001_005	JHN	001	005	Ang kasanag nga dya nagasanag sa kadulum, kag ang kadulum wara gid makadaug sa kasanag.	Iyd a demlag ay magdemlag ten kadiklmman, sakay awan iyd madaig nen diklm.
JHN_001_006	JHN	001	006	May ginpadara ang Dios nga sangka tawo; ang ngaran na kadya amo si Juan.	Nadid, tehud a essa a lllaki a inutusan en Diyos, en ngaran na ay ti Juan.
JHN_001_007	JHN	001	007	Tana kadya nag-abot para magsugid sa mga katawhan nahanungud sa kasanag, agud to nga paagi sa anang pagsugid ang tanan nga tawo magatoo.	Pinaangay na ti Juan ten tolay hidi, inutusan siya tnni ipahayag na en tungkul ten demlag, tnni sumampalataya en atanan a tolay.
JHN_001_008	JHN	001	008	Bukun ti si Juan ang kasanag. Nag-abot tana para magsugid nahanungud sa kasanag.	Bakn a ti Juan en demlag, nan inutusan siya tnni mngpahayag ni deya en demlag.
JHN_001_009	JHN	001	009	Dya amo ang matuod nga kasanag nga nagatugro kang kasanagan sa tanan mga katawhan kag nagaabot run sa kalibutan.	En tunay a demlag a mangdemlag ten atanan a tolay ay dumemt ti munduwiday.
JHN_001_010	JHN	001	010	Nag-abot tana sa kalibutan, kag bisan pa nga ang kalibutan gintuga paagi kana, ang mga katawhan sa kalibutan wara makakilala kana.	Dummemt en Upos ti munduwiday, peru awan siya tinenggi ni munduwiday maski ni linalang i munduwiday ten pamamag-itan na.
JHN_001_011	JHN	001	011	Nag-abot tana sa anang kaugalingun nga lugar, pero ang anang mga kasimanwa wara magbaton kana.	Ummangay siya ten sadili na a banuwan, peru awan siya tinanggap nen kabanuwan na hidi.
JHN_001_012	JHN	001	012	Pero ang mga nagbaraton tana kana, sanda nga mga nagtoroo kana, gintaw-an na kang kinamatarung nga mangin kabataan kang Dios.	Peru en atanan a nangtanggap sakay summampalataya dikona ay intdenan na ti karapatan a magin anak nen Diyos.
