id	book	chapter	verse	source_text	target_text
JHN_001_001	JHN	001	001	Sa umpisa, kang wara pa matuga ang tanan, ang Pulong dyan run nga daan. Ang Pulong nga dya kaimaw kang Dios, kag ang Pulong Dios.	No kaji na pa amaogan no karawan am amyan rana o Ciring ni Ama ta do to. O Ciring rana am macilovot ji Ama ta do to. O Ciring am manoyong a Tao do to.
JHN_001_002	JHN	001	002	Sa umpisa ang Pulong nga dya kaimaw run nga daan kang Dios.	Nimakalapo no kakwa o kapacilovot no Ciring eya ji Ama ta do to.
JHN_001_003	JHN	001	003	Paagi kana gintuga kang Dios ang tanan. Kon wara tana wara gid ti bisan ano nga tinuga nga natuga.	Ciring o nyamaog na ni Ama ta do to so makakaday. So ikabo no asa ka maoran no karawan a ji na nyamaog no Ciring eya.
JHN_001_004	JHN	001	004	Tana kadya amo ang ginhalinan kang kabuhi, kag ang kabuhi nga dya amo ang nagatugro kang kasanagan sa mga katawhan.	O Ciring ni Ama ta do to am ori o yapwan no inawan no tao. O inawan rana am zezngang a ikavyay no tao.
JHN_001_005	JHN	001	005	Ang kasanag nga dya nagasanag sa kadulum, kag ang kadulum wara gid makadaug sa kasanag.	O zezak am cirain na o kasarisaryan. So ji na makahespi so mazngang no masari.
JHN_001_006	JHN	001	006	May ginpadara ang Dios nga sangka tawo; ang ngaran na kadya amo si Juan.	O meyngaran so Yowani a tao am nitovoy na ni Ama ta do to a lamlamsoy na.
JHN_001_007	JHN	001	007	Tana kadya nag-abot para magsugid sa mga katawhan nahanungud sa kasanag, agud to nga paagi sa anang pagsugid ang tanan nga tawo magatoo.	Iya rana am ipanci na do tao o zezngang a kamimin no tao a makamizing sya kapanganoyong da rana.
JHN_001_008	JHN	001	008	Bukun ti si Juan ang kasanag. Nag-abot tana para magsugid nahanungud sa kasanag.	Am beken a iya ori o zezak ang, ta o kapangnanao na no zezak ang.
JHN_001_009	JHN	001	009	Dya amo ang matuod nga kasanag nga nagatugro kang kasanagan sa tanan mga katawhan kag nagaabot run sa kalibutan.	O zezak rana am manoyong a zezngang apo do teyngato a tomiray so tao do karawan.
JHN_001_010	JHN	001	010	Nag-abot tana sa kalibutan, kag bisan pa nga ang kalibutan gintuga paagi kana, ang mga katawhan sa kalibutan wara makakilala kana.	O Ciring rana am amyan rana do karawan a nipangamaog na ni Ama ta do to so karawan. Am kaji da makatenngan jya no tao do karawan.
JHN_001_011	JHN	001	011	Nag-abot tana sa anang kaugalingun nga lugar, pero ang anang mga kasimanwa wara magbaton kana.	Mangay do pacikeylyan na am to da nazibwan no tao do dang.
JHN_001_012	JHN	001	012	Pero ang mga nagbaraton tana kana, sanda nga mga nagtoroo kana, gintaw-an na kang kinamatarung nga mangin kabataan kang Dios.	Sira rana ji nazibo nya tao a kano omanoyong jya tao am abneken na sira akma ney anak ni Ama ta do to.
JHN_001_013	JHN	001	013	Nangin kabataan sanda kadya kang Dios, indi sa kinaandan nga pamaagi ukon sa tawhanun nga pagbuut, kundi suno gid lang sa pagbuut kang Dios.	Am beken a meyngongyod sira ori a nimapodpod so kataotao ji Ama ta do to, ta omaing do kanoyong da ji Ama ta do to. Am ori o abnekan na sira akma ney anak.
JHN_001_014	JHN	001	014	Ang Pulong nangin tawo kag nag-istar kaimaw natun. Wara gid ti nakulang sa anang pagkamaalwan, kag tana ang nagapahayag kang bug-os nga kamatuoran nahanungud sa Dios. Nakita namun ang anang pagkagamhananang anang pagkagamhanan bilang Bugtong nga Anak kang Amay.	So nipeyvaliw no Ciring a tao a macikaop jyaten a tey rako so pangangarilawan a tey manoyong. So nipakacittan namen rana so azwazway na. So ikanoyong na abo so ikararwa angayan no azwazway. Ta iya rana am veyvowen na Anak ni Ama ta do to.
JHN_001_015	JHN	001	015	Si Juan nagsugid nahanungud sa Pulong. Naghambal tana ka tunog gid, Tana kadya ang akun ginatumud kang maghambal ako nga, Ang tawo nga nagasunod kanakun mas gamhanan sangsa kanakun tungud nga wara pa ako matawo dyan run tana nga daan.	Iya o ipeylimwang ni Yowani amlololos a manci no, Iya o nimalavat ko na a manownowji pa a mai a ka nyaken. Am mahamahama pa ori ka nyaken. Ta amyan rana no kaji ko pa tazakan do karawan.
JHN_001_016	JHN	001	016	Tama gid kabugana kang anang kaluoy gani nga kita tanan wara gid ti untat ang atun pagbaton kang anang bugay nga ginapasagahay kanatun.	Yateywara o pangangarilawan na a na itoro jyaten. O aryarilaw na jyaten am yabo yakasaraw a na ipeywalam.
JHN_001_017	JHN	001	017	Ang kasugoan gintugro kang Dios paagi kay Moises kauna; pero paagi kay Jesu-Cristo ginpakita kang Dios kon daw ano tana ka maalwan kag ginpahayag na man ang kamatuoran nahanungud sa anang kauagalingun.	O iwawalam na ni Ama ta do to o nipangnanao na ni Moyse a onotan ta. Am o pangangarilawan na kano manoyong a nanao na ni Ama ta do to am ori o nyai na ni Yeso Kizisto do tao do karawan.
JHN_001_018	JHN	001	018	Wara gid ti bisan sin-o nga nakakita sa Dios. Pero ang Bugtong nga Anak kang Dios nga ginahigugma na gid kamayad kag tana mismo Dios man amo ang nagpahayag kanatun nahanungud sa Dios.	Abo pa o tao a nimakacita si Ama ta do to. O Anak na yamacikto ji Ama ta do to a yamlisna do katangked na am ori o nipakateneng ta ji Ama ta do to.
JHN_001_019	JHN	001	019	Kar-on, amo dya ang ginsugid ni Juan kang ang mga pangulo kang mga Judio sa Jerusalem magsugo kang mga pari kag mga Levita nga mag-agto kana agud pamangkoton kon sin-o gid tana.	No kano nang am o meynakem a tao do Yotay do Yelosaleng am nimanovoy sira so mapatanatanang so nakem da si Ama ta do to a kano Diwey a tao a mangay a tomita si Yowani. Maniring sira jya am, Sino ka ya.
JHN_001_020	JHN	001	020	Wara gid mangalag-ag si Juan sa pagsabat kananda, kundi nga ginsugid na kon ano ang matuod. Ginhambal na kananda nga, Bukun ti ako ang Cristo.	Maniring jira am, To ko na macitangayan jinyo am beken a Misayya ko.
JHN_001_021	JHN	001	021	Namangkot ruman sanda kana, Ti, kon amo, sin-o bay ikaw? Ikaw bala si Elias?	Maniring sira am, Si Idiya ka ya an? Maniring jira si Yowani am, Beken a yaken nyo ipanci ang. Maniring sira pa am, Manngwa, panoyonoywan na imo so ciring ni Ama ta do to a namen nanalahen a mai? Maniring am, Beken.
JHN_001_022	JHN	001	022	Nagsabat si Juan, Bukun takun si Elias.	Maniring pa sira am, Pancyan pa jyamen, sino ka. Ta itovis namen do yanimapahanhan jyamen. Pancyan pala wanjin mo kapwan.
JHN_001_023	JHN	001	023	Ah ti siguro ikaw ang propeta nga amun ginapaabot ay.	Maniring si Yowani am, Yaken o nipanci ni Isayya a omlololos do kabwan no nihakawan no tao. Ta maniring am, Ipeywadwad nyo o Panirsirngen so rarahan na.
JHN_001_024	JHN	001	024	Kag nagsabat ruman si Juan, Bukun!	Karahan am pacicin da pa si Yowani no nitovoy da no tao a macyagom do Vadisay.
JHN_001_025	JHN	001	025	Kang urihi nagkuon sanda kana, Sin-o gid ikaw bay? Sugidi abi kami agud to nga may isabat kami sa mga nagsugo kanamun. Ano ang imo mahambal parte sa imong kaugalingun?	Maniring sira am, Beken a Misayya ka? Beken a si Idiya ka? Beken a panoyonoywan na imo so ciring ni Ama ta do to? Am ikongo mo ipanaktak so tao.
JHN_001_026	JHN	001	026	Ginsabat sanda ni Juan kang mga tinaga nga ginhambal ni Isaias kauna,	Maniring si Yowani am, Yako manaktak no ranom. Am amyan so asa ka tao a yamacikaop jinyo a yanyo jyatenngi.
JHN_001_027	JHN	001	027	Ako ang nagasinggitan sa may kamingawan nga nagakuon sa katawhan,	Iya rana am manownowji pa a mai ka nyaken. Am tana manownowji pa mai ka nyaken am yabo pacicingayan ko jya.
JHN_001_028	JHN	001	028	tadlunga ninyo ang dalan nga pagaagyan kang Ginoo.	O vazay rana ya am no keyyan da do katovangan no Yotan a ayo a ili da do Potani. Do dang rana am nipanaktakan ni Yowani.
JHN_001_029	JHN	001	029	Ang mga tawo nga dya nga ginsugo kang mga Fariseo,	Ikadwa na araw am macita ni Yowani si Yeso a mai. Maniring si Yowani am, Oya rana am akmey kagling a nitovoy na ni Ama ta do to a omahap so tao do peyraratenan da.
JHN_001_030	JHN	001	030	nagpamangkot pa gid kay Juan, Ti, kon bukun ikaw ang Cristo ukon si Elias kag bukun man ikaw ang propeta, andut nga nagapangbawtiso ikaw haw?	Iya rana ya am nipanci ko rana jinyo a manownowji a mai. Am arakorako pa oyowyat na ka nyaken. Ta ji ko pa nimatazak a tao am amyan rana.
JHN_001_031	JHN	001	031	Nagsabat si Juan kananda, Ako nagapangbawtiso sa tubig. Pero dyan sa inyo tunga may sangka tawo nga wara ninyo makilala.	No kakwa am ji ko pa tenngi ori. O yako ipanaktak no ranom sicyaikwaya am ko panopen sira o Isedi a tao a kapakateneng da na jya.
JHN_001_032	JHN	001	032	Amo dya tana ang magasunod kanakun nga bisan pa gani ang paghubad kang higot kang anang sandalyas indi ako takus.	Maniring pa si Yowani am, Ko nimacita o Seyzi a yakmey hato a yameyhekas do teyrahem a yamangay someyked do kataotao na.
JHN_001_033	JHN	001	033	Dya tanan natabo sa Betania, rugto sa pihak kang suba kang Jordan nga sa diin si Juan nagapangbawtiso.	Ji ko a tenngi no kakwa o nitovoy na ni Ama ta do to. Am yamaniring jyaken si Ama ta do to a mapahanhan jyaken a manaktak no ranom am, O macita mo a peyhekasan no Seyzi a tao am iya o manaktak no Seyzi.
JHN_001_034	JHN	001	034	Kang masunod nga adlaw nakita ni Juan si Jesus nga nagapaagto kana. Nagkuon tana kadya, Sulnga ninyo, dyaay ang karnero kang Dios nga nagabuul kang kasal-anan kang mga katawhan sa kalibutan.	Ko na nimacita. Am ori o ko pancyan nya jinyo o na kanoyong a Anak na ni Ama ta do to.
JHN_001_035	JHN	001	035	Amo dya tana ang akun ginatumud kang maghambal ako nga, May sangka tawo nga nagasunod kanakun nga mas gamhanan sangsa kanakun tungud nga wara pa ako matawo dyan run tana nga daan.	Ikadwa na araw am mirwa pa mangay si Yowani a kano rarwa ka macinanao jya.
JHN_001_036	JHN	001	036	Ako mismo wara makakilala kana. Amo ria nga nagapangbawtiso ako sa tubig agud to nga sa amo dya nga paagi mapahayag tana sa mga Israelenhun.	Macita na si Yeso a meyhatay am maniring si Yowani am, Iya rana am akmey kagling ni Ama ta do to.
JHN_001_037	JHN	001	037	Kag ginsugid ni Juan ang anang nakita, Nakita ko ang Balaan nga Ispirito nga nagkunsad nga daw pating halin sa langit kag nagtiner kana.	Mamizing da o ciring eya no rarwa ka macinanao ji Yowani am to sira na macihza ji Yeso.
