id	book	chapter	verse	source_text	target_text
EXO_001_001	EXO	001	001	Saray anak nen Jacob tan saray pamilya ra a kaiba to ran linmad Egipto et saraya	Ito ang mga pangalan ng mga anak ni Israel na dumating sa Ehipto kasama si Jacob; bawat isa ay kasama ang kanya-kanyang sambahayan
EXO_001_002	EXO	001	002	Ruben, Simeon, Levi, Juda,	sina Ruben, Simeon, Levi, Juda,
EXO_001_003	EXO	001	003	Isacar, Zabulon, Benjamin,	Isacar, Zebulon, Benjamin,
EXO_001_004	EXO	001	004	Dan, Neftali, Gad, tan Aser.	Dan, Neftali, Gad, at Aser.
EXO_001_005	EXO	001	005	Pitomplo ya amin iray anak tan apo nen Jacob, a pati si Jose a wadman la ed Egipto.	Lahat ng taong nagmula sa balakang ni Jacob ay pitumpung katao, at si Jose ay nasa Ehipto na.
EXO_001_006	EXO	001	006	Diad impankurang na panaon si Jose, saramay agagi to, tan amin a totoo ed saman a kailalakan et inaatey ira.	Namatay si Jose at ang lahat ng kanyang mga kapatid at ang buong salinlahing iyon.
EXO_001_007	EXO	001	007	Balet amayamay iray anak tan apo na saman a kailalakan, a salanti saray Israelita; dinmakerakel ira tan nagmaliw iran makapanyarin tuloy, kanyan kinmayat iran nanayam ed intiron bansa na Egipto.	Ang mga anak ni Israel ay lumago at nadagdagang mabuti; sila'y dumami at naging napakalakas kaya't ang lupain ay napuno nila.
EXO_001_008	EXO	001	008	Sinmabiy panaon a walay balon ari na Egipto ya ag to kabat si Jose.	At may bumangong isang bagong hari sa Ehipto na hindi kilala si Jose.
EXO_001_009	EXO	001	009	Sayan ari inkuantod saray totoo to, Makapataktakot la ra yan Israelita, ta dakerakel tan makapanyari la ra nen say sikatayo.	Sinabi niya sa kanyang bayan, Tingnan ninyo, ang sambayanan ng mga anak ni Israel ay mas marami at higit na malakas kaysa atin.
EXO_001_010	EXO	001	010	Gawaen tayoy kasiliban a pamatonda na idadakel da, ta no walay onsabi-sabin bakal, ag la pigan migampi rad saray kalaban tayo. Onlaban irad satan ed sikatayo, insan da taynan so bansa tayo.	Halikayo, pakitunguhan natin sila nang may katusuhan, baka sila'y dumami at mangyari na kapag nagkaroon ng digmaan ay umanib sila sa ating mga kaaway, lumaban sa atin, at umalis sa lupain.
EXO_001_011	EXO	001	011	Kanyan angipasen iray Egipsio na saray opisyal a mamairap ed saray Israelita. Impankikimey da ra na ambelat diad impamaalagey dad saray siudad na Pitom tan Rameses a panangisempenay abasto na ari.	Kaya't naglagay sila ng mga tagapangasiwa upang pahirapan sila sa kanilang mga sapilitang paggawa. Kanilang ipinagtayo si Faraon ng mga lunsod imbakan, ang Pitom at Rameses.
EXO_001_012	EXO	001	012	Balet no panoy impanpapairap na saray Egipsio ed saray Israelita, lalon ondarakel ira tan onaawang so pasen a panaayaman da. Apagaan ed satan iray Egipsio ed saray Israelita,	Subalit habang kanilang pinahihirapan sila, lalo silang dumarami at lalong lumalaganap. At kinasuklaman nila ang mga anak ni Israel.
EXO_001_013	EXO	001	013	kanyan impagmaliw dan masegsegang so bilay da. Pinapasoot da ran inaripen. Impankikimey da rad panagmasa na dalin tan diad panaggawa na laryo; impankikimey da met ni rad kaalogan da. Ag da ran balut kinasian.	Malupit na pinapaglingkod ng mga Ehipcio ang mga anak ni Israel;
