id	book	chapter	verse	source_text	target_text
JHN_001_001	JHN	001	001	Sapul pa ten sapul ay ked dn en Upos, kaguman nen Diyos en Upos, sakay en Upos ay siya dn en Diyos.	No kaji na pa amaogan no karawan am amyan rana o Ciring ni Ama ta do to. O Ciring rana am macilovot ji Ama ta do to. O Ciring am manoyong a Tao do to.
JHN_001_002	JHN	001	002	Sapul pa ten sapul ay kaguman dn siya nen Diyos.	Nimakalapo no kakwa o kapacilovot no Ciring eya ji Ama ta do to.
JHN_001_003	JHN	001	003	Linalang en atanan bagay a ten pamamag-itan na, sakay awan ti linalang a bakn a ten pamamag-itan na.	Ciring o nyamaog na ni Ama ta do to so makakaday. So ikabo no asa ka maoran no karawan a ji na nyamaog no Ciring eya.
JHN_001_004	JHN	001	004	En Upos en paggubwatan ni biyag, sakay iyd a biyag ay nangatd ti demlag ten tolay.	O Ciring ni Ama ta do to am ori o yapwan no inawan no tao. O inawan rana am zezngang a ikavyay no tao.
JHN_001_005	JHN	001	005	Iyd a demlag ay magdemlag ten kadiklmman, sakay awan iyd madaig nen diklm.	O zezak am cirain na o kasarisaryan. So ji na makahespi so mazngang no masari.
JHN_001_006	JHN	001	006	Nadid, tehud a essa a lllaki a inutusan en Diyos, en ngaran na ay ti Juan.	O meyngaran so Yowani a tao am nitovoy na ni Ama ta do to a lamlamsoy na.
JHN_001_007	JHN	001	007	Pinaangay na ti Juan ten tolay hidi, inutusan siya tnni ipahayag na en tungkul ten demlag, tnni sumampalataya en atanan a tolay.	Iya rana am ipanci na do tao o zezngang a kamimin no tao a makamizing sya kapanganoyong da rana.
JHN_001_008	JHN	001	008	Bakn a ti Juan en demlag, nan inutusan siya tnni mngpahayag ni deya en demlag.	Am beken a iya ori o zezak ang, ta o kapangnanao na no zezak ang.
JHN_001_009	JHN	001	009	En tunay a demlag a mangdemlag ten atanan a tolay ay dumemt ti munduwiday.	O zezak rana am manoyong a zezngang apo do teyngato a tomiray so tao do karawan.
JHN_001_010	JHN	001	010	Dummemt en Upos ti munduwiday, peru awan siya tinenggi ni munduwiday maski ni linalang i munduwiday ten pamamag-itan na.	O Ciring rana am amyan rana do karawan a nipangamaog na ni Ama ta do to so karawan. Am kaji da makatenngan jya no tao do karawan.
JHN_001_011	JHN	001	011	Ummangay siya ten sadili na a banuwan, peru awan siya tinanggap nen kabanuwan na hidi.	Mangay do pacikeylyan na am to da nazibwan no tao do dang.
JHN_001_012	JHN	001	012	Peru en atanan a nangtanggap sakay summampalataya dikona ay intdenan na ti karapatan a magin anak nen Diyos.	Sira rana ji nazibo nya tao a kano omanoyong jya tao am abneken na sira akma ney anak ni Ama ta do to.
JHN_001_013	JHN	001	013	Nagin anak ngani hidi nen Diyos bakn a ten pamamag-itan nen pisikal a kkkeenak oni gapu ten kagustuwan nen tolay, nan gapu ten kaluuban nen Diyos.	Am beken a meyngongyod sira ori a nimapodpod so kataotao ji Ama ta do to, ta omaing do kanoyong da ji Ama ta do to. Am ori o abnekan na sira akma ney anak.
JHN_001_014	JHN	001	014	En Upos ay nagin tolay sakay nkpgyan dikomi. Netan mi en kaluwalhatian na bilang bugtung a anak nen Ama. Putat siya ti kabaitan sakay katutuhanan.	So nipeyvaliw no Ciring a tao a macikaop jyaten a tey rako so pangangarilawan a tey manoyong. So nipakacittan namen rana so azwazway na. So ikanoyong na abo so ikararwa angayan no azwazway. Ta iya rana am veyvowen na Anak ni Ama ta do to.
JHN_001_015	JHN	001	015	Impahayag siya ni Juan, sakay impkraw na ten tolay hidi a, Siya en kinagi ku dikomoy a, En dumemt a kasunud ku ay mataas nan sikn, gapu baguwk a neenak ay ked dn siya.	Iya o ipeylimwang ni Yowani amlololos a manci no, Iya o nimalavat ko na a manownowji pa a mai a ka nyaken. Am mahamahama pa ori ka nyaken. Ta amyan rana no kaji ko pa tazakan do karawan.
JHN_001_016	JHN	001	016	Gapu putat siya ti pgmahal, ay naranasan tam a atanan en tulos-tulos a pagpapala.	Yateywara o pangangarilawan na a na itoro jyaten. O aryarilaw na jyaten am yabo yakasaraw a na ipeywalam.
JHN_001_017	JHN	001	017	Neatd dikomi en Kautusan nen Diyos ten pamamag-itan ni Moises, peru en kabaitan sakay katutuhanan ay neatd ten pamamag-itan ni Jesu-Cristo.	O iwawalam na ni Ama ta do to o nipangnanao na ni Moyse a onotan ta. Am o pangangarilawan na kano manoyong a nanao na ni Ama ta do to am ori o nyai na ni Yeso Kizisto do tao do karawan.
JHN_001_018	JHN	001	018	Maski nikan ay awan palla ti naketa ten Diyos. Peru impakilala siya nen bugtung a Anak a tunay a kasayaan nen Ama.	Abo pa o tao a nimakacita si Ama ta do to. O Anak na yamacikto ji Ama ta do to a yamlisna do katangked na am ori o nipakateneng ta ji Ama ta do to.
JHN_001_019	JHN	001	019	Inutusan nen pinunu hidi nen Judio hidi ti Jerusalem en sangan a padi sakay Levita a itanung knni Juan ni deya siya.	No kano nang am o meynakem a tao do Yotay do Yelosaleng am nimanovoy sira so mapatanatanang so nakem da si Ama ta do to a kano Diwey a tao a mangay a tomita si Yowani. Maniring sira jya am, Sino ka ya.
JHN_001_020	JHN	001	020	Intapat a kinagi ni Juan dikodi, Bakn a sikn en Cristo.	Maniring jira am, To ko na macitangayan jinyo am beken a Misayya ko.
JHN_001_021	JHN	001	021	Ni konahud ay deya ka? tanung di,	Maniring sira am, Si Idiya ka ya an? Maniring jira si Yowani am, Beken a yaken nyo ipanci ang. Maniring sira pa am, Manngwa, panoyonoywan na imo so ciring ni Ama ta do to a namen nanalahen a mai? Maniring am, Beken.
JHN_001_022	JHN	001	022	Siko beman ti Elias? Bakn a sikn, kagi ni Juan.	Maniring pa sira am, Pancyan pa jyamen, sino ka. Ta itovis namen do yanimapahanhan jyamen. Pancyan pala wanjin mo kapwan.
JHN_001_023	JHN	001	023	Siko beman en propeta? Kinagi na dikodi, Bakn a sikn.	Maniring si Yowani am, Yaken o nipanci ni Isayya a omlololos do kabwan no nihakawan no tao. Ta maniring am, Ipeywadwad nyo o Panirsirngen so rarahan na.
JHN_001_024	JHN	001	024	Deya ka beman a talaga? Kagiyn mu dikomi tnni tehud kami a mekagi ten nagutus hidi dikomi. nya makagi muwid tungkul ti sadili muwen?	Karahan am pacicin da pa si Yowani no nitovoy da no tao a macyagom do Vadisay.
JHN_001_025	JHN	001	025	Tummbbig ti Juan ten pamamag-itan nen kinagi ni propeta Isaias,	Maniring sira am, Beken a Misayya ka? Beken a si Idiya ka? Beken a panoyonoywan na imo so ciring ni Ama ta do to? Am ikongo mo ipanaktak so tao.
JHN_001_026	JHN	001	026	Sikn en boses nen tolay a magpkraw ten parang,	Maniring si Yowani am, Yako manaktak no ranom. Am amyan so asa ka tao a yamacikaop jinyo a yanyo jyatenngi.
JHN_001_027	JHN	001	027	Pasunongn moy en paglakadan nen Panginoon.	Iya rana am manownowji pa a mai ka nyaken. Am tana manownowji pa mai ka nyaken am yabo pacicingayan ko jya.
