id	book	chapter	verse	source_text	target_text
JHN_001_001	JHN	001	001	Sapul pa ten sapul ay ked dn en Upos, kaguman nen Diyos en Upos, sakay en Upos ay siya dn en Diyos.	Asal ha tagnaan, yaun na in Parman, iban in Parman asal naghahambuuk iban Tuhan, karna in Parman amu na in Tuhan.
JHN_001_002	JHN	001	002	Sapul pa ten sapul ay kaguman dn siya nen Diyos.	Iban asal dayn ha panagnaan pa, naghahambuuk na in Parman iban Tuhan.
JHN_001_003	JHN	001	003	Linalang en atanan bagay a ten pamamag-itan na, sakay awan ti linalang a bakn a ten pamamag-itan na.	In unu-unu katn naawn, piyaawn sin Parman dayn ha kabayaan sin Tuhan. Wayruun hangsulag unu-unu in naawn bang bukun guwa dayn ha Parman.
JHN_001_004	JHN	001	004	En Upos en paggubwatan ni biyag, sakay iyd a biyag ay nangatd ti demlag ten tolay.	Damikkiyan in Parman amuna in puunan sin kabuhi sabunnal, iban in puunan sin kabuhi sabunnal amuna in ilaw dumihil sawa pa pikilan sin mnusiya.
JHN_001_005	JHN	001	005	Iyd a demlag ay magdemlag ten kadiklmman, sakay awan iyd madaig nen diklm.	In ilaw ini suminag na ha lawm sin katigidluman ha lawm dunya, iban in katigidluman di makapng sin ilaw ini.
JHN_001_006	JHN	001	006	Nadid, tehud a essa a lllaki a inutusan en Diyos, en ngaran na ay ti Juan.	Manjari awn hambuuk tau kiyawakilan sin Tuhan. In ngn niya hi Yahiya.
JHN_001_007	JHN	001	007	Pinaangay na ti Juan ten tolay hidi, inutusan siya tnni ipahayag na en tungkul ten demlag, tnni sumampalataya en atanan a tolay.	Diyaak siya sin Tuhan mamayta pa manga tau pasal sin ilaw ini, ha supaya in mnusiya katn makarungug iban magparachaya sin bayta pasal sin ilaw.
JHN_001_008	JHN	001	008	Bakn a ti Juan en demlag, nan inutusan siya tnni mngpahayag ni deya en demlag.	Bukun hi Yahiya in piyagbahasa ilaw. Karna in siya naraak sadja mamayta pasal sin ilaw.
JHN_001_009	JHN	001	009	En tunay a demlag a mangdemlag ten atanan a tolay ay dumemt ti munduwiday.	Na, in Parman amuna tuud in bunnal ilaw, amu in limahil mari pa dunya dumihil kasawahan pa pikilan sin mnusiya katn.
JHN_001_010	JHN	001	010	Dummemt en Upos ti munduwiday, peru awan siya tinenggi ni munduwiday maski ni linalang i munduwiday ten pamamag-itan na.	Sagawa sin d siya ha dunya wala siya kla sin manga mnusiya, minsan da siya in nagpapanjari sin unu-unu katn dayn ha kabayaan sin Tuhan.
